rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB
1	AG111	0.614032	-0.020768	3.822118	0.000000	0.067011	0.259546
2	AG111	0.557197	-0.480722	3.822118	0.000000	0.017775	0.259546
3	AG111	0.582453	-0.665193	3.822118	0.000000	0.061908	0.259546
4	AG111	0.621954	-0.423427	3.822118	0.000000	-0.061196	0.259546
5	AG111	0.587627	0.219288	3.822118	0.000000	0.054145	0.259546
6	AG111	0.581617	-0.162910	3.822118	0.000000	0.013437	0.259546
7	AG111	0.587651	-0.546497	3.822118	0.000000	-0.023389	0.259546
8	AG111	0.618328	-0.031991	3.822118	0.000000	0.020686	0.259546
9	AG111	0.609588	-0.345885	3.822118	0.000000	-0.030850	0.259546
10	AG111	0.600159	0.164107	3.822118	0.000000	0.092952	0.259546
1	AG112	0.793872	-0.242566	3.822118	0.000000	-0.057602	0.259546
2	AG112	0.738618	0.164769	3.822118	0.000000	-0.061775	0.259546
3	AG112	0.740071	0.447097	3.822118	0.000000	0.026503	0.259546
4	AG112	0.777887	0.112647	3.822118	0.000000	0.000069	0.259546
5	AG112	0.718861	0.152909	3.822118	0.000000	-0.047389	0.259546
6	AG112	0.788226	0.168170	3.822118	0.000000	-0.057117	0.259546
7	AG112	0.716883	-0.217563	3.822118	0.000000	-0.185570	0.259546
8	AG112	0.764876	0.468678	3.822118	0.000000	0.016829	0.259546
9	AG112	0.748872	-0.297634	3.822118	0.000000	-0.156842	0.259546
10	AG112	0.763160	-0.038106	3.822118	0.000000	-0.038556	0.259546
1	AG139	0.607203	0.019987	3.822118	0.000000	0.073213	0.259546
2	AG139	0.605102	-0.024844	3.822118	0.000000	0.006895	0.259546
3	AG139	0.579415	0.048140	3.822118	0.000000	0.006528	0.259546
4	AG139	0.526862	0.245360	3.822118	0.000000	0.063461	0.259546
5	AG139	0.572383	0.193849	3.822118	0.000000	0.032514	0.259546
6	AG139	0.558403	-0.183964	3.822118	0.000000	0.058168	0.259546
7	AG139	0.582879	-0.055958	3.822118	0.000000	-0.069007	0.259546
8	AG139	0.591386	-0.012200	3.822118	0.000000	-0.021866	0.259546
9	AG139	0.531067	0.279979	3.822118	0.000000	0.006736	0.259546
10	AG139	0.564991	0.305325	3.822118	0.000000	0.061055	0.259546
1	AG142	0.796087	0.440165	3.822118	0.000000	0.075184	0.259546
2	AG142	0.751674	0.429693	3.822118	0.000000	-0.061894	0.259546
3	AG142	0.719895	0.197512	3.822118	0.000000	-0.022063	0.259546
4	AG142	0.718660	0.285476	3.822118	0.000000	0.024396	0.259546
5	AG142	0.729908	0.328404	3.822118	0.000000	-0.001835	0.259546
6	AG142	0.734782	0.328347	3.822118	0.000000	-0.016747	0.259546
7	AG142	0.727447	0.291784	3.822118	0.000000	0.020827	0.259546
8	AG142	0.783467	0.411648	3.822118	0.000000	0.080242	0.259546
9	AG142	0.694887	0.420272	3.822118	0.000000	0.036281	0.259546
10	AG142	0.746564	0.402400	3.822118	0.000000	0.033657	0.259546
1	GD14	0.640020	-0.160561	3.822118	0.000000	-0.172194	0.259546
2	GD14	0.624494	-0.132686	3.822118	0.000000	-0.200111	0.259546
3	GD14	0.642322	0.112607	3.822118	0.000000	-0.147293	0.259546
4	GD14	0.596889	-0.099343	3.822118	0.000000	-0.178011	0.259546
5	GD14	0.622852	0.013632	3.822118	0.000000	-0.154387	0.259546
6	GD14	0.605560	0.307852	3.822118	0.000000	-0.149576	0.259546
7	GD14	0.622973	-0.221555	3.822118	0.000000	-0.223485	0.259546
8	GD14	0.709871	0.085188	3.822118	0.000000	-0.043126	0.259546
9	GD14	0.599203	-0.019134	3.822118	0.000000	-0.109073	0.259546
10	GD14	0.664683	-0.088139	3.822118	0.000000	-0.176256	0.259546
1	GD15	0.648942	-0.071460	3.822118	0.000000	0.123366	0.259546
2	GD15	0.597486	-0.303710	3.822118	0.000000	-0.039381	0.259546
3	GD15	0.626684	-0.001752	3.822118	0.000000	0.062635	0.259546
4	GD15	0.613344	0.077098	3.822118	0.000000	0.117388	0.259546
5	GD15	0.613867	0.210766	3.822118	0.000000	0.122348	0.259546
6	GD15	0.615795	-0.177613	3.822118	0.000000	0.113146	0.259546
7	GD15	0.611151	-0.061778	3.822118	0.000000	0.000178	0.259546
8	GD15	0.608437	-0.050852	3.822118	0.000000	0.062541	0.259546
9	GD15	0.620436	0.107593	3.822118	0.000000	0.074897	0.259546
10	GD15	0.645627	0.345947	3.822118	0.000000	0.137030	0.259546
1	GD16	0.435295	-0.287969	3.822118	0.000000	0.090393	0.259546
2	GD16	0.381889	0.001339	3.822118	0.000000	0.068145	0.259546
3	GD16	0.363759	0.037457	3.822118	0.000000	0.045223	0.259546
4	GD16	0.403295	0.205136	3.822118	0.000000	0.198937	0.259546
5	GD16	0.386110	0.253811	3.822118	0.000000	0.157300	0.259546
6	GD16	0.404588	-0.313093	3.822118	0.000000	0.038121	0.259546
7	GD16	0.388024	-0.197692	3.822118	0.000000	0.067040	0.259546
8	GD16	0.361052	0.075102	3.822118	0.000000	0.132831	0.259546
9	GD16	0.391187	-0.078870	3.822118	0.000000	0.093035	0.259546
10	GD16	0.348136	-0.023570	3.822118	0.000000	0.032021	0.259546
