rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.612150	0.152474	4.097212	4.660602	0.259498
2	AG111	0.599236	0.404872	3.982566	4.665468	0.228109
3	AG111	0.615161	0.263828	3.789012	4.584148	0.213807
4	AG111	0.603413	0.260538	3.855152	4.875554	0.201855
5	AG111	0.630117	0.262543	3.659588	4.645889	0.234293
6	AG111	0.568117	0.257823	3.981438	4.996195	0.258795
7	AG111	0.582953	0.256416	3.965793	4.998852	0.253890
8	AG111	0.607869	0.237865	3.515088	4.644514	0.261673
9	AG111	0.579549	0.212920	4.294040	4.737011	0.255412
10	AG111	0.569153	0.354782	3.460354	4.746087	0.241160
1	AG112	0.768351	0.384648	3.920512	4.546427	0.265371
2	AG112	0.735974	0.398338	3.977602	4.869398	0.345966
3	AG112	0.779830	0.287822	4.207912	4.552907	0.222556
4	AG112	0.758716	0.209647	4.123705	4.346568	0.306799
5	AG112	0.771259	0.451069	4.139460	4.699327	0.210436
6	AG112	0.761306	0.403754	3.986405	4.521619	0.191062
7	AG112	0.749658	0.364096	4.069255	4.342772	0.232656
8	AG112	0.717394	0.421274	4.110401	4.409475	0.240966
9	AG112	0.742521	0.374731	4.198207	4.630823	0.269436
10	AG112	0.745593	0.322330	4.090787	4.553901	0.294799
1	AG139	0.614945	0.297623	3.866898	4.524654	0.228986
2	AG139	0.564822	0.403907	3.646032	4.576533	0.298493
3	AG139	0.637721	0.412224	3.993300	4.914089	0.250894
4	AG139	0.578705	0.327529	3.990079	4.716586	0.253603
5	AG139	0.612029	0.391789	3.862785	4.925280	0.217353
6	AG139	0.547256	0.305935	4.060706	4.362201	0.257530
7	AG139	0.526012	0.347831	4.103295	4.826624	0.246358
8	AG139	0.570562	0.317394	4.125402	4.716365	0.291210
9	AG139	0.527496	0.381870	3.811877	4.438182	0.189261
10	AG139	0.601118	0.393075	4.288524	5.139034	0.160133
1	AG142	0.775728	0.517169	4.175476	4.813122	0.209878
2	AG142	0.785412	0.614916	4.184978	4.835433	0.189240
3	AG142	0.728675	0.476102	4.009947	4.809933	0.238427
4	AG142	0.701387	0.469870	4.178149	4.626881	0.246770
5	AG142	0.751724	0.513753	4.318186	5.003560	0.224338
6	AG142	0.737909	0.431813	3.993723	4.805941	0.232908
7	AG142	0.805987	0.444744	3.989502	4.427204	0.234082
8	AG142	0.762088	0.535953	3.905503	5.000780	0.267686
9	AG142	0.820935	0.442101	4.032384	5.157559	0.233055
10	AG142	0.722383	0.474366	4.153752	4.819747	0.201046
1	GD14	0.623849	0.251621	4.385784	4.487345	0.239880
2	GD14	0.612164	0.293747	4.215478	4.398730	0.242191
3	GD14	0.666337	0.354341	4.073440	4.613273	0.263398
4	GD14	0.588571	0.269018	4.222902	4.522221	0.303521
5	GD14	0.633948	0.236879	4.233564	4.166956	0.255582
6	GD14	0.609230	0.369317	4.401522	4.669359	0.257245
7	GD14	0.678154	0.402482	4.288170	4.513634	0.286266
8	GD14	0.608608	0.321291	4.352538	4.333319	0.227111
9	GD14	0.630668	0.334809	4.251854	4.347395	0.239513
10	GD14	0.623999	0.255148	4.174870	4.317667	0.294858
1	GD15	0.558034	0.285196	3.702669	4.702107	0.253405
2	GD15	0.622412	0.423167	4.048701	4.614684	0.250247
3	GD15	0.590252	0.336820	4.101968	4.940435	0.289896
4	GD15	0.591464	0.321859	4.181390	5.140729	0.180536
5	GD15	0.609741	0.325368	3.788815	4.530092	0.256695
6	GD15	0.595032	0.407608	3.693528	4.806348	0.217244
7	GD15	0.584083	0.254443	4.084863	4.703772	0.193731
8	GD15	0.610016	0.356928	3.956695	4.859754	0.242166
9	GD15	0.578040	0.349327	3.768674	4.622576	0.305456
10	GD15	0.574406	0.280743	4.047520	4.503414	0.214044
1	GD16	0.407378	0.311190	3.629966	4.820457	0.257501
2	GD16	0.377741	0.339506	3.930422	5.005153	0.200850
3	GD16	0.386820	0.398846	3.979798	5.395277	0.254114
4	GD16	0.400620	0.304332	4.241415	4.607007	0.145461
5	GD16	0.383166	0.416416	3.893304	5.233567	0.247139
6	GD16	0.362950	0.383495	4.231689	5.352208	0.225408
7	GD16	0.369332	0.376060	4.110807	5.250403	0.300086
8	GD16	0.373169	0.347591	3.878311	4.877723	0.271309
9	GD16	0.384076	0.279300	4.165115	4.946927	0.234002
10	GD16	0.400858	0.396773	3.732072	4.753171	0.233405
