parameter	value	se_sa	rse_sa
rhoS_pop	0.64485321790840600	nan	nan
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	3.11337059619070899	0.01606413235928185	0.51597237986819611
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.22465654460771078	0.00116221597579291	0.51733012177425708
S0_pop	23427.43217883348552277	1878.56980858968086068	8.01867568860984647
T0_pop	25183.65521127434840309	2015.20390361986051175	8.00203102652741016
omega_S0	0.18042843483947016	0.06648467524799390	36.84822478626846731
omega_T0	0.19399381363847540	0.05944765669536933	30.64409920109889995
b1	0.24463278931975083	0.03414705820686078	13.95849603882346734
b2	0.21821792286828565	0.02921632435934262	13.38859978837637854
b3	0.32998907084674040	0.04729060485350586	14.33096094126991282
