rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	0.020133	-0.332275	0.127552	0.060460	-0.083358
2	AG111	-0.037258	-0.084513	-0.036187	0.089560	0.061378
3	AG111	-0.024216	-0.431937	-0.059531	-0.035840	-0.104917
4	AG111	-0.044760	-0.206936	-0.052073	-0.019356	-0.082948
5	AG111	-0.034002	-0.133661	-0.001449	0.000669	-0.062474
6	AG111	-0.018622	-0.210737	0.046320	0.023149	0.036143
7	AG111	-0.015601	-0.402552	-0.071611	-0.021162	-0.089863
8	AG111	-0.024527	-0.162360	-0.014741	0.059341	0.082054
9	AG111	0.013335	-0.406727	-0.025881	0.109757	-0.081564
10	AG111	0.012894	-0.543140	0.104037	0.093815	-0.048678
1	AG112	0.189715	-0.014115	-0.085944	0.035162	0.142178
2	AG112	0.153105	-0.291185	0.133938	-0.100433	0.008402
3	AG112	0.151495	0.056004	0.007524	0.012449	0.115653
4	AG112	0.119126	-0.031465	0.135815	-0.085488	0.000904
5	AG112	0.156074	-0.190339	-0.092681	0.028087	0.131249
6	AG112	0.153948	-0.231276	-0.012861	-0.038348	-0.018991
7	AG112	0.137612	-0.081786	0.095982	-0.042133	-0.071738
8	AG112	0.157279	0.103195	0.013988	-0.055523	0.100631
9	AG112	0.137098	-0.276030	-0.011440	-0.038096	0.111012
10	AG112	0.124488	0.145971	0.047657	-0.101193	-0.054478
1	AG139	-0.051203	-0.070383	-0.037300	0.011777	0.134152
2	AG139	-0.043921	0.225014	-0.079097	0.037512	-0.021408
3	AG139	-0.028027	-0.071443	-0.091252	0.019817	0.000141
4	AG139	-0.031234	0.024020	-0.096612	0.026094	0.076521
5	AG139	-0.102711	0.080506	0.073072	0.006571	-0.114609
6	AG139	-0.044149	-0.216315	-0.064296	0.020182	0.118698
7	AG139	-0.043252	0.137993	-0.122001	-0.010286	-0.079576
8	AG139	-0.073062	0.438489	0.068647	0.046611	-0.081000
9	AG139	-0.007031	0.004694	0.053230	0.012486	-0.108438
10	AG139	-0.009147	-0.118274	0.088267	0.016500	-0.124251
1	AG142	0.176123	0.087830	0.035631	-0.029247	-0.027054
2	AG142	0.133982	0.137775	0.011899	-0.032862	-0.120973
3	AG142	0.095084	0.557958	0.030239	-0.031018	-0.063894
4	AG142	0.164380	0.183115	-0.055104	0.062593	-0.013905
5	AG142	0.119513	0.585538	0.147197	0.075647	-0.029260
6	AG142	0.136672	0.265118	0.063083	0.020519	0.020555
7	AG142	0.121800	0.546328	0.102666	-0.015269	-0.036242
8	AG142	0.115235	0.029249	0.181665	0.103176	0.108086
9	AG142	0.137064	0.115200	0.002265	0.017079	-0.052793
10	AG142	0.154335	0.308379	-0.038897	0.058375	0.029471
1	GD14	-0.002954	0.229276	0.070707	-0.123503	-0.010779
2	GD14	-0.022727	0.071776	-0.036522	-0.050540	0.192873
3	GD14	0.015695	-0.265257	0.154345	-0.067791	0.192715
4	GD14	0.011013	-0.353310	0.047058	-0.030434	0.254570
5	GD14	-0.009678	-0.162032	0.071812	-0.143497	0.117676
6	GD14	0.028586	-0.089808	0.181079	-0.089073	0.009710
7	GD14	-0.003116	0.194454	-0.019471	-0.135291	0.052183
8	GD14	0.042167	-0.137292	0.083919	0.033472	0.162614
9	GD14	-0.001951	0.025882	-0.006634	-0.064529	0.142963
10	GD14	0.034660	-0.372569	0.048456	-0.133164	0.110902
1	GD15	-0.000721	-0.319443	-0.084833	0.011325	-0.008840
2	GD15	-0.022187	-0.068510	0.078322	0.067689	-0.028900
3	GD15	0.008107	0.119415	-0.018730	0.008276	0.002377
4	GD15	-0.023049	-0.012804	-0.039729	-0.042049	-0.106985
5	GD15	-0.032654	-0.040264	0.093240	0.080369	-0.071086
6	GD15	-0.027142	-0.306459	0.009738	-0.077807	-0.068622
7	GD15	-0.016491	0.147291	-0.061218	0.031905	0.020310
8	GD15	-0.008496	-0.110422	-0.121995	0.042335	0.045883
9	GD15	0.019957	0.297904	0.034134	0.158639	0.164221
10	GD15	-0.050251	0.049266	-0.052672	0.031285	0.060246
1	GD16	-0.216221	-0.257695	-0.118856	-0.003303	-0.049063
2	GD16	-0.248817	0.047060	-0.179726	0.037879	-0.101619
3	GD16	-0.226593	0.027928	-0.152223	0.020489	-0.142088
4	GD16	-0.232868	0.021669	0.089555	0.046613	-0.117265
5	GD16	-0.199419	-0.114012	-0.165533	-0.004835	0.034153
6	GD16	-0.238613	-0.018847	0.114040	0.089148	-0.147754
7	GD16	-0.278936	0.134368	-0.028195	0.014698	-0.040762
8	GD16	-0.174642	0.216589	0.008737	0.050183	-0.102129
9	GD16	-0.236964	0.123119	-0.127074	0.040894	-0.074836
10	GD16	-0.251830	-0.296766	0.015080	0.026310	0.047762
