rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.634131	0.292058	3.320406	3.954635	0.203440
2	AG111	0.576740	0.374172	3.156666	4.071407	0.348176
3	AG111	0.589781	0.264355	3.133323	3.591566	0.181881
4	AG111	0.569238	0.331058	3.140780	3.651260	0.203850
5	AG111	0.579996	0.356227	3.191405	3.725114	0.224324
6	AG111	0.595376	0.329802	3.239173	3.809803	0.322940
7	AG111	0.598397	0.272238	3.121242	3.644675	0.196935
8	AG111	0.589471	0.346149	3.178113	3.950213	0.368851
9	AG111	0.627333	0.271104	3.166972	4.154474	0.205234
10	AG111	0.626892	0.236533	3.296891	4.088768	0.238120
1	AG112	0.803713	0.401462	3.106910	3.855848	0.428975
2	AG112	0.767103	0.304309	3.326792	3.366910	0.295200
3	AG112	0.765493	0.430623	3.200377	3.769258	0.402451
4	AG112	0.733124	0.394557	3.328669	3.417607	0.287701
5	AG112	0.770072	0.336598	3.100172	3.828662	0.418047
6	AG112	0.767946	0.323097	3.179993	3.582571	0.267807
7	AG112	0.751610	0.375194	3.288835	3.569037	0.215060
8	AG112	0.771277	0.451432	3.206842	3.521568	0.387429
9	AG112	0.751095	0.308956	3.181413	3.583474	0.397810
10	AG112	0.738486	0.471161	3.240510	3.364355	0.232319
1	AG139	0.562795	0.379497	3.155554	3.766723	0.420950
2	AG139	0.570077	0.509915	3.113756	3.864919	0.265390
3	AG139	0.585971	0.379094	3.101602	3.797133	0.286939
4	AG139	0.582764	0.417068	3.096242	3.821040	0.363319
5	AG139	0.511287	0.441304	3.265926	3.747165	0.172189
6	AG139	0.569849	0.327967	3.128558	3.798518	0.405495
7	AG139	0.570746	0.467417	3.070852	3.684528	0.207222
8	AG139	0.540936	0.631260	3.261500	3.900246	0.205798
9	AG139	0.606966	0.409085	3.246083	3.769395	0.178359
10	AG139	0.604851	0.361751	3.281121	3.784557	0.162547
1	AG142	0.790121	0.444548	3.228485	3.615326	0.259743
2	AG142	0.747979	0.467315	3.204753	3.602281	0.165825
3	AG142	0.709082	0.711366	3.223092	3.608928	0.222903
4	AG142	0.778378	0.488991	3.137750	3.963083	0.272893
5	AG142	0.733511	0.731258	3.340051	4.015154	0.257538
6	AG142	0.750670	0.530780	3.255937	3.799797	0.307353
7	AG142	0.735798	0.703140	3.295520	3.666214	0.250555
8	AG142	0.729233	0.419254	3.374519	4.127223	0.394884
9	AG142	0.751061	0.456884	3.195118	3.786749	0.234005
10	AG142	0.768332	0.554245	3.153956	3.946399	0.316269
1	GD14	0.611044	0.512092	3.263561	3.290127	0.276019
2	GD14	0.591271	0.437468	3.156331	3.539159	0.479670
3	GD14	0.629693	0.312302	3.347198	3.478627	0.479513
4	GD14	0.625011	0.285979	3.239911	3.611036	0.541368
5	GD14	0.604320	0.346263	3.264666	3.224995	0.404474
6	GD14	0.642584	0.372196	3.373933	3.405377	0.296508
7	GD14	0.610882	0.494567	3.173383	3.251570	0.338981
8	GD14	0.656165	0.354936	3.276772	3.849336	0.449412
9	GD14	0.612047	0.417845	3.186219	3.489994	0.429760
10	GD14	0.648658	0.280524	3.241309	3.258492	0.397699
1	GD15	0.613277	0.295830	3.108021	3.765021	0.277958
2	GD15	0.591810	0.380208	3.271176	3.983329	0.257898
3	GD15	0.622105	0.458814	3.174123	3.753561	0.289174
4	GD15	0.590949	0.401989	3.153125	3.569337	0.179813
5	GD15	0.581343	0.391101	3.286093	4.034160	0.215712
6	GD15	0.586856	0.299696	3.202591	3.443958	0.218176
7	GD15	0.597507	0.471783	3.131636	3.843308	0.307107
8	GD15	0.605502	0.364602	3.070859	3.883604	0.332681
9	GD15	0.633955	0.548470	3.226987	4.362598	0.451019
10	GD15	0.563746	0.427731	3.140182	3.840925	0.347043
1	GD16	0.397776	0.314673	3.073997	3.710350	0.237735
2	GD16	0.365181	0.426788	3.013128	3.866339	0.185179
3	GD16	0.387405	0.418701	3.040631	3.799685	0.144710
4	GD16	0.381130	0.416089	3.282408	3.900253	0.169533
5	GD16	0.414579	0.363296	3.027320	3.704667	0.320951
6	GD16	0.375385	0.399567	3.306894	4.069729	0.139044
7	GD16	0.335062	0.465726	3.164659	3.777743	0.246036
8	GD16	0.439355	0.505637	3.201590	3.914204	0.184669
9	GD16	0.377034	0.460516	3.065780	3.878012	0.211962
10	GD16	0.362168	0.302616	3.207934	3.821867	0.334560
