rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.610510	0.203839	5.832135	7.020195	0.179847
2	AG111	0.653909	0.199486	5.811998	7.349020	0.131998
3	AG111	0.584078	0.205075	5.861028	7.217978	0.171863
4	AG111	0.595698	0.169493	5.844930	6.874495	0.176608
5	AG111	0.552883	0.207411	5.824319	7.088967	0.425449
6	AG111	0.614237	0.186131	5.820349	7.790547	0.319178
7	AG111	0.575686	0.239210	5.938482	7.313650	0.262224
8	AG111	0.643682	0.239658	5.791894	7.442723	0.188849
9	AG111	0.547351	0.166239	5.822051	6.982316	0.259150
10	AG111	0.629215	0.209642	5.715806	7.129636	0.183027
1	AG112	0.799527	0.311182	6.206834	7.174738	0.139803
2	AG112	0.747611	0.275285	5.752463	6.913095	0.364942
3	AG112	0.742373	0.270833	5.904843	6.888417	0.257529
4	AG112	0.751963	0.304154	5.655722	6.569507	0.280283
5	AG112	0.727790	0.289534	6.055028	6.594377	0.160660
6	AG112	0.746916	0.248235	5.839853	7.044260	0.412376
7	AG112	0.766115	0.260712	5.761026	7.060291	0.308447
8	AG112	0.769981	0.228457	6.186709	7.133373	0.169769
9	AG112	0.800445	0.262872	6.030762	7.125674	0.173443
10	AG112	0.752166	0.226910	5.821882	6.607496	0.300989
1	AG139	0.596522	0.307794	5.758645	7.141296	0.261511
2	AG139	0.629148	0.292328	5.883641	7.287535	0.285744
3	AG139	0.577068	0.363961	5.644654	6.922985	0.243180
4	AG139	0.607691	0.256949	5.933752	7.260340	0.234309
5	AG139	0.601201	0.289602	5.962327	7.129244	0.275105
6	AG139	0.551406	0.255500	5.938536	6.711163	0.101012
7	AG139	0.544864	0.254328	5.749730	6.859171	0.384127
8	AG139	0.551911	0.225266	6.092005	6.606499	0.096584
9	AG139	0.520922	0.349227	6.137213	7.164571	0.157189
10	AG139	0.567896	0.291658	5.792814	7.066624	0.102283
1	AG142	0.754867	0.352849	6.052568	7.645222	0.254098
2	AG142	0.765857	0.337771	5.776576	7.474035	0.352999
3	AG142	0.711370	0.372666	5.982907	7.102380	0.061969
4	AG142	0.753126	0.298792	5.816680	7.705194	0.344631
5	AG142	0.740443	0.288918	6.012310	6.807042	0.199558
6	AG142	0.711846	0.365750	5.924849	7.149892	0.218435
7	AG142	0.747598	0.330910	6.019846	6.882780	0.169271
8	AG142	0.725760	0.289267	6.031568	6.970948	0.230167
9	AG142	0.739492	0.387862	5.723216	7.089009	0.137176
10	AG142	0.762578	0.380200	5.776220	7.304794	0.189278
1	GD14	0.655361	0.312071	6.081885	7.106132	0.366391
2	GD14	0.602669	0.292224	5.890766	6.718431	0.398595
3	GD14	0.643748	0.333749	5.950729	7.393207	0.379138
4	GD14	0.612570	0.236900	5.838033	6.599408	0.385010
5	GD14	0.569840	0.274615	5.712830	6.665635	0.525268
6	GD14	0.689297	0.222768	5.840496	6.721714	0.312546
7	GD14	0.592677	0.265278	5.843529	7.025989	0.472275
8	GD14	0.595249	0.221937	6.209118	6.549856	0.139599
9	GD14	0.620532	0.258643	5.752971	6.661522	0.432979
10	GD14	0.634835	0.219995	5.821208	6.628832	0.381052
1	GD15	0.567033	0.275067	5.761781	6.831795	0.216824
2	GD15	0.631446	0.195101	5.914767	7.009643	0.135647
3	GD15	0.622396	0.284097	5.891758	7.199087	0.032515
4	GD15	0.629134	0.246257	5.743546	6.975511	0.018563
5	GD15	0.617799	0.325707	5.816232	6.992028	0.188515
6	GD15	0.563114	0.189761	5.931088	6.781371	0.263238
7	GD15	0.622175	0.276491	5.914396	6.675323	0.042926
8	GD15	0.607502	0.217947	5.612450	7.050339	0.170351
9	GD15	0.606952	0.237562	5.640678	7.245619	0.318666
10	GD15	0.594648	0.211127	5.922503	6.509840	0.180175
1	GD16	0.349469	0.295590	5.748285	7.148843	0.181351
2	GD16	0.378872	0.275118	5.941067	7.797412	0.175523
3	GD16	0.389358	0.238899	5.692428	6.945997	0.206617
4	GD16	0.409320	0.266574	5.750324	7.848014	0.262500
5	GD16	0.366027	0.198671	5.685413	6.844801	0.295980
6	GD16	0.416471	0.245513	5.784999	7.079128	0.353395
7	GD16	0.336239	0.256563	5.799711	6.607039	0.146271
8	GD16	0.425208	0.255809	5.720597	7.100153	0.159271
9	GD16	0.407470	0.275730	5.818907	7.787279	0.257379
10	GD16	0.368636	0.304316	5.856405	6.954395	0.171665
