parameter	value	se_sa	rse_sa
rhoS_pop	0.64892504160883124	nan	nan
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	3.06320552338315766	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.22178199472494048	nan	nan
S0_pop	23167.87018785872714943	1820.56702029770235640	7.85815444205908165
T0_pop	25128.01559389115209342	2011.06528087514402614	8.00327934118304185
omega_S0	0.17635036572391277	0.06405749012256946	36.32399051718178384
omega_T0	0.19465309535464675	0.06110881351580967	31.39370242454810267
b1	0.24575814103502358	0.03400134650281277	13.83528796222752710
b2	0.21827370802078949	0.02903691409317665	13.30298291831420521
b3	0.33191403303082423	0.04775704573209905	14.38837800740529183
