rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	0.019746	-0.177879	-0.172952	0.000189	-0.071877
2	AG111	-0.053632	0.084158	0.014721	-0.012160	-0.039188
3	AG111	0.016819	-0.347340	-0.051722	0.102162	0.048822
4	AG111	-0.040262	-0.009503	-0.102905	0.059496	0.027870
5	AG111	-0.022525	-0.245801	0.053050	0.008938	0.008264
6	AG111	-0.031407	-0.377480	0.089259	0.063697	-0.024320
7	AG111	-0.002029	-0.183832	0.001281	-0.013021	-0.067098
8	AG111	-0.004215	-0.218473	-0.033777	0.122033	-0.083361
9	AG111	0.026384	-0.462615	0.097615	0.089685	0.017939
10	AG111	-0.012079	-0.089450	-0.277870	-0.045366	-0.092353
1	AG112	0.188026	0.023586	-0.045009	-0.015631	-0.070404
2	AG112	0.195946	0.048135	-0.038555	-0.044588	-0.034483
3	AG112	0.146689	0.110129	0.236954	0.010314	0.067963
4	AG112	0.117361	0.067584	0.083325	0.012683	0.048540
5	AG112	0.124353	0.144260	0.044162	0.023771	0.036087
6	AG112	0.158560	-0.522130	0.182454	-0.050973	0.097524
7	AG112	0.173174	-0.144741	-0.049454	-0.066931	-0.019866
8	AG112	0.118801	-0.393282	0.006512	-0.041401	0.091541
9	AG112	0.126928	0.126554	0.056984	-0.035632	0.039053
10	AG112	0.173486	-0.203293	-0.162047	-0.071821	0.045612
1	AG139	-0.056764	0.020074	-0.153554	-0.057380	-0.017899
2	AG139	-0.088012	-0.200560	0.030462	-0.054280	0.006491
3	AG139	-0.065224	0.031954	-0.088890	-0.010438	0.029181
4	AG139	-0.058292	-0.007545	0.057520	0.007699	-0.048531
5	AG139	0.015783	0.287729	0.009615	0.075208	-0.051088
6	AG139	-0.044272	0.064928	0.040852	0.040393	-0.035190
7	AG139	-0.056460	-0.279292	-0.079298	-0.051867	0.040469
8	AG139	-0.074544	-0.256225	0.014994	-0.056095	-0.004905
9	AG139	-0.029467	0.164793	0.013478	-0.045030	-0.035735
10	AG139	-0.037924	-0.096215	0.084140	-0.025622	-0.036794
1	AG142	0.120579	0.242424	-0.099192	-0.055949	0.007872
2	AG142	0.162267	0.421978	-0.137613	0.055496	0.042095
3	AG142	0.107443	0.282327	0.096233	0.046811	-0.027914
4	AG142	0.161105	0.364750	0.001908	0.107743	0.052768
5	AG142	0.139530	0.502515	0.127051	0.016777	-0.053960
6	AG142	0.144762	0.557098	-0.034374	0.080809	0.078557
7	AG142	0.149596	0.323400	-0.042152	0.071055	0.049792
8	AG142	0.110548	0.563112	-0.063334	-0.028913	-0.041200
9	AG142	0.158154	0.293913	-0.022538	-0.062239	0.005874
10	AG142	0.136166	0.497310	-0.151625	-0.072873	0.019594
1	GD14	0.020418	-0.220503	0.092677	-0.127524	0.022280
2	GD14	0.057077	0.104543	0.008646	-0.058057	0.089025
3	GD14	-0.025272	0.104960	0.151631	-0.058648	0.026495
4	GD14	-0.010312	0.210663	0.004032	-0.124934	0.014672
5	GD14	0.008505	-0.384856	-0.021070	-0.122589	0.139578
6	GD14	0.025414	-0.106345	0.150658	-0.040663	-0.029473
7	GD14	0.065249	-0.040642	0.010067	-0.032780	0.064706
8	GD14	-0.033154	-0.162041	-0.049453	-0.199165	0.048547
9	GD14	-0.002275	0.080770	-0.053663	-0.111691	0.033283
10	GD14	0.036944	0.002561	0.014352	-0.145533	-0.004914
1	GD15	0.008719	-0.103293	-0.168992	0.079631	0.004544
2	GD15	-0.025935	0.175185	-0.090891	0.081364	0.013414
3	GD15	0.008338	-0.424254	-0.033702	-0.020384	0.073435
4	GD15	-0.038234	-0.278371	0.115633	-0.036998	-0.049671
5	GD15	-0.004645	-0.237172	0.035505	0.052805	0.078325
6	GD15	-0.006434	-0.250927	-0.204231	-0.033014	0.011068
7	GD15	0.001846	0.138763	-0.208291	0.008370	-0.005031
8	GD15	0.011990	-0.328917	0.093179	-0.013579	-0.039168
9	GD15	-0.034250	0.202577	-0.064387	0.038987	0.012125
10	GD15	-0.003041	0.319890	0.017877	0.053673	-0.058363
1	GD16	-0.237066	0.052919	-0.002039	0.067678	-0.019529
2	GD16	-0.202404	0.021231	-0.117083	0.092599	-0.011122
3	GD16	-0.219000	0.210435	-0.053870	0.023905	-0.017225
4	GD16	-0.268243	0.339543	-0.078598	0.148086	0.043958
5	GD16	-0.214212	-0.148710	-0.149791	-0.017789	-0.039330
6	GD16	-0.255456	0.362599	-0.084129	0.110305	-0.052109
7	GD16	-0.179840	0.125588	-0.090252	0.040713	-0.077668
8	GD16	-0.219641	0.079960	-0.056506	0.036651	0.050251
9	GD16	-0.272230	-0.008059	-0.143409	-0.047276	0.039139
10	GD16	-0.248274	-0.093702	0.021006	0.010329	-0.012836
