rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.633276	0.302022	3.541960	4.409679	0.206399
2	AG111	0.559898	0.392499	3.729633	4.355559	0.239088
3	AG111	0.630350	0.254942	3.663190	4.883077	0.327098
4	AG111	0.573268	0.357407	3.612006	4.679116	0.306146
5	AG111	0.591006	0.282189	3.767961	4.448431	0.286540
6	AG111	0.582123	0.247373	3.804171	4.698815	0.253956
7	AG111	0.611501	0.300229	3.716193	4.351814	0.211178
8	AG111	0.609316	0.290007	3.681135	4.981078	0.194915
9	AG111	0.639914	0.227184	3.812527	4.822528	0.296215
10	AG111	0.601452	0.329946	3.437042	4.213306	0.185923
1	AG112	0.801557	0.369431	3.669903	4.340470	0.207872
2	AG112	0.809476	0.378612	3.676357	4.216585	0.243793
3	AG112	0.760219	0.402827	3.951866	4.454553	0.346239
4	AG112	0.730892	0.386048	3.798237	4.465122	0.326816
5	AG112	0.737884	0.416813	3.759074	4.514904	0.314363
6	AG112	0.772091	0.214058	3.897366	4.189748	0.375800
7	AG112	0.786704	0.312198	3.665458	4.123419	0.258410
8	AG112	0.732332	0.243495	3.721424	4.230043	0.369817
9	AG112	0.740459	0.409498	3.771895	4.254515	0.317329
10	AG112	0.787017	0.294443	3.552865	4.103304	0.323888
1	AG139	0.556767	0.368135	3.561358	4.162989	0.260377
2	AG139	0.525519	0.295248	3.745374	4.175913	0.284767
3	AG139	0.548307	0.372535	3.626022	4.363065	0.307457
4	AG139	0.555238	0.358107	3.772432	4.442923	0.229745
5	AG139	0.629314	0.481115	3.724526	4.753216	0.227188
6	AG139	0.569258	0.385024	3.755763	4.590577	0.243086
7	AG139	0.557071	0.272895	3.635614	4.186003	0.318745
8	AG139	0.538986	0.279263	3.729906	4.168341	0.273371
9	AG139	0.584063	0.425460	3.728389	4.214719	0.242541
10	AG139	0.575607	0.327721	3.799052	4.297317	0.241482
1	AG142	0.734110	0.459804	3.615719	4.168951	0.286148
2	AG142	0.775798	0.550241	3.577298	4.660436	0.320371
3	AG142	0.720973	0.478523	3.811145	4.620137	0.250362
4	AG142	0.774635	0.519636	3.716820	4.910405	0.331044
5	AG142	0.753061	0.596389	3.841963	4.483437	0.224316
6	AG142	0.758293	0.629846	3.680538	4.779912	0.356834
7	AG142	0.763127	0.498587	3.672760	4.733515	0.328068
8	AG142	0.724078	0.633645	3.651578	4.283197	0.237076
9	AG142	0.771684	0.484100	3.692374	4.142808	0.284150
10	AG142	0.749697	0.593293	3.563287	4.098987	0.297870
1	GD14	0.633949	0.289419	3.807589	3.880986	0.300556
2	GD14	0.670607	0.400583	3.723558	4.160173	0.367301
3	GD14	0.588259	0.400750	3.866543	4.157712	0.304771
4	GD14	0.603219	0.445430	3.718944	3.891051	0.292948
5	GD14	0.622035	0.245555	3.693842	3.900186	0.417854
6	GD14	0.638944	0.324418	3.865570	4.233168	0.248803
7	GD14	0.678779	0.346449	3.724979	4.266668	0.342982
8	GD14	0.580377	0.306843	3.665459	3.612673	0.326823
9	GD14	0.611256	0.391172	3.661249	3.942922	0.311559
10	GD14	0.650474	0.361744	3.729264	3.811718	0.273362
1	GD15	0.622250	0.325409	3.545920	4.774285	0.282820
2	GD15	0.587595	0.429904	3.624021	4.782565	0.291690
3	GD15	0.621869	0.236069	3.681210	4.319886	0.351711
4	GD15	0.575297	0.273146	3.830545	4.248708	0.228605
5	GD15	0.608885	0.284634	3.750417	4.647911	0.356601
6	GD15	0.607097	0.280746	3.510681	4.265669	0.289344
7	GD15	0.615376	0.414528	3.506621	4.445902	0.273245
8	GD15	0.625520	0.259683	3.808090	4.349384	0.239108
9	GD15	0.579280	0.441843	3.650525	4.584132	0.290401
10	GD15	0.610489	0.496840	3.732789	4.651949	0.219913
1	GD16	0.376464	0.380428	3.712873	4.717558	0.258747
2	GD16	0.411126	0.368562	3.597829	4.836602	0.267154
3	GD16	0.394530	0.445329	3.661042	4.515510	0.261051
4	GD16	0.345288	0.506701	3.636314	5.112553	0.322234
5	GD16	0.399319	0.310961	3.565121	4.331109	0.238946
6	GD16	0.358075	0.518519	3.630783	4.923002	0.226167
7	GD16	0.433691	0.409102	3.624659	4.592048	0.200608
8	GD16	0.393890	0.390855	3.658406	4.573434	0.328527
9	GD16	0.341300	0.357923	3.571503	4.205263	0.317415
10	GD16	0.365256	0.328545	3.735917	4.454623	0.265440
