rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.574188	0.244399	5.777453	7.576797	0.265857
2	AG111	0.622030	0.232275	5.839948	6.929599	0.204282
3	AG111	0.573679	0.204413	5.968400	7.326218	0.168001
4	AG111	0.586712	0.224684	5.875084	7.097111	0.284844
5	AG111	0.620012	0.290922	5.733031	7.604390	0.131087
6	AG111	0.601699	0.176371	6.026345	7.104834	0.161880
7	AG111	0.632629	0.192125	5.934720	7.331844	0.037128
8	AG111	0.636481	0.196633	5.740851	7.292662	0.239033
9	AG111	0.575558	0.206857	5.866692	7.697578	0.185266
10	AG111	0.521334	0.226226	5.892260	7.528703	0.316981
1	AG112	0.746197	0.352424	5.840675	7.393625	0.333571
2	AG112	0.734754	0.223586	6.055918	6.951843	0.196232
3	AG112	0.738163	0.274249	5.843255	6.972076	0.380973
4	AG112	0.802232	0.285135	6.054656	7.188981	0.189524
5	AG112	0.795913	0.192410	6.138756	7.185285	0.306670
6	AG112	0.723586	0.235951	5.919555	6.743967	0.217900
7	AG112	0.778404	0.328127	5.966670	6.847279	0.149042
8	AG112	0.683490	0.266133	6.083315	7.277277	0.421319
9	AG112	0.749285	0.254845	5.930823	6.838477	0.365347
10	AG112	0.774546	0.331887	6.079654	7.484857	0.225633
1	AG139	0.544316	0.389760	5.916862	7.667810	0.365373
2	AG139	0.634847	0.249882	5.939086	7.381013	0.202117
3	AG139	0.569537	0.308804	6.161217	7.931611	0.373097
4	AG139	0.562549	0.258155	5.846959	7.207751	0.177912
5	AG139	0.599796	0.211002	6.071613	6.954858	0.246472
6	AG139	0.613239	0.250017	6.019616	7.531708	0.210929
7	AG139	0.568141	0.280104	5.841116	7.481181	0.230442
8	AG139	0.505124	0.278841	5.944982	7.328280	0.307397
9	AG139	0.587518	0.279478	6.010301	7.176520	0.305907
10	AG139	0.525721	0.296786	5.868162	7.251515	0.275309
1	AG142	0.780114	0.432879	5.812189	7.329668	0.229669
2	AG142	0.788656	0.326602	6.144275	7.255658	0.089610
3	AG142	0.740714	0.303633	6.040594	6.977879	0.274816
4	AG142	0.697604	0.291579	6.053856	7.544374	0.215018
5	AG142	0.735947	0.477448	5.899061	6.888984	0.196188
6	AG142	0.698845	0.426227	6.004623	7.419692	0.241355
7	AG142	0.745396	0.327935	5.874217	7.223228	0.279103
8	AG142	0.719871	0.407997	5.831381	7.221493	0.262291
9	AG142	0.750851	0.270505	5.984961	7.128236	0.322719
10	AG142	0.763516	0.364981	5.796699	7.501991	0.096711
1	GD14	0.585586	0.229312	6.145849	6.538728	0.353329
2	GD14	0.642374	0.254179	6.087466	7.027130	0.381343
3	GD14	0.613518	0.319759	5.767956	6.499931	0.371738
4	GD14	0.648011	0.244964	5.883288	6.788952	0.337683
5	GD14	0.611242	0.277542	5.866799	6.407631	0.225419
6	GD14	0.591960	0.387183	6.038108	6.707112	0.304509
7	GD14	0.613845	0.291681	6.101849	6.638880	0.229882
8	GD14	0.643962	0.310462	5.930205	6.858841	0.391216
9	GD14	0.641475	0.292244	6.038895	6.868211	0.338630
10	GD14	0.711422	0.301412	5.827190	7.029334	0.293953
1	GD15	0.633367	0.270002	5.739452	7.185611	0.220240
2	GD15	0.610466	0.240012	6.058309	7.021002	0.211903
3	GD15	0.591861	0.251819	5.788207	7.337698	0.261383
4	GD15	0.570773	0.260125	6.045851	7.446020	0.209893
5	GD15	0.579295	0.302504	6.022937	7.618477	0.195546
6	GD15	0.560421	0.235494	6.002354	7.299369	0.171666
7	GD15	0.576545	0.266129	6.074938	7.668312	0.201400
8	GD15	0.617352	0.186899	5.803720	6.972974	0.214156
9	GD15	0.599187	0.253958	6.021253	7.263043	0.208275
10	GD15	0.610144	0.279453	5.814986	7.285016	0.217059
1	GD16	0.385725	0.194640	6.013146	7.480923	0.317095
2	GD16	0.413184	0.245820	5.742728	6.988854	0.210737
3	GD16	0.410929	0.272306	5.705851	7.316328	0.176457
4	GD16	0.403250	0.229524	5.986636	7.612984	0.426063
5	GD16	0.393306	0.232458	6.064118	7.183713	0.154558
6	GD16	0.406642	0.269842	5.702504	7.234499	0.241989
7	GD16	0.371438	0.262425	5.945725	7.441755	0.270874
8	GD16	0.362556	0.231428	5.935979	6.886375	0.104835
9	GD16	0.445401	0.323139	6.009451	7.799844	0.322810
10	GD16	0.356698	0.245171	6.092123	7.604604	0.216259
