rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	-0.087499	-0.245835	0.000000	0.000000	0.038653	0.000000	-0.008000	0.003576
2	AG111	0.007264	-0.394016	0.000000	0.000000	0.146125	0.000000	0.003324	-0.012332
3	AG111	-0.002476	-0.404140	0.000000	0.000000	0.017384	0.000000	-0.013459	-0.050466
4	AG111	-0.001850	-0.224614	0.000000	0.000000	0.208997	0.000000	0.003262	0.000702
5	AG111	-0.026715	-0.326217	0.000000	0.000000	-0.056573	0.000000	-0.002594	-0.021530
6	AG111	-0.003450	-0.374694	0.000000	0.000000	0.080691	0.000000	-0.020125	0.006343
7	AG111	0.006935	-0.027583	0.000000	0.000000	0.137566	0.000000	-0.004578	-0.036803
8	AG111	0.000538	-0.350892	0.000000	0.000000	0.084270	0.000000	-0.028120	-0.004366
9	AG111	-0.041208	-0.325825	0.000000	0.000000	0.124574	0.000000	-0.003413	-0.002003
10	AG111	-0.027906	-0.344528	0.000000	0.000000	0.000434	0.000000	-0.014064	-0.000409
1	AG112	0.123334	0.041298	0.000000	0.000000	-0.009704	0.000000	0.025815	0.023226
2	AG112	0.096479	0.148833	0.000000	0.000000	-0.049935	0.000000	0.008881	0.007377
3	AG112	0.129422	0.206676	0.000000	0.000000	-0.086795	0.000000	-0.010235	-0.004792
4	AG112	0.174941	-0.103950	0.000000	0.000000	-0.117925	0.000000	0.015030	-0.000002
5	AG112	0.162442	-0.000692	0.000000	0.000000	0.030398	0.000000	0.001426	-0.004024
6	AG112	0.148774	0.239533	0.000000	0.000000	-0.119669	0.000000	-0.004100	0.023867
7	AG112	0.125711	-0.252862	0.000000	0.000000	-0.083501	0.000000	-0.001325	0.013536
8	AG112	0.181282	0.060712	0.000000	0.000000	-0.073284	0.000000	-0.000101	-0.032688
9	AG112	0.127400	-0.099031	0.000000	0.000000	-0.044246	0.000000	-0.003258	0.020449
10	AG112	0.084788	0.219806	0.000000	0.000000	-0.084614	0.000000	0.003706	-0.007472
1	AG139	-0.019227	-0.281379	0.000000	0.000000	-0.015857	0.000000	-0.005198	0.029065
2	AG139	-0.062281	-0.034568	0.000000	0.000000	-0.055560	0.000000	-0.010939	-0.006849
3	AG139	-0.073957	0.190470	0.000000	0.000000	0.112451	0.000000	0.036673	0.011207
4	AG139	-0.070987	0.159115	0.000000	0.000000	-0.005106	0.000000	-0.010852	-0.009924
5	AG139	-0.003218	-0.130062	0.000000	0.000000	-0.001410	0.000000	-0.003585	0.015290
6	AG139	-0.047557	-0.114188	0.000000	0.000000	-0.039278	0.000000	-0.010924	-0.009467
7	AG139	-0.053677	0.145808	0.000000	0.000000	0.026731	0.000000	-0.004376	0.000741
8	AG139	-0.066205	-0.013466	0.000000	0.000000	0.061530	0.000000	-0.000479	0.004616
9	AG139	-0.012500	0.114895	0.000000	0.000000	-0.011669	0.000000	-0.008083	-0.008829
10	AG139	0.000177	0.247839	0.000000	0.000000	0.081273	0.000000	0.016532	-0.041644
1	AG142	0.163641	0.284768	0.000000	0.000000	-0.057019	0.000000	0.012501	-0.025872
2	AG142	0.103311	0.674100	0.000000	0.000000	0.064438	0.000000	0.012177	0.026200
3	AG142	0.118310	0.330641	0.000000	0.000000	0.008290	0.000000	0.013848	0.042050
4	AG142	0.138097	0.408482	0.000000	0.000000	0.059151	0.000000	0.011658	0.027672
5	AG142	0.182627	0.057435	0.000000	0.000000	0.081488	0.000000	0.009324	0.047685
6	AG142	0.113707	0.181995	0.000000	0.000000	0.036479	0.000000	0.017148	0.009139
7	AG142	0.118494	0.595568	0.000000	0.000000	-0.019089	0.000000	0.003013	-0.001380
8	AG142	0.114062	0.233846	0.000000	0.000000	0.060185	0.000000	-0.002377	0.065960
9	AG142	0.130887	0.512046	0.000000	0.000000	-0.006194	0.000000	0.011249	-0.006997
10	AG142	0.182291	0.404301	0.000000	0.000000	0.070453	0.000000	0.013579	0.032200
1	GD14	0.045847	-0.160964	0.000000	0.000000	-0.159455	0.000000	0.007771	-0.061367
2	GD14	0.037363	0.050132	0.000000	0.000000	-0.103917	0.000000	-0.003944	0.011735
3	GD14	0.032563	-0.258553	0.000000	0.000000	-0.190433	0.000000	-0.012018	-0.034107
4	GD14	0.014973	-0.032781	0.000000	0.000000	-0.094890	0.000000	-0.002006	0.048675
5	GD14	0.027899	-0.117148	0.000000	0.000000	-0.131664	0.000000	0.006121	-0.012038
6	GD14	-0.012241	-0.265841	0.000000	0.000000	-0.117750	0.000000	-0.009625	0.036957
7	GD14	0.037505	-0.218923	0.000000	0.000000	-0.187063	0.000000	0.002372	-0.027450
8	GD14	-0.013266	-0.049402	0.000000	0.000000	-0.190114	0.000000	0.007342	-0.027625
9	GD14	0.044576	-0.090424	0.000000	0.000000	-0.061773	0.000000	-0.005149	0.002324
10	GD14	0.040364	-0.098274	0.000000	0.000000	-0.125577	0.000000	-0.009430	0.013119
