rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.009306	-0.418511	-0.079284	-0.032067	-0.055519
2	AG111	-0.040131	-0.184418	-0.078057	-0.004956	0.042394
3	AG111	-0.040575	0.024417	-0.101797	-0.020598	-0.075091
4	AG111	-0.016222	-0.577246	0.017933	-0.032135	-0.165664
5	AG111	-0.063083	-0.201246	-0.106823	0.025953	-0.104517
6	AG111	-0.000983	-0.284945	0.035604	-0.019234	-0.119793
7	AG111	0.041171	-0.350230	-0.291713	-0.014788	-0.166873
8	AG111	0.022810	-0.266136	-0.296089	0.049205	0.020738
9	AG111	-0.062968	-0.236570	-0.097913	0.022954	0.018901
10	AG111	-0.024258	0.070434	0.112248	0.037281	-0.083884
1	AG112	0.144256	-0.239764	0.271833	-0.030472	-0.069809
2	AG112	0.157052	0.003840	0.071809	-0.016996	0.071097
3	AG112	0.117492	-0.024228	-0.056460	0.037474	0.138910
4	AG112	0.117556	-0.038223	0.107381	0.050089	0.151435
5	AG112	0.125898	-0.042479	0.134387	-0.033125	-0.002307
6	AG112	0.201529	-0.275704	0.095462	0.019593	0.011600
7	AG112	0.176788	-0.085424	-0.018272	-0.026550	-0.026576
8	AG112	0.124157	0.077226	0.056479	-0.018738	0.078410
9	AG112	0.118265	-0.088603	-0.070065	-0.023345	0.134393
10	AG112	0.155613	0.414298	0.115794	0.031454	0.063146
1	AG139	-0.070958	0.056964	-0.114061	0.026600	0.110484
2	AG139	-0.018056	0.140249	-0.107939	0.003217	-0.006524
3	AG139	-0.028138	-0.088700	0.042058	-0.026960	-0.016222
4	AG139	-0.064725	-0.064278	-0.087810	-0.025660	-0.006542
5	AG139	-0.086696	0.150311	-0.055066	0.042984	0.005381
6	AG139	-0.045441	0.075317	-0.117071	0.026824	-0.051702
7	AG139	-0.066956	0.220275	-0.019267	0.001694	0.041435
8	AG139	-0.038410	0.077758	0.018745	-0.011096	-0.007862
9	AG139	0.005492	-0.083259	0.342018	0.001424	-0.117182
10	AG139	-0.030214	-0.045364	-0.078039	0.053654	0.099135
1	AG142	0.151643	0.425593	-0.049858	-0.030160	-0.141303
2	AG142	0.090045	0.516697	-0.158527	-0.014159	0.039112
3	AG142	0.103446	0.460912	0.162404	-0.024522	-0.162943
4	AG142	0.123434	0.279864	0.045671	0.010019	-0.025135
5	AG142	0.158893	0.213583	-0.169609	0.001809	-0.024014
6	AG142	0.129220	0.155381	-0.028833	0.019041	-0.007511
7	AG142	0.131987	-0.026837	-0.106742	-0.020911	0.054116
8	AG142	0.104882	0.424921	0.124217	-0.007504	-0.055950
9	AG142	0.171421	0.103395	-0.176125	-0.003836	0.058914
10	AG142	0.142452	0.240566	-0.100995	0.010921	0.039605
1	GD14	0.034582	0.026860	0.071088	-0.014897	0.110497
2	GD14	0.011550	-0.228171	-0.118669	0.002508	0.275756
3	GD14	-0.012504	-0.023486	0.184747	-0.032971	0.196335
4	GD14	0.030360	-0.263728	0.009308	-0.049337	0.173762
5	GD14	-0.015842	0.231431	0.157923	-0.050129	0.093868
6	GD14	-0.014738	-0.163997	0.170277	0.017798	0.343677
7	GD14	-0.037073	0.001410	0.246464	-0.020888	0.133351
8	GD14	-0.010369	0.160597	0.084631	-0.038407	0.088896
9	GD14	-0.015100	-0.057201	-0.004309	-0.076369	0.167267
10	GD14	0.014445	0.018195	-0.133892	-0.005791	0.223499
1	GD15	-0.033317	-0.062935	-0.158910	0.007085	0.055577
2	GD15	-0.034024	-0.172371	0.052476	0.051869	0.082394
3	GD15	-0.014264	0.275306	0.059253	0.000249	-0.088697
4	GD15	0.010331	-0.287615	-0.060999	-0.045718	0.048150
5	GD15	-0.019076	0.151731	-0.384515	-0.001964	0.046901
6	GD15	0.023066	-0.013285	0.187377	0.024986	-0.155076
7	GD15	0.017053	0.039928	-0.141496	0.007233	0.003992
8	GD15	0.028603	-0.204832	0.096784	-0.011338	-0.036788
9	GD15	0.011210	0.344257	-0.138423	0.021226	-0.113013
10	GD15	-0.037684	-0.105799	0.107434	-0.014694	-0.034256
1	GD16	-0.219597	0.055581	0.078932	0.054587	-0.051382
2	GD16	-0.254545	-0.048042	0.224236	-0.000068	-0.154301
3	GD16	-0.249410	-0.105248	-0.006937	0.005082	-0.000671
4	GD16	-0.215757	0.029123	-0.145802	-0.016211	-0.000826
5	GD16	-0.230113	-0.016884	-0.265114	-0.020969	0.083160
6	GD16	-0.235236	-0.239721	-0.176575	-0.014958	0.058818
7	GD16	-0.263632	0.131352	0.020868	0.076497	-0.024139
8	GD16	-0.244919	-0.014795	0.184106	0.053858	-0.113514
9	GD16	-0.242238	-0.143920	-0.018547	-0.014666	-0.106662
10	GD16	-0.254755	0.200707	-0.020851	0.096822	0.073665
