rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.603691	0.188747	5.325342	6.523565	0.243896
2	AG111	0.572866	0.238531	5.326569	6.702846	0.341809
3	AG111	0.572423	0.293928	5.302829	6.598811	0.224323
4	AG111	0.596776	0.161043	5.422559	6.523123	0.133750
5	AG111	0.549915	0.234551	5.297803	6.913259	0.194898
6	AG111	0.612015	0.215718	5.440230	6.607819	0.179622
7	AG111	0.654169	0.202085	5.112913	6.637264	0.132542
8	AG111	0.635808	0.219814	5.108537	7.075888	0.320153
9	AG111	0.550030	0.226410	5.306713	6.892553	0.318316
10	AG111	0.588739	0.307770	5.516874	6.992016	0.215531
1	AG112	0.757254	0.225688	5.676459	6.533977	0.229606
2	AG112	0.770049	0.287942	5.476435	6.622628	0.370512
3	AG112	0.730489	0.279972	5.348166	6.993363	0.438324
4	AG112	0.730553	0.276081	5.512007	7.082142	0.450850
5	AG112	0.738896	0.274909	5.539013	6.516663	0.297107
6	AG112	0.814527	0.217721	5.500088	6.869429	0.311014
7	AG112	0.789785	0.263353	5.386354	6.559657	0.272839
8	AG112	0.737155	0.309867	5.461105	6.611097	0.377825
9	AG112	0.731262	0.262517	5.334561	6.580709	0.433808
10	AG112	0.768610	0.434074	5.520420	6.951395	0.362561
1	AG139	0.542039	0.303652	5.290565	6.917733	0.409898
2	AG139	0.594941	0.330025	5.296687	6.757848	0.292891
3	AG139	0.584860	0.262491	5.446684	6.556966	0.283192
4	AG139	0.548272	0.268981	5.316816	6.565497	0.292873
5	AG139	0.526301	0.333362	5.349560	7.032004	0.304796
6	AG139	0.567557	0.309276	5.287555	6.919279	0.247713
7	AG139	0.546042	0.357520	5.385359	6.747565	0.340849
8	AG139	0.574588	0.310032	5.423371	6.661817	0.291552
9	AG139	0.618490	0.263923	5.746644	6.745745	0.182233
10	AG139	0.582783	0.274117	5.326587	7.107439	0.398550
1	AG142	0.764640	0.439005	5.354768	6.536015	0.158112
2	AG142	0.703043	0.480879	5.246099	6.641442	0.338526
3	AG142	0.716443	0.454787	5.567030	6.572969	0.136472
4	AG142	0.736432	0.379472	5.450297	6.803971	0.274279
5	AG142	0.771891	0.355136	5.235017	6.748343	0.275401
6	AG142	0.742217	0.335056	5.375793	6.865637	0.291903
7	AG142	0.744985	0.279242	5.297884	6.596750	0.353531
8	AG142	0.717879	0.438710	5.528843	6.685785	0.243465
9	AG142	0.784418	0.318083	5.228501	6.710358	0.358328
10	AG142	0.755449	0.364849	5.303631	6.810113	0.339020
1	GD14	0.647580	0.294647	5.475714	6.636544	0.409911
2	GD14	0.624547	0.228320	5.285957	6.753059	0.575171
3	GD14	0.600493	0.280180	5.589373	6.517667	0.495749
4	GD14	0.643358	0.220344	5.413934	6.411871	0.473177
5	GD14	0.597156	0.361531	5.562549	6.406796	0.393283
6	GD14	0.598259	0.243452	5.574903	6.857112	0.643092
7	GD14	0.575925	0.287243	5.651090	6.596903	0.432766
8	GD14	0.602629	0.336809	5.489257	6.482336	0.388310
9	GD14	0.597897	0.270891	5.400317	6.240868	0.466682
10	GD14	0.627443	0.292105	5.270734	6.697248	0.522914
1	GD15	0.579680	0.269342	5.245716	6.784039	0.354992
2	GD15	0.578974	0.241422	5.457102	7.094762	0.381809
3	GD15	0.598733	0.377747	5.463879	6.737826	0.210717
4	GD15	0.623328	0.215143	5.343627	6.435116	0.347565
5	GD15	0.593921	0.333836	5.020111	6.722928	0.346315
6	GD15	0.636063	0.283052	5.592003	6.906574	0.144339
7	GD15	0.630050	0.298523	5.263130	6.785046	0.303407
8	GD15	0.641600	0.233711	5.501410	6.660203	0.262627
9	GD15	0.624207	0.404711	5.266203	6.880653	0.186401
10	GD15	0.575313	0.258041	5.512061	6.637888	0.265159
1	GD16	0.393401	0.303232	5.483558	7.114070	0.248032
2	GD16	0.358452	0.273384	5.628862	6.735685	0.145114
3	GD16	0.363588	0.258183	5.397689	6.770463	0.298743
4	GD16	0.397240	0.295314	5.258824	6.627824	0.298588
5	GD16	0.382885	0.282036	5.139512	6.596365	0.382575
6	GD16	0.377761	0.225698	5.228052	6.636138	0.358232
7	GD16	0.349366	0.327101	5.425494	7.271666	0.275275
8	GD16	0.368078	0.282626	5.588732	7.108890	0.185901
9	GD16	0.370760	0.248389	5.386079	6.638077	0.192752
10	GD16	0.358242	0.350593	5.383775	7.420970	0.373080
