rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB
1	AG111	0.594558	0.094428	1.954815	0.000000	0.000000	-0.240586
2	AG111	0.569116	-0.001550	1.954815	0.000000	0.000000	-0.240586
3	AG111	0.567487	-0.099266	1.954815	0.000000	0.000000	-0.240586
4	AG111	0.593250	0.202427	1.954815	0.000000	0.000000	-0.240586
5	AG111	0.571587	0.072170	1.954815	0.000000	0.000000	-0.240586
6	AG111	0.552166	-0.062936	1.954815	0.000000	0.000000	-0.240586
7	AG111	0.618635	0.027563	1.954815	0.000000	0.000000	-0.240586
8	AG111	0.625718	0.099294	1.954815	0.000000	0.000000	-0.240586
9	AG111	0.631063	0.052788	1.954815	0.000000	0.000000	-0.240586
10	AG111	0.608238	-0.140431	1.954815	0.000000	0.000000	-0.240586
1	AG112	0.721235	-0.164559	1.954815	0.000000	0.000000	-0.240586
2	AG112	0.746505	-0.155451	1.954815	0.000000	0.000000	-0.240586
3	AG112	0.751132	-0.072819	1.954815	0.000000	0.000000	-0.240586
4	AG112	0.743128	0.107789	1.954815	0.000000	0.000000	-0.240586
5	AG112	0.810223	-0.019469	1.954815	0.000000	0.000000	-0.240586
6	AG112	0.749201	0.043372	1.954815	0.000000	0.000000	-0.240586
7	AG112	0.779204	0.073245	1.954815	0.000000	0.000000	-0.240586
8	AG112	0.749376	-0.158217	1.954815	0.000000	0.000000	-0.240586
9	AG112	0.751639	0.072704	1.954815	0.000000	0.000000	-0.240586
10	AG112	0.749620	0.033236	1.954815	0.000000	0.000000	-0.240586
1	AG139	0.594090	-0.085644	1.954815	0.000000	0.000000	-0.240586
2	AG139	0.568951	0.078404	1.954815	0.000000	0.000000	-0.240586
3	AG139	0.592186	-0.150365	1.954815	0.000000	0.000000	-0.240586
4	AG139	0.595243	0.025634	1.954815	0.000000	0.000000	-0.240586
5	AG139	0.603192	0.096571	1.954815	0.000000	0.000000	-0.240586
6	AG139	0.572476	0.037730	1.954815	0.000000	0.000000	-0.240586
7	AG139	0.562258	0.184807	1.954815	0.000000	0.000000	-0.240586
8	AG139	0.563938	-0.061175	1.954815	0.000000	0.000000	-0.240586
9	AG139	0.542244	0.061331	1.954815	0.000000	0.000000	-0.240586
10	AG139	0.637282	0.031292	1.954815	0.000000	0.000000	-0.240586
1	AG142	0.763225	0.080149	1.954815	0.000000	0.000000	-0.240586
2	AG142	0.780572	0.088697	1.954815	0.000000	0.000000	-0.240586
3	AG142	0.754676	0.165445	1.954815	0.000000	0.000000	-0.240586
4	AG142	0.754496	-0.041462	1.954815	0.000000	0.000000	-0.240586
5	AG142	0.782734	-0.048378	1.954815	0.000000	0.000000	-0.240586
6	AG142	0.765797	-0.041804	1.954815	0.000000	0.000000	-0.240586
7	AG142	0.757170	0.001376	1.954815	0.000000	0.000000	-0.240586
8	AG142	0.766560	-0.055360	1.954815	0.000000	0.000000	-0.240586
9	AG142	0.784927	0.066425	1.954815	0.000000	0.000000	-0.240586
10	AG142	0.728932	-0.021778	1.954815	0.000000	0.000000	-0.240586
1	GD14	0.669521	0.029165	1.954815	0.000000	0.000000	-0.240586
2	GD14	0.633786	0.004574	1.954815	0.000000	0.000000	-0.240586
3	GD14	0.705413	0.014361	1.954815	0.000000	0.000000	-0.240586
4	GD14	0.692319	0.006021	1.954815	0.000000	0.000000	-0.240586
5	GD14	0.667550	-0.074223	1.954815	0.000000	0.000000	-0.240586
6	GD14	0.646962	-0.012157	1.954815	0.000000	0.000000	-0.240586
7	GD14	0.753058	-0.181367	1.954815	0.000000	0.000000	-0.240586
8	GD14	0.655395	-0.013596	1.954815	0.000000	0.000000	-0.240586
9	GD14	0.636906	0.030343	1.954815	0.000000	0.000000	-0.240586
10	GD14	0.713851	-0.124071	1.954815	0.000000	0.000000	-0.240586
1	GD15	0.645536	0.012741	1.954815	0.000000	0.000000	-0.240586
2	GD15	0.615000	-0.142941	1.954815	0.000000	0.000000	-0.240586
3	GD15	0.609023	0.051769	1.954815	0.000000	0.000000	-0.240586
4	GD15	0.647107	-0.028074	1.954815	0.000000	0.000000	-0.240586
5	GD15	0.580460	-0.052384	1.954815	0.000000	0.000000	-0.240586
6	GD15	0.568935	-0.021513	1.954815	0.000000	0.000000	-0.240586
7	GD15	0.652192	0.000818	1.954815	0.000000	0.000000	-0.240586
8	GD15	0.599598	-0.010052	1.954815	0.000000	0.000000	-0.240586
9	GD15	0.604588	0.074337	1.954815	0.000000	0.000000	-0.240586
10	GD15	0.651088	-0.017017	1.954815	0.000000	0.000000	-0.240586
1	GD16	0.381386	-0.024284	1.954815	0.000000	0.000000	-0.240586
2	GD16	0.392255	0.021979	1.954815	0.000000	0.000000	-0.240586
3	GD16	0.408521	-0.078751	1.954815	0.000000	0.000000	-0.240586
4	GD16	0.444479	0.014487	1.954815	0.000000	0.000000	-0.240586
5	GD16	0.443935	-0.142292	1.954815	0.000000	0.000000	-0.240586
6	GD16	0.398134	-0.044762	1.954815	0.000000	0.000000	-0.240586
7	GD16	0.408626	0.010931	1.954815	0.000000	0.000000	-0.240586
8	GD16	0.391098	-0.026170	1.954815	0.000000	0.000000	-0.240586
9	GD16	0.418950	-0.132102	1.954815	0.000000	0.000000	-0.240586
10	GD16	0.403797	-0.074500	1.954815	0.000000	0.000000	-0.240586
