rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.599254	0.263605	3.873643	4.457930	0.129997
2	AG111	0.562489	0.432537	3.705120	4.711352	0.131201
3	AG111	0.624512	0.362757	3.865745	4.760819	0.243624
4	AG111	0.634487	0.205888	3.775940	4.416030	0.189948
5	AG111	0.551455	0.229181	3.826536	4.381144	0.197300
6	AG111	0.618838	0.247608	3.805443	4.362114	0.181100
7	AG111	0.638900	0.239644	3.721750	4.523347	0.100630
8	AG111	0.591139	0.248464	3.678335	4.433062	0.231810
9	AG111	0.625504	0.182760	3.821739	4.631255	0.176078
10	AG111	0.579672	0.290758	3.804486	4.723929	0.221925
1	AG112	0.732515	0.510337	3.928935	4.467765	0.196373
2	AG112	0.741541	0.320897	3.771867	3.895275	0.221314
3	AG112	0.739142	0.264889	3.910247	4.325840	0.262432
4	AG112	0.757432	0.516903	3.839515	4.472579	0.268850
5	AG112	0.731851	0.391356	3.830156	4.070048	0.283757
6	AG112	0.770425	0.349787	3.799191	4.193097	0.250624
7	AG112	0.736210	0.267973	3.811229	3.921528	0.251318
8	AG112	0.730301	0.352327	3.841282	4.204700	0.288472
9	AG112	0.731707	0.519705	3.724643	4.291253	0.157777
10	AG112	0.746906	0.310512	3.883837	4.100039	0.312209
1	AG139	0.597381	0.417569	3.817405	4.457687	0.182895
2	AG139	0.525668	0.370549	3.718841	4.240197	0.195486
3	AG139	0.574394	0.352049	3.777782	4.104076	0.241077
4	AG139	0.556178	0.352386	3.850751	4.373951	0.226940
5	AG139	0.551227	0.340267	3.893046	4.073034	0.230653
6	AG139	0.527534	0.358145	3.809444	4.415458	0.159549
7	AG139	0.553673	0.558793	3.685580	4.446303	0.184274
8	AG139	0.574519	0.408575	3.596263	4.348981	0.244426
9	AG139	0.498288	0.345711	3.987490	4.832604	0.270473
10	AG139	0.572426	0.401916	3.828950	4.610260	0.251273
1	AG142	0.751911	0.450871	3.817341	4.464398	0.228830
2	AG142	0.734155	0.389506	3.853519	4.213078	0.168436
3	AG142	0.718380	0.532775	3.680299	4.302261	0.183405
4	AG142	0.758730	0.517829	3.681053	4.463409	0.274153
5	AG142	0.781949	0.555601	3.733323	4.266342	0.141918
6	AG142	0.766747	0.430626	3.723605	4.551614	0.213616
7	AG142	0.754436	0.461541	3.911247	4.182132	0.216287
8	AG142	0.755452	0.563293	3.809848	4.177179	0.157987
9	AG142	0.759773	0.525028	3.899569	4.469933	0.223303
10	AG142	0.771092	0.487305	3.744248	4.188296	0.227154
1	GD14	0.650673	0.368815	3.813382	3.813545	0.178513
2	GD14	0.671663	0.276309	3.873106	3.934245	0.222801
3	GD14	0.643334	0.333422	3.915338	4.048361	0.315494
4	GD14	0.636441	0.401461	3.729761	3.722205	0.161593
5	GD14	0.604836	0.315539	3.896686	3.649821	0.157126
6	GD14	0.690957	0.351179	3.899819	4.205729	0.203177
7	GD14	0.586709	0.341472	3.850540	3.822245	0.244325
8	GD14	0.582560	0.348078	3.829311	3.850790	0.306453
9	GD14	0.641858	0.323824	3.782390	3.824242	0.225818
10	GD14	0.589618	0.302382	3.909064	3.758886	0.212006
1	GD15	0.564908	0.391604	3.890026	4.643694	0.199817
2	GD15	0.544513	0.498767	3.761673	4.526948	0.158039
3	GD15	0.640866	0.302505	3.726097	4.280687	0.207332
4	GD15	0.576162	0.317260	3.829805	4.436617	0.169136
5	GD15	0.576929	0.273691	3.926382	4.605154	0.197713
6	GD15	0.625068	0.315273	3.695513	4.291403	0.210098
7	GD15	0.615390	0.265189	3.954507	4.693218	0.224074
8	GD15	0.652293	0.314403	3.737858	4.575932	0.243318
9	GD15	0.634145	0.387955	3.613354	4.266768	0.119445
10	GD15	0.589266	0.402764	3.804596	4.581368	0.200822
1	GD16	0.404336	0.266199	3.765447	4.606088	0.213671
2	GD16	0.396294	0.314144	3.758038	4.466666	0.279797
3	GD16	0.355727	0.296648	3.829765	4.841634	0.245900
4	GD16	0.410995	0.311723	3.728311	4.435061	0.271256
5	GD16	0.387075	0.323963	3.795856	4.819982	0.248088
6	GD16	0.407851	0.322651	3.706097	4.541770	0.258854
7	GD16	0.341202	0.441722	3.761875	4.545928	0.214513
8	GD16	0.363796	0.394267	3.828281	4.599787	0.162880
9	GD16	0.388476	0.412091	3.774464	4.453404	0.223750
10	GD16	0.386207	0.307084	3.822048	4.683281	0.250708
