rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.056568	-0.810574	0.241260	-0.026275	0.014660
2	AG111	-0.032584	-0.114380	0.101992	0.049665	-0.087824
3	AG111	-0.043510	-0.371907	0.102348	0.018098	-0.167919
4	AG111	-0.011952	-0.207070	0.084923	0.072842	-0.069803
5	AG111	-0.073913	-0.235276	0.033240	0.027341	-0.116896
6	AG111	-0.039650	-0.279311	0.045144	0.036530	-0.006595
7	AG111	-0.046367	-0.218367	-0.115885	0.014324	-0.085332
8	AG111	0.029033	-0.029771	0.003580	0.002353	-0.162193
9	AG111	0.018353	-0.614164	0.047471	-0.030616	-0.106146
10	AG111	-0.021690	-0.373496	-0.142304	-0.016137	-0.141393
1	AG112	0.109839	-0.064459	0.097107	-0.007673	0.098608
2	AG112	0.124663	0.229650	-0.051229	0.020262	0.112640
3	AG112	0.145599	-0.135926	0.068777	0.058929	0.170720
4	AG112	0.154309	0.439114	0.214687	0.054319	0.088634
5	AG112	0.151264	0.123555	0.334341	0.029255	-0.047794
6	AG112	0.131374	0.011789	0.051879	0.003787	0.034937
7	AG112	0.100547	0.092539	-0.020713	-0.022671	0.115891
8	AG112	0.124501	0.208297	0.003451	-0.008741	0.026912
9	AG112	0.119563	0.211276	-0.162726	-0.037139	0.189902
10	AG112	0.163907	-0.317975	-0.103176	-0.004084	0.248531
1	AG139	-0.046336	0.148376	-0.094932	-0.000202	-0.063574
2	AG139	-0.030815	-0.145556	0.068030	-0.036355	-0.006084
3	AG139	-0.041469	0.118455	-0.030166	0.055547	-0.000502
4	AG139	-0.045356	-0.162301	0.018538	-0.035383	-0.036385
5	AG139	-0.078188	0.108076	-0.073286	0.032721	0.047468
6	AG139	-0.043869	0.011573	0.097409	0.009096	0.012178
7	AG139	-0.046464	0.016000	0.116394	0.007724	-0.072208
8	AG139	-0.011443	-0.139592	-0.037018	-0.005785	-0.044436
9	AG139	-0.003843	-0.121086	0.008233	0.051312	0.086573
10	AG139	-0.023643	0.122560	0.055557	-0.002205	-0.105023
1	AG142	0.165272	0.153193	0.065429	-0.024733	-0.097145
2	AG142	0.120449	0.188139	0.128184	-0.008165	-0.053257
3	AG142	0.086322	0.471662	0.105397	-0.009830	-0.180860
4	AG142	0.134020	0.075927	-0.128264	0.006433	0.040761
5	AG142	0.127459	0.349388	0.046150	-0.009989	-0.049972
6	AG142	0.139197	0.341738	-0.132447	-0.007552	0.006391
7	AG142	0.136663	0.228446	-0.206984	-0.014891	0.030449
8	AG142	0.110887	0.173329	0.131822	0.015494	0.009171
9	AG142	0.128829	0.498563	-0.180422	0.019227	0.025091
10	AG142	0.112984	0.110583	0.008516	0.045001	0.030469
1	GD14	0.049747	-0.394550	-0.073018	-0.043584	0.233649
2	GD14	-0.010509	-0.193831	0.282169	-0.031780	0.169075
3	GD14	-0.016765	0.000082	0.083402	-0.023195	0.165008
4	GD14	-0.008067	-0.200821	0.115914	-0.021263	0.268822
5	GD14	0.017762	0.049301	0.135106	0.010097	0.270976
6	GD14	0.090374	-0.299507	-0.084289	0.012314	0.200559
7	GD14	0.031227	0.010507	-0.012918	-0.049021	0.151676
8	GD14	0.056920	0.024649	0.282331	-0.038621	0.086285
9	GD14	-0.015948	0.376374	-0.142561	-0.009091	0.210188
10	GD14	0.006706	0.010495	0.023765	-0.008893	0.186897
1	GD15	-0.025203	-0.027659	-0.024852	0.042023	0.038577
2	GD15	0.004252	0.014326	-0.057568	-0.046212	-0.034069
3	GD15	0.005194	-0.330444	0.152833	0.028636	-0.008262
4	GD15	-0.004820	-0.159044	0.224893	0.014961	-0.101921
5	GD15	-0.030995	-0.145646	-0.125605	-0.055535	-0.107421
6	GD15	0.013248	-0.125898	0.064002	0.004200	-0.151906
7	GD15	0.001912	-0.223939	0.057259	0.025402	-0.022986
8	GD15	0.021148	0.066837	0.038740	0.019229	-0.131873
9	GD15	-0.020602	-0.136486	0.057075	0.042991	0.101838
10	GD15	-0.011796	-0.197348	-0.119336	0.019931	0.075991
1	GD16	-0.274692	0.183211	-0.053029	-0.025764	-0.085517
2	GD16	-0.221062	-0.085961	-0.056165	0.001315	-0.014128
3	GD16	-0.239004	0.025171	-0.166817	-0.013103	-0.061510
4	GD16	-0.230665	0.120073	0.081107	-0.007137	-0.134182
5	GD16	-0.257167	-0.359487	0.070900	-0.003119	-0.003396
6	GD16	-0.273024	0.002990	0.036063	0.022658	0.052714
7	GD16	-0.232369	-0.064866	-0.166762	-0.023601	-0.147846
8	GD16	-0.253180	0.100563	-0.006166	-0.065422	-0.168950
9	GD16	-0.229795	-0.228829	-0.090689	-0.016867	-0.066453
10	GD16	-0.240696	0.057903	-0.053216	0.020512	-0.055312
