rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.556469	0.144886	4.623488	5.059599	0.257729
2	AG111	0.580453	0.290656	4.484220	5.458789	0.155244
3	AG111	0.569527	0.224666	4.484576	5.289165	0.075149
4	AG111	0.601084	0.264926	4.467150	5.586787	0.173265
5	AG111	0.539124	0.257558	4.415468	5.338276	0.126172
6	AG111	0.573387	0.246463	4.427371	5.387555	0.236473
7	AG111	0.566670	0.261950	4.266343	5.269240	0.157736
8	AG111	0.642070	0.316319	4.385807	5.206539	0.080875
9	AG111	0.631390	0.176330	4.429698	5.037683	0.136922
10	AG111	0.591346	0.224309	4.239924	5.111152	0.101676
1	AG112	0.722875	0.305535	4.479334	5.154597	0.341676
2	AG112	0.737700	0.410006	4.330999	5.300621	0.355708
3	AG112	0.758635	0.284461	4.451004	5.509594	0.413788
4	AG112	0.767346	0.505545	4.596914	5.484251	0.331703
5	AG112	0.764301	0.368735	4.716568	5.348506	0.195274
6	AG112	0.744411	0.329742	4.434106	5.214007	0.278005
7	AG112	0.713584	0.357474	4.361515	5.077865	0.358959
8	AG112	0.737538	0.401344	4.385678	5.149097	0.269980
9	AG112	0.732600	0.402542	4.219502	5.004927	0.432970
10	AG112	0.776944	0.237116	4.279052	5.173129	0.491599
1	AG139	0.566701	0.378002	4.287296	5.193253	0.179495
2	AG139	0.582222	0.281735	4.450258	5.008852	0.236984
3	AG139	0.571568	0.366859	4.352062	5.490990	0.242566
4	AG139	0.567681	0.277056	4.400766	5.013722	0.206683
5	AG139	0.534849	0.363071	4.308942	5.367076	0.290536
6	AG139	0.569168	0.329671	4.479637	5.241765	0.255246
7	AG139	0.566573	0.331134	4.498622	5.234576	0.170860
8	AG139	0.601594	0.283420	4.345210	5.164336	0.198632
9	AG139	0.609194	0.288714	4.390461	5.467787	0.329641
10	AG139	0.589394	0.368368	4.437785	5.182861	0.138045
1	AG142	0.778309	0.379827	4.447656	5.067404	0.145923
2	AG142	0.733486	0.393335	4.510412	5.152062	0.189811
3	AG142	0.699359	0.522270	4.487625	5.143492	0.062208
4	AG142	0.747057	0.351584	4.253964	5.227826	0.283829
5	AG142	0.740496	0.462160	4.428378	5.142674	0.193096
6	AG142	0.752234	0.458637	4.249781	5.155220	0.249459
7	AG142	0.749700	0.409513	4.175244	5.117526	0.273517
8	AG142	0.723924	0.387552	4.514050	5.275410	0.252239
9	AG142	0.741866	0.536510	4.201805	5.295139	0.268160
10	AG142	0.726021	0.363982	4.390743	5.433391	0.273537
1	GD14	0.662784	0.219636	4.309210	4.972777	0.476717
2	GD14	0.602527	0.268457	4.664397	5.031820	0.412144
3	GD14	0.596272	0.325904	4.465630	5.075208	0.408076
4	GD14	0.604969	0.266587	4.498142	5.085018	0.511890
5	GD14	0.630799	0.342347	4.517334	5.247015	0.514045
6	GD14	0.703411	0.241535	4.297939	5.258661	0.443627
7	GD14	0.644264	0.329320	4.369309	4.945809	0.394744
8	GD14	0.669957	0.334010	4.664558	4.997516	0.329353
9	GD14	0.597089	0.474801	4.239667	5.147292	0.453256
10	GD14	0.619743	0.329316	4.405992	5.148312	0.429966
1	GD15	0.587834	0.316988	4.357376	5.417232	0.281645
2	GD15	0.617289	0.330580	4.324659	4.959724	0.208999
3	GD15	0.618231	0.234177	4.535060	5.345197	0.234806
4	GD15	0.608217	0.277960	4.607121	5.272595	0.141147
5	GD15	0.582042	0.281710	4.256622	4.913699	0.135647
6	GD15	0.626285	0.287328	4.446230	5.216163	0.091162
7	GD15	0.614949	0.260495	4.439486	5.327936	0.220082
8	GD15	0.634185	0.348403	4.420967	5.295150	0.111196
9	GD15	0.592435	0.284302	4.439303	5.422479	0.344906
10	GD15	0.601241	0.267515	4.262892	5.298865	0.319059
1	GD16	0.338345	0.391401	4.329199	5.062186	0.157551
2	GD16	0.391975	0.299035	4.326063	5.201135	0.228940
3	GD16	0.374033	0.334185	4.215410	5.126683	0.181558
4	GD16	0.382372	0.367453	4.463334	5.157361	0.108887
5	GD16	0.355870	0.227474	4.453127	5.178125	0.239672
6	GD16	0.340013	0.326854	4.418290	5.313338	0.295782
7	GD16	0.380668	0.305411	4.215465	5.073146	0.095222
8	GD16	0.359857	0.360353	4.376061	4.865359	0.074118
9	GD16	0.383242	0.259224	4.291538	5.107424	0.176615
10	GD16	0.372340	0.345304	4.329011	5.301946	0.187756
