rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	AG111	-0.017255	-0.430213	0.000000	-0.041489	0.042819	0.000000
2	AG111	-0.024557	0.143825	0.000000	-0.057870	0.115195	0.000000
3	AG111	0.014692	0.162947	0.000000	-0.100223	0.037799	0.000000
4	AG111	0.045120	-0.428711	0.000000	0.212564	0.169607	0.000000
5	AG111	0.027514	-0.445389	0.000000	-0.148909	-0.007440	0.000000
6	AG111	-0.017549	-0.404158	0.000000	-0.011330	0.124423	0.000000
7	AG111	-0.065777	-0.134347	0.000000	-0.136300	0.005988	0.000000
8	AG111	-0.057596	-0.329526	0.000000	-0.046461	-0.030104	0.000000
9	AG111	-0.019541	-0.468541	0.000000	0.121074	-0.004659	0.000000
10	AG111	-0.029001	-0.301477	0.000000	0.096500	0.103283	0.000000
1	AG112	0.107360	0.313529	0.000000	-0.170431	-0.091786	0.000000
2	AG112	0.126925	0.103770	0.000000	0.029764	-0.034049	0.000000
3	AG112	0.130083	-0.050517	0.000000	0.211753	0.008604	0.000000
4	AG112	0.148313	0.127445	0.000000	0.070978	-0.021999	0.000000
5	AG112	0.120638	-0.068281	0.000000	0.021171	-0.042888	0.000000
6	AG112	0.153704	0.128764	0.000000	0.063487	-0.031400	0.000000
7	AG112	0.091296	0.331715	0.000000	0.105879	-0.098451	0.000000
8	AG112	0.126681	0.074169	0.000000	0.116984	-0.059078	0.000000
9	AG112	0.097528	-0.444735	0.000000	0.216710	-0.081740	0.000000
10	AG112	0.150715	0.090820	0.000000	0.034736	-0.117142	0.000000
1	AG139	-0.005139	-0.172999	0.000000	0.164589	-0.000785	0.000000
2	AG139	-0.040631	0.178632	0.000000	-0.137814	-0.008234	0.000000
3	AG139	-0.071761	0.308959	0.000000	-0.013781	-0.015442	0.000000
4	AG139	-0.000043	0.286395	0.000000	-0.140714	0.110888	0.000000
5	AG139	-0.004938	0.276629	0.000000	0.008608	0.024231	0.000000
6	AG139	-0.048012	0.147040	0.000000	-0.121130	0.003017	0.000000
7	AG139	-0.028747	-0.025620	0.000000	-0.210394	-0.045674	0.000000
8	AG139	-0.028144	-0.144646	0.000000	-0.246517	-0.053633	0.000000
9	AG139	-0.050167	0.062848	0.000000	0.102613	0.067702	0.000000
10	AG139	-0.049250	-0.031089	0.000000	-0.109917	-0.050475	0.000000
1	AG142	0.080546	0.320229	0.000000	0.246015	0.042912	0.000000
2	AG142	0.124797	0.237976	0.000000	0.089669	-0.015020	0.000000
3	AG142	0.140203	0.551900	0.000000	-0.111679	-0.025679	0.000000
4	AG142	0.134256	0.263870	0.000000	0.070846	-0.020944	0.000000
5	AG142	0.151869	0.609162	0.000000	-0.191148	-0.033871	0.000000
6	AG142	0.134508	0.412663	0.000000	-0.036563	0.085447	0.000000
7	AG142	0.112267	0.482945	0.000000	0.029995	0.073181	0.000000
8	AG142	0.092236	0.315691	0.000000	0.189269	0.055070	0.000000
9	AG142	0.130855	0.198984	0.000000	0.092819	0.063124	0.000000
10	AG142	0.129784	0.468866	0.000000	0.108697	0.017273	0.000000
1	GD14	0.002361	-0.118613	0.000000	0.245804	-0.037320	0.000000
2	GD14	0.030087	-0.226247	0.000000	0.055485	-0.111653	0.000000
3	GD14	-0.015124	0.037909	0.000000	0.037277	-0.162950	0.000000
4	GD14	-0.011473	-0.265260	0.000000	0.052629	-0.154921	0.000000
5	GD14	-0.003604	-0.058753	0.000000	0.325766	-0.074402	0.000000
6	GD14	-0.001640	0.078429	0.000000	0.062394	-0.120378	0.000000
7	GD14	0.017071	-0.226108	0.000000	0.165950	-0.098458	0.000000
8	GD14	0.047733	-0.024364	0.000000	0.345449	-0.015237	0.000000
9	GD14	0.008929	-0.041535	0.000000	0.271023	-0.098258	0.000000
10	GD14	0.024377	-0.140713	0.000000	-0.027431	-0.174205	0.000000
1	GD15	-0.026747	0.077862	0.000000	-0.064928	0.032518	0.000000
2	GD15	-0.039778	0.251556	0.000000	-0.122450	0.010122	0.000000
3	GD15	-0.022249	-0.037489	0.000000	-0.101664	0.043890	0.000000
4	GD15	0.017854	-0.095211	0.000000	0.057215	0.005036	0.000000
5	GD15	-0.016022	-0.357080	0.000000	0.134564	0.035293	0.000000
6	GD15	-0.012280	-0.386357	0.000000	0.003265	0.005952	0.000000
7	GD15	0.012508	-0.077663	0.000000	-0.054203	-0.071495	0.000000
8	GD15	-0.013165	-0.299021	0.000000	0.110839	-0.045436	0.000000
9	GD15	-0.030261	-0.432797	0.000000	-0.057026	-0.081153	0.000000
10	GD15	-0.020891	-0.019680	0.000000	-0.165574	0.014333	0.000000
1	GD16	-0.258456	0.341593	0.000000	-0.144661	0.102307	0.000000
2	GD16	-0.238245	0.130102	0.000000	-0.245735	-0.051592	0.000000
3	GD16	-0.192657	-0.361199	0.000000	-0.031529	-0.001046	0.000000
4	GD16	-0.202070	-0.178339	0.000000	-0.065153	0.076320	0.000000
5	GD16	-0.194682	0.065719	0.000000	-0.066208	0.080194	0.000000
6	GD16	-0.245927	-0.274069	0.000000	0.190619	0.039533	0.000000
7	GD16	-0.215457	0.019805	0.000000	-0.150442	0.140833	0.000000
8	GD16	-0.245600	-0.234365	0.000000	-0.011449	0.009955	0.000000
9	GD16	-0.239168	-0.018347	0.000000	-0.205462	0.014868	0.000000
10	GD16	-0.236364	0.052914	0.000000	0.038598	0.086790	0.000000
