rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	-0.032056	0.003233	0.000000	0.000000	-0.114008	0.000000	-0.012817	-0.007387
2	AG111	-0.052349	-0.177709	0.000000	0.000000	-0.169283	0.000000	0.015929	-0.015297
3	AG111	0.028298	-0.237699	0.000000	0.000000	-0.140970	0.000000	-0.036504	0.010546
4	AG111	0.019827	-0.444033	0.000000	0.000000	-0.114429	0.000000	-0.009182	0.028456
5	AG111	0.027915	-0.377306	0.000000	0.000000	-0.162769	0.000000	0.006415	0.029781
6	AG111	-0.043948	-0.446455	0.000000	0.000000	-0.237738	0.000000	0.008340	0.011515
7	AG111	-0.049309	-0.340673	0.000000	0.000000	-0.147571	0.000000	-0.000906	-0.010334
8	AG111	-0.052905	-0.202065	0.000000	0.000000	-0.194758	0.000000	-0.006666	-0.036750
9	AG111	0.000752	-0.141298	0.000000	0.000000	-0.155102	0.000000	-0.016304	0.013979
10	AG111	-0.074123	0.037146	0.000000	0.000000	-0.141105	0.000000	0.011755	-0.020778
1	AG112	0.143907	0.273714	0.000000	0.000000	-0.197013	0.000000	0.009276	0.034132
2	AG112	0.137785	0.084945	0.000000	0.000000	-0.246424	0.000000	-0.001804	0.017971
3	AG112	0.170096	-0.017679	0.000000	0.000000	-0.267572	0.000000	0.006474	0.008771
4	AG112	0.152669	-0.000151	0.000000	0.000000	-0.239061	0.000000	0.010355	-0.023480
5	AG112	0.152075	0.466281	0.000000	0.000000	-0.188902	0.000000	-0.004986	-0.005551
6	AG112	0.096491	0.325543	0.000000	0.000000	-0.212577	0.000000	0.010061	0.000510
7	AG112	0.142493	0.275387	0.000000	0.000000	-0.172135	0.000000	-0.015071	0.063347
8	AG112	0.113734	0.166699	0.000000	0.000000	-0.211871	0.000000	-0.002000	0.016275
9	AG112	0.168440	0.272939	0.000000	0.000000	-0.213364	0.000000	0.016336	0.027641
10	AG112	0.204595	0.339319	0.000000	0.000000	-0.247583	0.000000	0.028496	0.000708
1	AG139	-0.030788	0.210977	0.000000	0.000000	-0.120065	0.000000	0.023694	0.007738
2	AG139	-0.037778	-0.145791	0.000000	0.000000	-0.240388	0.000000	0.016999	-0.014215
3	AG139	-0.032909	0.086094	0.000000	0.000000	-0.127652	0.000000	0.003182	-0.033903
4	AG139	-0.009598	0.284569	0.000000	0.000000	-0.120940	0.000000	-0.009029	-0.012294
5	AG139	-0.065202	0.302190	0.000000	0.000000	-0.163622	0.000000	-0.002795	-0.014871
6	AG139	-0.054632	0.067838	0.000000	0.000000	-0.198694	0.000000	-0.015475	0.034276
7	AG139	-0.034580	-0.090181	0.000000	0.000000	-0.196140	0.000000	-0.015446	0.004023
8	AG139	-0.001211	0.311408	0.000000	0.000000	-0.113447	0.000000	0.008346	0.017561
9	AG139	-0.029959	-0.014701	0.000000	0.000000	-0.109151	0.000000	-0.015184	-0.007691
10	AG139	-0.020917	0.495722	0.000000	0.000000	-0.156465	0.000000	-0.010280	-0.009202
1	AG142	0.101652	0.244155	0.000000	0.000000	-0.174041	0.000000	-0.016525	0.014146
2	AG142	0.123711	0.683301	0.000000	0.000000	-0.158184	0.000000	0.008409	0.047253
3	AG142	0.173700	0.661743	0.000000	0.000000	-0.158294	0.000000	-0.011684	-0.005299
4	AG142	0.114910	0.415541	0.000000	0.000000	-0.147110	0.000000	-0.014467	-0.010974
5	AG142	0.190577	0.535676	0.000000	0.000000	-0.153203	0.000000	-0.030657	0.015869
6	AG142	0.132854	0.634916	0.000000	0.000000	-0.174402	0.000000	0.019952	0.013482
7	AG142	0.117905	0.354159	0.000000	0.000000	-0.213742	0.000000	-0.006937	0.050262
8	AG142	0.134205	0.739062	0.000000	0.000000	-0.195632	0.000000	0.006316	0.016293
9	AG142	0.089934	0.498605	0.000000	0.000000	-0.136666	0.000000	0.011887	0.044316
10	AG142	0.146086	0.502247	0.000000	0.000000	-0.158984	0.000000	0.018743	-0.002690
1	GD14	0.008769	-0.174289	0.000000	0.000000	-0.372945	0.000000	0.013703	-0.013014
2	GD14	0.059862	0.102629	0.000000	0.000000	-0.264935	0.000000	-0.029431	-0.015884
3	GD14	0.045490	-0.080788	0.000000	0.000000	-0.287299	0.000000	-0.002421	-0.013593
4	GD14	0.040863	0.048060	0.000000	0.000000	-0.280889	0.000000	0.006245	0.005461
5	GD14	0.000079	0.118800	0.000000	0.000000	-0.287690	0.000000	0.000967	-0.017470
6	GD14	0.011473	-0.136874	0.000000	0.000000	-0.336970	0.000000	-0.016866	-0.056319
7	GD14	0.030837	-0.051988	0.000000	0.000000	-0.293207	0.000000	-0.009682	-0.030136
8	GD14	0.015958	0.112659	0.000000	0.000000	-0.380615	0.000000	0.022896	-0.069535
9	GD14	0.026371	0.052386	0.000000	0.000000	-0.265104	0.000000	0.014244	0.024038
10	GD14	0.030373	0.231384	0.000000	0.000000	-0.313634	0.000000	-0.017939	-0.055530
1	GD15	0.046656	-0.113017	0.000000	0.000000	-0.155371	0.000000	-0.012893	-0.015739
2	GD15	-0.033588	-0.155749	0.000000	0.000000	-0.216463	0.000000	0.014007	0.004369
3	GD15	-0.021577	0.204416	0.000000	0.000000	-0.092574	0.000000	0.032814	0.042758
4	GD15	-0.011019	-0.139783	0.000000	0.000000	-0.146815	0.000000	-0.015107	0.012560
5	GD15	-0.024094	-0.112655	0.000000	0.000000	-0.122695	0.000000	0.022873	-0.010723
6	GD15	0.007085	-0.152518	0.000000	0.000000	-0.171635	0.000000	-0.002245	-0.013663
7	GD15	0.016048	0.372339	0.000000	0.000000	-0.138575	0.000000	0.018174	-0.040196
8	GD15	-0.003152	-0.097899	0.000000	0.000000	-0.151129	0.000000	-0.007277	-0.020915
9	GD15	0.022355	-0.188872	0.000000	0.000000	-0.160186	0.000000	0.000603	0.043818
10	GD15	0.034618	0.137942	0.000000	0.000000	-0.130993	0.000000	0.018199	-0.006219
1	GD16	-0.270473	0.064115	0.000000	0.000000	-0.092376	0.000000	-0.007594	0.035909
2	GD16	-0.214135	-0.019769	0.000000	0.000000	-0.174947	0.000000	-0.012456	-0.017498
3	GD16	-0.209748	0.252084	0.000000	0.000000	-0.113200	0.000000	0.005798	0.043871
4	GD16	-0.220337	0.197463	0.000000	0.000000	-0.050967	0.000000	-0.000944	-0.011335
5	GD16	-0.199541	0.104875	0.000000	0.000000	-0.136946	0.000000	0.003158	-0.009390
6	GD16	-0.193039	0.354238	0.000000	0.000000	0.018051	0.000000	-0.025385	0.068173
7	GD16	-0.221515	0.255868	0.000000	0.000000	-0.060108	0.000000	0.020407	-0.005282
8	GD16	-0.212949	-0.002844	0.000000	0.000000	-0.103697	0.000000	-0.017950	-0.003304
9	GD16	-0.239662	-0.136919	0.000000	0.000000	-0.186081	0.000000	-0.014625	-0.051219
10	GD16	-0.234905	0.020849	0.000000	0.000000	-0.195056	0.000000	0.010944	-0.031846
