rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.620064	0.232796	6.608413	8.392722	0.245879
2	AG111	0.579764	0.171428	6.853170	8.153429	0.123503
3	AG111	0.553238	0.137597	6.556183	8.169463	0.378519
4	AG111	0.583574	0.214776	6.780384	8.301096	0.175482
5	AG111	0.593595	0.168931	6.512906	8.278750	0.217841
6	AG111	0.566230	0.222497	6.773977	8.272096	0.148578
7	AG111	0.603532	0.147528	6.602348	8.494105	0.224048
8	AG111	0.600998	0.161467	6.857294	8.226080	0.178526
9	AG111	0.643822	0.168582	6.836746	8.489202	0.105335
10	AG111	0.612216	0.185837	6.599108	8.352083	-0.007471
1	AG112	0.717121	0.258401	6.634765	8.567583	0.423246
2	AG112	0.763216	0.288041	6.639063	8.031293	0.407776
3	AG112	0.752646	0.192917	6.782777	8.179332	0.432428
4	AG112	0.717146	0.235240	6.557564	8.120839	0.510829
5	AG112	0.759455	0.212773	6.593730	8.322457	0.449014
6	AG112	0.732376	0.218065	6.790536	8.412981	0.534369
7	AG112	0.710275	0.258300	6.941687	8.369350	0.270485
8	AG112	0.728647	0.337420	6.587866	8.275730	0.340909
9	AG112	0.711867	0.348737	6.879384	8.255374	0.165357
10	AG112	0.786191	0.266882	6.648671	8.256596	0.177825
1	AG139	0.578872	0.273618	6.815476	8.255967	0.111332
2	AG139	0.599136	0.280551	6.568316	8.501828	0.239766
3	AG139	0.601310	0.299880	6.583683	8.663537	0.390515
4	AG139	0.595317	0.215086	6.683400	8.211803	0.300655
5	AG139	0.548761	0.232754	6.836959	8.122257	0.170149
6	AG139	0.512324	0.375195	6.812904	8.338734	0.241599
7	AG139	0.574482	0.265892	6.786884	8.372358	0.189617
8	AG139	0.568791	0.236377	6.681768	8.238207	0.267061
9	AG139	0.543641	0.287264	6.679953	8.413242	0.308237
10	AG139	0.592637	0.222324	6.683774	8.239229	0.224065
1	AG142	0.739584	0.299600	6.831525	8.088446	0.180748
2	AG142	0.699873	0.415095	6.817384	8.339397	0.160293
3	AG142	0.779283	0.314768	6.729937	8.267548	0.210987
4	AG142	0.729147	0.344932	6.747501	8.292863	0.230692
5	AG142	0.743584	0.435666	6.764399	8.163529	0.183605
6	AG142	0.691406	0.268071	6.734838	8.368350	0.314697
7	AG142	0.747469	0.378804	6.580568	8.381989	0.251080
8	AG142	0.757870	0.329209	6.699572	8.137459	0.020314
9	AG142	0.722531	0.337560	6.722647	8.210271	0.194214
10	AG142	0.811377	0.343209	6.654817	8.353040	0.255568
1	GD14	0.647404	0.200750	6.652033	8.372259	0.586321
2	GD14	0.613116	0.327236	6.807938	8.469388	0.503113
3	GD14	0.662686	0.237157	6.801982	8.087055	0.350132
4	GD14	0.600263	0.213740	6.613063	8.414270	0.565174
5	GD14	0.672402	0.294425	6.839903	8.090863	0.349851
6	GD14	0.637730	0.197763	6.737586	8.353047	0.416862
7	GD14	0.605209	0.220022	6.696126	8.070322	0.523239
8	GD14	0.605949	0.222701	6.674374	8.062715	0.542480
9	GD14	0.606035	0.277936	6.673268	8.193561	0.348373
10	GD14	0.657910	0.257920	6.851685	8.192972	0.382477
1	GD15	0.584675	0.265023	6.630637	8.426918	0.212079
2	GD15	0.667415	0.181697	6.560783	8.321545	0.422715
3	GD15	0.598508	0.204429	6.718816	8.562829	0.331685
4	GD15	0.609299	0.208307	6.683859	8.106966	0.182102
5	GD15	0.605124	0.228191	6.690114	8.320077	0.384335
6	GD15	0.588281	0.221221	6.533049	8.085533	0.316531
7	GD15	0.620634	0.242251	6.711944	8.409849	0.231569
8	GD15	0.588689	0.217047	6.814032	8.239068	0.079982
9	GD15	0.580958	0.300473	6.439114	8.089012	0.186089
10	GD15	0.599856	0.259182	6.799361	8.264658	0.219044
1	GD16	0.356666	0.210505	6.940758	8.426238	0.285154
2	GD16	0.409748	0.249163	6.918525	8.586579	0.189151
3	GD16	0.357246	0.202347	6.846098	8.438165	0.236776
4	GD16	0.402121	0.246531	6.631611	8.094797	0.246149
5	GD16	0.412844	0.311868	6.694864	8.385628	0.200295
6	GD16	0.425527	0.236075	6.715811	8.156048	0.129851
7	GD16	0.390750	0.231224	6.588081	8.425233	0.227213
8	GD16	0.378205	0.262166	6.603147	8.250650	0.212294
9	GD16	0.411995	0.166082	6.728831	8.273072	0.248286
10	GD16	0.337908	0.247118	6.964378	8.452293	0.277767
