rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	0.008217	-0.058836	-0.114484	0.015082	-0.027180
2	AG111	-0.032084	-0.364834	0.130273	-0.013844	-0.149555
3	AG111	-0.058609	-0.584668	-0.166715	-0.011880	0.105461
4	AG111	-0.028273	-0.139402	0.057487	0.004105	-0.097576
5	AG111	-0.018252	-0.379507	-0.209991	0.001409	-0.055217
6	AG111	-0.045617	-0.104085	0.051080	0.000605	-0.124480
7	AG111	-0.008315	-0.514978	-0.120549	0.027090	-0.049010
8	AG111	-0.010849	-0.424699	0.134397	-0.004973	-0.094532
9	AG111	0.031975	-0.381575	0.113849	0.026512	-0.167724
10	AG111	0.000368	-0.284131	-0.123789	0.010228	-0.280530
1	AG112	0.105274	0.045511	-0.088132	0.035703	0.150187
2	AG112	0.151368	0.154103	-0.083835	-0.028937	0.134717
3	AG112	0.140799	-0.246741	0.059880	-0.010672	0.159369
4	AG112	0.105298	-0.048394	-0.165333	-0.017849	0.237770
5	AG112	0.147608	-0.148774	-0.129167	0.006675	0.175956
6	AG112	0.120529	-0.124208	0.067639	0.017493	0.261310
7	AG112	0.098427	0.045124	0.218790	0.012293	-0.002574
8	AG112	0.116799	0.312330	-0.135032	0.001044	0.067851
9	AG112	0.100019	0.345318	0.156487	-0.001418	-0.107702
10	AG112	0.174344	0.077806	-0.074227	-0.001270	-0.095234
1	AG139	-0.032975	0.102734	0.092579	-0.001347	-0.161727
2	AG139	-0.012712	0.127758	-0.154581	0.027998	-0.033292
3	AG139	-0.010537	0.194381	-0.139214	0.046840	0.117457
4	AG139	-0.016530	-0.137963	-0.039498	-0.006710	0.027596
5	AG139	-0.063086	-0.059015	0.114062	-0.017675	-0.102910
6	AG139	-0.099523	0.418447	0.090007	0.008629	-0.031459
7	AG139	-0.037365	0.074090	0.063987	0.012653	-0.083441
8	AG139	-0.043056	-0.043571	-0.041130	-0.003500	-0.005997
9	AG139	-0.068206	0.151401	-0.042944	0.017524	0.035178
10	AG139	-0.019210	-0.104863	-0.039123	-0.003376	-0.048994
1	AG142	0.127737	0.193447	0.108628	-0.021846	-0.092311
2	AG142	0.088026	0.519507	0.094486	0.008708	-0.112766
3	AG142	0.167436	0.242837	0.007040	0.000055	-0.062071
4	AG142	0.117300	0.334348	0.024604	0.003112	-0.042367
5	AG142	0.131736	0.567876	0.041502	-0.012606	-0.089454
6	AG142	0.079559	0.082251	0.011941	0.012174	0.041638
7	AG142	0.135622	0.428020	-0.142329	0.013802	-0.021978
8	AG142	0.146023	0.287694	-0.023325	-0.015805	-0.252744
9	AG142	0.110684	0.312745	-0.000250	-0.006897	-0.078845
10	AG142	0.199530	0.329341	-0.068080	0.010343	-0.017491
1	GD14	0.035557	-0.206942	-0.070864	0.012641	0.313262
2	GD14	0.001268	0.281682	0.085041	0.024175	0.230054
3	GD14	0.050839	-0.040277	0.079085	-0.022018	0.077073
4	GD14	-0.011584	-0.144240	-0.109834	0.017646	0.292116
5	GD14	0.060555	0.176026	0.117006	-0.021547	0.076793
6	GD14	0.025882	-0.221932	0.014689	0.010344	0.143804
7	GD14	-0.006638	-0.115273	-0.026771	-0.024089	0.250180
8	GD14	-0.005898	-0.103168	-0.048523	-0.025032	0.269422
9	GD14	-0.005812	0.118391	-0.049629	-0.008934	0.075314
10	GD14	0.046063	0.043652	0.128788	-0.009006	0.109419
1	GD15	-0.027172	0.070817	-0.092260	0.019148	-0.060980
2	GD15	0.055568	-0.306656	-0.162115	0.006565	0.149656
3	GD15	-0.013339	-0.188777	-0.004081	0.035148	0.058626
4	GD15	-0.002548	-0.169987	-0.039038	-0.019559	-0.090957
5	GD15	-0.006723	-0.078815	-0.032784	0.006389	0.111277
6	GD15	-0.023566	-0.109837	-0.189848	-0.022206	0.043472
7	GD15	0.008787	-0.019027	-0.010954	0.017121	-0.041489
8	GD15	-0.023158	-0.128884	0.091135	-0.003396	-0.193077
9	GD15	-0.030889	0.196358	-0.283783	-0.021776	-0.086969
10	GD15	-0.011992	0.048529	0.076463	-0.000294	-0.054015
1	GD16	-0.255181	-0.159489	0.217861	0.019068	0.012096
2	GD16	-0.202099	0.009107	0.195628	0.037918	-0.083907
3	GD16	-0.254601	-0.199015	0.123201	0.020482	-0.036282
4	GD16	-0.209726	-0.001511	-0.091286	-0.021061	-0.026909
5	GD16	-0.199003	0.233582	-0.028033	0.014237	-0.072764
6	GD16	-0.186320	-0.044852	-0.007086	-0.013523	-0.143208
7	GD16	-0.221097	-0.065612	-0.134816	0.018948	-0.045846
8	GD16	-0.233642	0.059979	-0.119750	-0.001991	-0.060765
9	GD16	-0.199852	-0.396516	0.005933	0.000723	-0.024773
10	GD16	-0.273939	0.000865	0.241481	0.022155	0.004708
