rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.632044	-0.374732	3.109966	0.000000	-0.165584	-0.220869	23386.421073	25304.611629
2	AG111	0.629710	-0.384911	3.109966	0.000000	-0.112646	-0.220869	24442.794984	25221.327654
3	AG111	0.638423	-0.046076	3.109966	0.000000	-0.149936	-0.220869	23636.265658	24285.238890
4	AG111	0.603949	-0.280234	3.109966	0.000000	-0.116849	-0.220869	23904.052938	25350.299986
5	AG111	0.564045	-0.379335	3.109966	0.000000	-0.081432	-0.220869	24054.252843	25426.994786
6	AG111	0.593542	0.002921	3.109966	0.000000	-0.140204	-0.220869	23556.276038	25071.716583
7	AG111	0.615231	-0.101222	3.109966	0.000000	-0.091636	-0.220869	23506.935770	25089.635094
8	AG111	0.638841	-0.210956	3.109966	0.000000	-0.144573	-0.220869	23536.333649	24356.635541
9	AG111	0.619687	-0.354264	3.109966	0.000000	-0.147443	-0.220869	23839.086081	23644.194664
10	AG111	0.599341	-0.497353	3.109966	0.000000	-0.137048	-0.220869	24048.941170	26000.939926
1	AG112	0.738647	0.079257	3.109966	0.000000	-0.281904	-0.220869	24029.184372	23226.363854
2	AG112	0.801466	0.094405	3.109966	0.000000	-0.210940	-0.220869	24362.360085	24063.889643
3	AG112	0.792977	0.031500	3.109966	0.000000	-0.290777	-0.220869	24014.349683	24646.370812
4	AG112	0.784851	0.125878	3.109966	0.000000	-0.326008	-0.220869	24280.670863	23916.242258
5	AG112	0.764438	0.072848	3.109966	0.000000	-0.184030	-0.220869	23548.672692	24904.217538
6	AG112	0.757619	0.071197	3.109966	0.000000	-0.277081	-0.220869	23746.239281	26270.904025
7	AG112	0.739841	-0.115513	3.109966	0.000000	-0.274604	-0.220869	23413.395751	25230.271406
8	AG112	0.765905	-0.222781	3.109966	0.000000	-0.272787	-0.220869	24045.454035	24265.681979
9	AG112	0.772077	0.263467	3.109966	0.000000	-0.265070	-0.220869	23493.508167	25116.720087
10	AG112	0.755078	-0.204492	3.109966	0.000000	-0.258451	-0.220869	23699.916191	24902.620485
1	AG139	0.588846	0.476397	3.109966	0.000000	-0.156712	-0.220869	24258.902498	23576.402848
2	AG139	0.616343	0.196122	3.109966	0.000000	-0.161801	-0.220869	23817.695825	24339.006811
3	AG139	0.614739	0.046621	3.109966	0.000000	-0.200701	-0.220869	23799.339778	25017.888900
4	AG139	0.613920	0.570000	3.109966	0.000000	-0.140644	-0.220869	23145.340873	25929.427455
5	AG139	0.551880	0.107747	3.109966	0.000000	-0.203274	-0.220869	23985.726390	24354.219123
6	AG139	0.600453	0.651088	3.109966	0.000000	-0.148826	-0.220869	23650.052282	24388.372688
7	AG139	0.524436	0.138261	3.109966	0.000000	-0.187825	-0.220869	24037.983733	24511.823707
8	AG139	0.593548	0.204577	3.109966	0.000000	-0.175851	-0.220869	23740.092705	24112.695307
9	AG139	0.591154	0.182548	3.109966	0.000000	-0.161656	-0.220869	24169.031712	24704.330587
10	AG139	0.599444	0.214874	3.109966	0.000000	-0.175606	-0.220869	23418.496396	25462.480002
1	AG142	0.744400	0.379675	3.109966	0.000000	-0.173138	-0.220869	23805.222757	24911.796500
2	AG142	0.714936	0.644051	3.109966	0.000000	-0.227159	-0.220869	23936.232886	24290.233263
3	AG142	0.744812	0.259286	3.109966	0.000000	-0.180694	-0.220869	23795.882923	25380.954796
4	AG142	0.792404	0.500768	3.109966	0.000000	-0.126849	-0.220869	23465.527976	24905.777511
5	AG142	0.777471	0.343074	3.109966	0.000000	-0.181330	-0.220869	22746.937070	26051.789778
6	AG142	0.758454	0.531469	3.109966	0.000000	-0.129869	-0.220869	24059.763585	26717.139658
7	AG142	0.801400	0.521765	3.109966	0.000000	-0.145163	-0.220869	24331.486625	25116.126773
8	AG142	0.790886	0.463888	3.109966	0.000000	-0.116878	-0.220869	24081.095966	25018.791761
9	AG142	0.756906	0.551378	3.109966	0.000000	-0.134272	-0.220869	23635.578167	25297.329488
10	AG142	0.795614	0.415972	3.109966	0.000000	-0.117114	-0.220869	24802.975091	25599.296641
1	GD14	0.650261	0.035990	3.109966	0.000000	-0.271774	-0.220869	23311.765021	25458.171700
2	GD14	0.662053	-0.160283	3.109966	0.000000	-0.361989	-0.220869	24246.384693	24727.528471
