rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.076506	-0.403560	0.171074	0.018681	-0.047678
2	AG111	-0.020157	-0.402858	-0.023746	0.046880	0.058357
3	AG111	-0.072039	-0.296682	-0.114264	-0.022591	-0.036314
4	AG111	0.029457	-0.370762	-0.041743	0.107416	-0.068378
5	AG111	-0.016345	-0.481142	0.105243	0.070738	0.006749
6	AG111	-0.008753	-0.469879	-0.019100	0.072845	0.015844
7	AG111	0.001019	-0.437075	-0.046157	0.010488	0.077270
8	AG111	-0.037703	-0.009889	-0.030213	-0.053103	-0.028082
9	AG111	-0.048840	-0.323311	-0.010016	0.038427	-0.038246
10	AG111	-0.030035	-0.109409	-0.017114	0.067703	-0.007178
1	AG112	0.128407	0.088695	0.019150	0.002066	-0.006571
2	AG112	0.110774	-0.385359	0.063873	-0.128659	0.003932
3	AG112	0.144367	-0.327989	0.108487	-0.111538	-0.080926
4	AG112	0.152882	-0.066971	0.187231	0.019784	0.037753
5	AG112	0.135866	0.181673	0.013223	-0.066663	-0.016574
6	AG112	0.140636	-0.056122	-0.010700	-0.003243	-0.030838
7	AG112	0.138684	-0.198082	0.001359	-0.096583	-0.049572
8	AG112	0.196587	-0.456130	0.019586	-0.023445	0.008578
9	AG112	0.127182	-0.101978	0.209277	0.000461	0.092383
10	AG112	0.150010	-0.081856	0.029298	-0.024734	-0.019118
1	AG139	0.036630	-0.303706	-0.106470	-0.057845	-0.012675
2	AG139	-0.083764	0.061680	0.086194	-0.047686	-0.068643
3	AG139	-0.030972	0.029197	-0.108845	-0.039902	-0.059647
4	AG139	-0.063990	0.223944	-0.266656	0.008465	0.021618
5	AG139	-0.032407	-0.055757	-0.098203	-0.009501	-0.071524
6	AG139	-0.053671	0.254711	-0.117091	0.058393	-0.003702
7	AG139	-0.039887	0.258384	0.010752	0.070298	0.057640
8	AG139	-0.050682	-0.142277	0.001041	0.021354	0.002303
9	AG139	-0.063079	0.000395	-0.067896	0.003616	0.042455
10	AG139	-0.004058	-0.124621	0.120947	0.070154	-0.008800
1	AG142	0.130682	0.450025	-0.085602	-0.013032	-0.053717
2	AG142	0.149068	0.513531	-0.003642	0.042868	0.021124
3	AG142	0.148378	0.136912	0.119228	-0.043510	0.095422
4	AG142	0.170366	0.006074	0.014188	-0.036272	0.040921
5	AG142	0.143579	0.366384	-0.017620	-0.004356	0.055491
6	AG142	0.156968	0.259271	0.012842	-0.005484	-0.004858
7	AG142	0.118481	0.222017	0.059247	-0.029701	0.025493
8	AG142	0.100709	0.126874	-0.050615	-0.035147	0.015273
9	AG142	0.134728	0.317627	-0.048331	0.063238	0.017257
10	AG142	0.113435	0.528322	-0.088991	0.005607	-0.008568
1	GD14	0.007291	-0.101785	-0.084590	-0.138313	0.085501
2	GD14	0.001742	-0.359425	0.118793	-0.128052	0.063161
3	GD14	0.063812	-0.327040	0.028448	-0.166683	0.033788
4	GD14	-0.041124	-0.237169	0.034262	-0.114473	0.135291
5	GD14	0.054598	-0.172443	-0.066238	-0.142676	0.015870
6	GD14	0.034328	0.212498	0.035402	-0.001982	0.005014
7	GD14	-0.018440	0.092747	0.028010	-0.150067	-0.025901
8	GD14	-0.001208	-0.109213	0.003898	-0.139730	0.018882
9	GD14	0.035270	-0.097325	0.237709	-0.023469	0.054441
10	GD14	0.052250	-0.607366	0.118297	-0.172834	0.110150
1	GD15	-0.010596	0.169637	-0.089427	0.002404	-0.035861
2	GD15	-0.012281	0.068153	0.073354	0.058800	-0.071603
3	GD15	-0.020184	0.039309	0.029008	0.094556	0.052512
4	GD15	0.005760	0.048799	-0.187054	-0.033553	0.029546
5	GD15	-0.017610	-0.120830	-0.090360	0.003988	-0.041084
6	GD15	-0.028543	0.364197	-0.105755	0.052041	-0.022412
7	GD15	-0.035160	0.312538	-0.314253	-0.021607	-0.020855
8	GD15	0.019682	0.159328	-0.147404	0.137596	0.025396
9	GD15	-0.006820	0.038492	-0.154366	-0.005916	-0.030801
10	GD15	-0.031764	-0.091810	0.207919	0.086391	-0.019169
1	GD16	-0.220598	-0.106761	0.110255	0.027494	0.038937
2	GD16	-0.188338	-0.209308	-0.013043	0.094442	-0.012781
3	GD16	-0.253281	0.069364	0.047617	0.124990	0.027476
4	GD16	-0.167225	0.000249	0.006380	0.087884	0.069637
5	GD16	-0.222765	-0.029405	-0.157932	0.007044	0.002420
6	GD16	-0.247043	-0.236030	0.129078	-0.045147	-0.003229
7	GD16	-0.228172	0.189599	0.094127	0.081237	-0.036407
8	GD16	-0.240235	-0.020704	0.153759	-0.007830	-0.150200
9	GD16	-0.233019	0.198319	-0.149165	0.017603	-0.066176
10	GD16	-0.215169	-0.098600	-0.027374	0.051471	-0.004738
