rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.536383	0.234439	4.080571	4.657154	0.195243
2	AG111	0.592732	0.234604	3.885751	4.790352	0.301278
3	AG111	0.540850	0.260884	3.795233	4.468857	0.206607
4	AG111	0.642346	0.242256	3.867754	5.089296	0.174544
5	AG111	0.596544	0.216939	4.014740	4.906015	0.249670
6	AG111	0.604136	0.219396	3.890397	4.916360	0.258766
7	AG111	0.613908	0.226712	3.863340	4.619154	0.320191
8	AG111	0.575186	0.347536	3.879284	4.334564	0.214840
9	AG111	0.564048	0.254028	3.899481	4.750027	0.204676
10	AG111	0.582854	0.314615	3.892383	4.891144	0.235743
1	AG112	0.741296	0.383543	3.928646	4.580414	0.236350
2	AG112	0.723662	0.238746	3.973370	4.019126	0.246853
3	AG112	0.757256	0.252843	4.017984	4.088530	0.161995
4	AG112	0.765771	0.328253	4.096728	4.662296	0.280674
5	AG112	0.748755	0.420915	3.922720	4.276184	0.226348
6	AG112	0.753525	0.331834	3.898797	4.556162	0.212083
7	AG112	0.751572	0.287918	3.910856	4.150133	0.193350
8	AG112	0.809476	0.222433	3.929083	4.465040	0.251499
9	AG112	0.740071	0.316961	4.118773	4.573072	0.335305
10	AG112	0.762899	0.323404	3.938795	4.459292	0.223804
1	AG139	0.649519	0.259058	3.803027	4.314055	0.230246
2	AG139	0.529125	0.373321	3.995691	4.358108	0.174279
3	AG139	0.581916	0.361389	3.800652	4.392163	0.183274
4	AG139	0.548899	0.439089	3.642841	4.609819	0.264540
5	AG139	0.580482	0.331955	3.811294	4.527738	0.171398
6	AG139	0.559218	0.452808	3.792406	4.845819	0.239219
7	AG139	0.573002	0.454474	3.920249	4.903857	0.300561
8	AG139	0.562207	0.304442	3.910538	4.669621	0.245225
9	AG139	0.549810	0.351128	3.841601	4.587520	0.285377
10	AG139	0.608831	0.309865	4.030444	4.903151	0.234122
1	AG142	0.743571	0.550475	3.823895	4.511781	0.189204
2	AG142	0.761957	0.586568	3.905855	4.771168	0.264045
3	AG142	0.761266	0.402490	4.028725	4.376344	0.338343
4	AG142	0.783255	0.353128	3.923685	4.408137	0.283843
5	AG142	0.756468	0.506306	3.891877	4.551092	0.298413
6	AG142	0.769857	0.454878	3.922339	4.545963	0.238063
7	AG142	0.731370	0.438243	3.968743	4.437197	0.268414
8	AG142	0.713597	0.398470	3.858882	4.413098	0.258194
9	AG142	0.747617	0.482212	3.861166	4.869355	0.260178
10	AG142	0.726324	0.595308	3.820506	4.596665	0.234353
1	GD14	0.620179	0.317022	3.824907	3.980514	0.328423
2	GD14	0.614630	0.245018	4.028290	4.021569	0.306082
3	GD14	0.676700	0.253083	3.937944	3.869174	0.276710
4	GD14	0.571765	0.276881	3.943758	4.076547	0.378213
5	GD14	0.667486	0.295395	3.843258	3.963182	0.258791
6	GD14	0.647216	0.434091	3.944898	4.561909	0.247936
7	GD14	0.594449	0.385100	3.937507	3.933998	0.217021
8	GD14	0.611680	0.314676	3.913395	3.974876	0.261803
9	GD14	0.648159	0.318439	4.147206	4.464933	0.297362
10	GD14	0.665138	0.191214	4.027794	3.845445	0.353071
1	GD15	0.602293	0.415879	3.820070	4.581965	0.207060
2	GD15	0.600608	0.375745	3.982851	4.847795	0.171318
3	GD15	0.592705	0.365061	3.938505	5.024267	0.295433
4	GD15	0.618648	0.368543	3.722443	4.420137	0.272468
5	GD15	0.595279	0.311042	3.819137	4.589226	0.201837
6	GD15	0.584346	0.505200	3.803742	4.815138	0.220509
7	GD15	0.577729	0.479764	3.595244	4.473255	0.222066
8	GD15	0.632571	0.411614	3.762093	5.245230	0.268318
9	GD15	0.606069	0.364764	3.755131	4.544000	0.212121
10	GD15	0.581125	0.320200	4.117416	4.983409	0.223752
1	GD16	0.392291	0.315449	4.019752	4.698380	0.281858
2	GD16	0.424551	0.284704	3.896454	5.023693	0.230140
3	GD16	0.359608	0.376200	3.957114	5.179526	0.270398
4	GD16	0.445664	0.351077	3.915877	4.990858	0.312559
5	GD16	0.390124	0.340819	3.751565	4.603274	0.245341
6	GD16	0.365846	0.277197	4.038574	4.369184	0.239693
7	GD16	0.384717	0.424264	4.003624	4.957791	0.206515
8	GD16	0.372654	0.343798	4.063256	4.535312	0.092722
9	GD16	0.379870	0.427980	3.760332	4.652139	0.176746
10	GD16	0.397720	0.318034	3.882123	4.812395	0.238184
