rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB
1	AG111	0.652988	-0.041400	1.114180	0.000000	0.010914	0.188472
2	AG111	0.592356	-0.200707	1.114180	0.000000	0.160673	0.276477
3	AG111	0.652484	-0.216893	1.114180	0.000000	0.205450	0.376475
4	AG111	0.582777	-0.066638	1.114180	0.000000	-0.226277	0.444283
5	AG111	0.617047	-0.088615	1.114180	0.000000	0.072586	0.463362
6	AG111	0.596640	-0.170845	1.114180	0.000000	-0.279161	0.114699
7	AG111	0.570478	-0.108275	1.114180	0.000000	-0.037700	0.128158
8	AG111	0.585038	0.209648	1.114180	0.000000	-0.266738	0.261516
9	AG111	0.573062	-0.004572	1.114180	0.000000	-0.309531	0.324333
10	AG111	0.611728	-0.030982	1.114180	0.000000	-0.461675	0.215014
1	AG112	0.753941	-0.077204	1.114180	0.000000	0.274890	0.800152
2	AG112	0.745452	0.018090	1.114180	0.000000	-0.053146	0.653543
3	AG112	0.769201	-0.064399	1.114180	0.000000	-0.061070	0.790906
4	AG112	0.696696	-0.007299	1.114180	0.000000	-0.043274	0.732695
5	AG112	0.795242	-0.069095	1.114180	0.000000	-0.453356	0.824723
6	AG112	0.741464	0.064402	1.114180	0.000000	-0.057143	0.707914
7	AG112	0.735550	-0.038622	1.114180	0.000000	-0.427274	0.786640
8	AG112	0.738723	-0.044147	1.114180	0.000000	-0.298072	0.807870
9	AG112	0.747301	-0.061475	1.114180	0.000000	0.049750	0.844427
10	AG112	0.794662	0.005130	1.114180	0.000000	-0.125767	0.770301
1	AG139	0.544566	-0.028263	1.114180	0.000000	0.117982	0.539940
2	AG139	0.582895	-0.118163	1.114180	0.000000	0.052023	0.621020
3	AG139	0.607214	-0.025316	1.114180	0.000000	0.156800	0.498631
4	AG139	0.610078	-0.029339	1.114180	0.000000	0.233667	0.742929
5	AG139	0.603346	0.143211	1.114180	0.000000	0.345189	0.474589
6	AG139	0.579084	0.088493	1.114180	0.000000	0.107837	0.468071
7	AG139	0.614170	-0.222902	1.114180	0.000000	0.531157	0.584992
8	AG139	0.605774	0.178342	1.114180	0.000000	0.184332	0.633893
9	AG139	0.613620	0.165266	1.114180	0.000000	-0.045602	0.410740
10	AG139	0.619283	-0.032612	1.114180	0.000000	0.467158	0.623536
1	AG142	0.753560	0.238615	1.114180	0.000000	0.328328	0.582667
2	AG142	0.720583	0.007832	1.114180	0.000000	0.480389	0.692853
3	AG142	0.730360	0.312243	1.114180	0.000000	0.155757	0.585400
4	AG142	0.781557	0.019903	1.114180	0.000000	0.357979	0.688962
5	AG142	0.754041	0.087729	1.114180	0.000000	0.209255	0.706225
6	AG142	0.789644	0.321235	1.114180	0.000000	0.074018	0.507518
7	AG142	0.788060	0.003947	1.114180	0.000000	0.705923	0.718064
8	AG142	0.734221	-0.016228	1.114180	0.000000	0.666359	0.693244
9	AG142	0.756231	-0.060451	1.114180	0.000000	0.681352	0.732689
10	AG142	0.771310	0.051850	1.114180	0.000000	0.561008	0.676591
1	GD14	0.646706	-0.075607	1.114180	0.000000	0.169004	0.760769
2	GD14	0.600931	0.255044	1.114180	0.000000	-0.323316	0.707946
3	GD14	0.625504	0.040555	1.114180	0.000000	-0.117164	0.818330
4	GD14	0.601392	-0.182861	1.114180	0.000000	-0.027765	0.798069
5	GD14	0.664680	-0.020444	1.114180	0.000000	0.493698	0.788111
6	GD14	0.660525	-0.111340	1.114180	0.000000	-0.403578	0.780630
7	GD14	0.630758	-0.033520	1.114180	0.000000	-0.065748	0.731966
8	GD14	0.619093	-0.078211	1.114180	0.000000	-0.087306	0.728932
9	GD14	0.594142	-0.062775	1.114180	0.000000	-0.005164	0.831156
10	GD14	0.635534	-0.069320	1.114180	0.000000	-0.041402	0.763848
1	GD15	0.591082	0.022928	1.114180	0.000000	0.365863	0.540129
2	GD15	0.583280	-0.078175	1.114180	0.000000	0.263168	0.502484
3	GD15	0.605165	-0.109417	1.114180	0.000000	0.519363	0.561914
4	GD15	0.612824	0.031144	1.114180	0.000000	-0.123865	0.524536
5	GD15	0.627594	0.003535	1.114180	0.000000	0.398426	0.491836
6	GD15	0.619188	0.206173	1.114180	0.000000	0.221395	0.498225
7	GD15	0.624309	0.139576	1.114180	0.000000	0.581692	0.626428
8	GD15	0.671821	-0.009041	1.114180	0.000000	0.206609	0.519833
9	GD15	0.629566	0.007787	1.114180	0.000000	0.248332	0.556060
10	GD15	0.606503	0.150140	1.114180	0.000000	0.388371	0.519898
1	GD16	0.429633	0.075641	1.114180	0.000000	0.288443	0.425175
2	GD16	0.378747	0.033404	1.114180	0.000000	0.519421	0.472466
3	GD16	0.392465	-0.046213	1.114180	0.000000	0.226460	0.410607
4	GD16	0.397477	-0.098201	1.114180	0.000000	0.421252	0.469170
5	GD16	0.393614	-0.174393	1.114180	0.000000	0.660356	0.497737
6	GD16	0.415871	0.157913	1.114180	0.000000	0.356720	0.340217
7	GD16	0.384594	-0.003465	1.114180	0.000000	0.430182	0.441652
8	GD16	0.453447	-0.072774	1.114180	0.000000	0.351260	0.319518
9	GD16	0.378981	-0.036893	1.114180	0.000000	0.302215	0.494319
10	GD16	0.392045	-0.044903	1.114180	0.000000	0.414046	0.466877
