rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.588519	0.228088	4.742496	5.857023	0.144688
2	AG111	0.584063	0.240387	4.637646	5.759447	0.029802
3	AG111	0.638062	0.210060	4.815936	5.791048	0.099482
4	AG111	0.622010	0.237883	4.766445	5.654511	0.032972
5	AG111	0.595873	0.290636	4.776052	5.836341	0.063337
6	AG111	0.645993	0.297494	4.752864	5.747801	0.062483
7	AG111	0.621201	0.261471	4.713850	5.807199	0.289865
8	AG111	0.611326	0.288702	4.855281	5.891036	0.237738
9	AG111	0.539945	0.235165	4.828927	5.704075	0.214367
10	AG111	0.621430	0.248064	4.697855	5.739675	0.075908
1	AG112	0.798407	0.436668	4.919995	6.003296	0.210236
2	AG112	0.708555	0.379928	4.837726	5.744685	0.399790
3	AG112	0.746118	0.289735	4.604599	5.741165	0.300698
4	AG112	0.743873	0.306392	4.814103	5.713921	0.344517
5	AG112	0.809486	0.266322	4.946507	5.801375	0.307342
6	AG112	0.754216	0.661999	4.850562	5.861799	0.279545
7	AG112	0.726985	0.224844	4.694536	5.676979	0.522490
8	AG112	0.817218	0.343514	4.659543	5.938679	0.458033
9	AG112	0.771489	0.264529	4.782584	5.774487	0.328775
10	AG112	0.725143	0.416610	4.854601	5.738612	0.249823
1	AG139	0.630846	0.250951	4.834952	5.646114	0.238016
2	AG139	0.592103	0.318291	4.663186	5.740890	0.248149
3	AG139	0.564834	0.336786	4.838729	5.818748	0.213800
4	AG139	0.619895	0.284771	4.885107	5.856625	0.414590
5	AG139	0.574443	0.298909	4.696178	5.708176	0.331488
6	AG139	0.551510	0.310804	4.743820	5.717347	0.283383
7	AG139	0.597436	0.364076	4.788691	6.010889	0.258324
8	AG139	0.569172	0.264633	4.663125	5.777252	0.323245
9	AG139	0.595455	0.296829	4.711343	5.896968	0.259757
10	AG139	0.614103	0.269774	4.650293	5.786091	0.348343
1	AG142	0.716254	0.364115	4.838327	5.897199	0.203990
2	AG142	0.759666	0.368475	4.622668	6.038828	0.330029
3	AG142	0.759248	0.443163	4.727660	5.886456	0.238178
4	AG142	0.796650	0.354436	5.011654	5.821131	0.082911
5	AG142	0.794074	0.325273	4.686949	5.807026	0.255570
6	AG142	0.760036	0.409347	4.691540	5.871144	0.236485
7	AG142	0.733558	0.508020	4.744465	5.778045	0.208242
8	AG142	0.746821	0.506995	4.843050	5.909323	0.227442
9	AG142	0.700116	0.474721	4.788694	5.776634	0.277225
10	AG142	0.771676	0.444765	4.711688	6.048035	0.185125
1	GD14	0.659758	0.271836	4.808323	5.716921	0.481904
2	GD14	0.612604	0.253147	4.712792	5.910477	0.625430
3	GD14	0.623987	0.236686	4.804464	5.828871	0.566375
4	GD14	0.651243	0.274375	4.923589	5.733698	0.387931
5	GD14	0.635147	0.378621	4.848026	5.702564	0.308598
6	GD14	0.650078	0.326679	4.998040	5.885262	0.379393
7	GD14	0.619512	0.312652	4.720432	5.787363	0.459779
8	GD14	0.680423	0.257655	4.977938	5.815171	0.437380
9	GD14	0.676095	0.294627	4.809027	5.907562	0.410572
10	GD14	0.605804	0.394023	4.850959	5.841278	0.379128
1	GD15	0.647566	0.281101	4.842770	5.780772	0.159132
2	GD15	0.595206	0.286714	4.895363	5.851356	0.314941
3	GD15	0.586904	0.237397	4.873701	5.784686	0.199493
4	GD15	0.630930	0.309335	4.788928	5.865494	0.139906
5	GD15	0.609716	0.260129	4.880268	5.789718	0.150789
6	GD15	0.613622	0.309654	4.560802	5.752971	0.244939
7	GD15	0.624820	0.287377	4.816520	5.685620	0.213396
8	GD15	0.574898	0.388704	4.810820	5.920690	0.184931
9	GD15	0.617883	0.367516	4.830661	5.944173	0.157133
10	GD15	0.606064	0.259705	4.742859	5.803422	0.230047
1	GD16	0.358500	0.426629	4.650033	5.891597	0.123792
2	GD16	0.363900	0.298962	4.708615	5.764325	0.320748
3	GD16	0.382141	0.301730	4.702269	5.811811	0.129319
4	GD16	0.371246	0.311122	4.711417	5.824280	0.274227
5	GD16	0.432319	0.249038	4.940493	5.875974	0.144333
6	GD16	0.368314	0.343511	4.928492	5.748683	0.040601
7	GD16	0.399732	0.309521	4.810851	5.733982	0.138117
8	GD16	0.373573	0.488792	4.773250	5.886782	0.161360
9	GD16	0.373128	0.265544	4.838475	5.883181	0.347112
10	GD16	0.392459	0.330209	4.767182	5.756453	0.111183
