rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.594894	0.302473	3.848757	5.099040	0.279423
2	AG111	0.598525	0.251979	4.101128	5.074397	0.208036
3	AG111	0.614676	0.208097	4.117173	5.035463	0.123992
4	AG111	0.545893	0.225625	3.994842	4.652467	0.248734
5	AG111	0.586516	0.303419	4.005080	4.938144	0.223551
6	AG111	0.625378	0.275807	4.033579	5.115462	0.170896
7	AG111	0.564518	0.244558	3.922245	4.718814	0.327016
8	AG111	0.577898	0.357373	4.104646	5.057462	0.183255
9	AG111	0.587554	0.197742	3.987422	4.971756	0.313634
10	AG111	0.621946	0.245196	4.021782	4.648425	0.282133
1	AG112	0.755854	0.281466	4.128205	4.667062	0.467764
2	AG112	0.755695	0.446474	4.091499	4.810779	0.221193
3	AG112	0.746233	0.304469	4.096971	4.907935	0.450106
4	AG112	0.720925	0.474511	4.115429	4.661259	0.281526
5	AG112	0.718295	0.424087	4.034136	4.573729	0.331408
6	AG112	0.805660	0.479615	4.204742	5.774607	0.337882
7	AG112	0.749232	0.286484	4.197551	4.349719	0.080587
8	AG112	0.764250	0.340339	4.051690	4.590191	0.238873
9	AG112	0.734030	0.379393	4.032049	4.528283	0.203307
10	AG112	0.736384	0.365304	4.053552	4.730157	0.338292
1	AG139	0.548734	0.389726	4.052584	4.865504	0.242046
2	AG139	0.549952	0.340631	4.073212	5.123037	0.291912
3	AG139	0.546020	0.291517	4.085355	4.758897	0.321717
4	AG139	0.549550	0.306179	4.151957	4.634559	0.236252
5	AG139	0.505842	0.444495	4.122311	4.656859	0.147290
6	AG139	0.603698	0.295932	4.004755	5.206025	0.324810
7	AG139	0.540483	0.341535	4.112209	4.990514	0.305354
8	AG139	0.576873	0.261236	4.156230	5.059853	0.339495
9	AG139	0.580010	0.282126	4.038681	5.159996	0.401486
10	AG139	0.595139	0.310750	4.193841	4.968564	0.343497
1	AG142	0.772363	0.496777	4.112222	5.066799	0.238427
2	AG142	0.831993	0.478170	4.017617	4.931164	0.261645
3	AG142	0.754313	0.510485	4.073741	4.961091	0.283228
4	AG142	0.739476	0.408700	4.118881	4.781647	0.161713
5	AG142	0.759384	0.377793	4.143482	5.027272	0.368198
6	AG142	0.724096	0.608716	4.115824	4.936880	0.254853
7	AG142	0.718441	0.417094	4.091612	4.853498	0.316941
8	AG142	0.753144	0.382919	4.053996	5.010546	0.355941
9	AG142	0.727505	0.500425	4.060240	4.651335	0.203221
10	AG142	0.749183	0.547158	4.161316	5.076066	0.252833
1	GD14	0.578864	0.410171	3.997627	4.393122	0.413843
2	GD14	0.597419	0.367186	4.044368	4.653016	0.461974
3	GD14	0.584027	0.366275	4.098313	4.857103	0.493566
4	GD14	0.597088	0.383942	4.054430	4.659861	0.496844
5	GD14	0.648493	0.371254	4.134521	4.563994	0.431871
6	GD14	0.628263	0.277532	4.096717	4.403080	0.355392
7	GD14	0.626899	0.314445	4.024489	4.707700	0.451338
8	GD14	0.656691	0.331651	4.122223	4.334341	0.313026
9	GD14	0.738841	0.298303	4.079302	5.067986	0.489609
10	GD14	0.594688	0.410710	4.148216	4.583537	0.373227
1	GD15	0.561512	0.328597	4.075544	4.878078	0.167173
2	GD15	0.630045	0.281276	3.967033	5.138718	0.320057
3	GD15	0.647273	0.320816	3.970655	4.740662	0.116149
4	GD15	0.629328	0.336694	4.131747	5.082843	0.187548
5	GD15	0.593940	0.392722	4.174996	4.954183	0.158221
6	GD15	0.569750	0.321514	4.049727	5.085577	0.307078
7	GD15	0.626450	0.278379	3.994483	5.073331	0.332886
8	GD15	0.577338	0.273544	3.822143	5.126656	0.336671
9	GD15	0.602889	0.323031	3.936192	4.780660	0.277063
10	GD15	0.616242	0.373851	4.017278	5.173823	0.336520
1	GD16	0.400530	0.288391	4.231339	4.834602	0.146887
2	GD16	0.387185	0.326198	4.005599	4.818309	0.193578
3	GD16	0.370041	0.409071	4.078731	5.011098	0.221628
4	GD16	0.400450	0.260320	4.025562	4.727385	0.240136
5	GD16	0.378859	0.280433	4.119456	4.901849	0.146341
6	GD16	0.391439	0.352968	4.056307	5.116333	0.201832
7	GD16	0.392180	0.461661	4.074724	4.800704	0.022866
8	GD16	0.340485	0.324462	3.984816	5.069688	0.320584
9	GD16	0.367014	0.260401	4.228269	5.151914	0.236911
10	GD16	0.400151	0.298796	4.140441	5.275516	0.262146
