rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.018840	-0.119607	-0.214164	0.041903	-0.001869
2	AG111	-0.015209	-0.302254	0.038208	0.037059	-0.073256
3	AG111	0.000942	-0.493592	0.054253	0.029356	-0.157300
4	AG111	-0.067841	-0.412721	-0.068079	-0.049751	-0.032558
5	AG111	-0.027218	-0.116484	-0.057841	0.009841	-0.057741
6	AG111	0.011644	-0.211895	-0.029341	0.045119	-0.110396
7	AG111	-0.049216	-0.332143	-0.140676	-0.035592	0.045725
8	AG111	-0.035837	0.047184	0.041725	0.033716	-0.098037
9	AG111	-0.026180	-0.544637	-0.075498	0.016624	0.032342
10	AG111	0.008211	-0.329541	-0.041138	-0.050621	0.000842
1	AG112	0.142120	-0.191586	0.065284	-0.046619	0.186472
2	AG112	0.141961	0.269784	0.028578	-0.016290	-0.060099
3	AG112	0.132498	-0.113028	0.034051	0.003704	0.168814
4	AG112	0.107191	0.330687	0.052508	-0.047864	0.000234
5	AG112	0.104561	0.218340	-0.028784	-0.066820	0.050116
6	AG112	0.191926	0.341385	0.141822	0.166321	0.056590
7	AG112	0.135498	-0.173915	0.134630	-0.117038	-0.200705
8	AG112	0.150515	-0.001654	-0.011230	-0.063227	-0.042419
9	AG112	0.120296	0.106974	-0.030872	-0.076806	-0.077985
10	AG112	0.122650	0.069133	-0.009368	-0.033191	0.057000
1	AG139	-0.065001	0.133846	-0.010337	-0.004979	-0.039246
2	AG139	-0.063782	-0.000797	0.010291	0.046598	0.010620
3	AG139	-0.067714	-0.156500	0.022434	-0.027133	0.040425
4	AG139	-0.064184	-0.107429	0.089036	-0.053608	-0.045040
5	AG139	-0.107892	0.265342	0.059390	-0.048808	-0.134002
6	AG139	-0.010036	-0.141468	-0.058166	0.062668	0.043518
7	AG139	-0.073251	0.001852	0.049289	0.020390	0.024062
8	AG139	-0.036861	-0.266171	0.093310	0.034188	0.058203
9	AG139	-0.033724	-0.189245	-0.024239	0.053787	0.120194
10	AG139	-0.018595	-0.092610	0.130920	0.015982	0.062205
1	AG142	0.158628	0.376544	0.049301	0.035560	-0.042865
2	AG142	0.218258	0.338369	-0.045304	0.008426	-0.019647
3	AG142	0.140578	0.403764	0.010821	0.014477	0.001936
4	AG142	0.125741	0.181383	0.055960	-0.022364	-0.119579
5	AG142	0.145650	0.102748	0.080561	0.027728	0.086906
6	AG142	0.110361	0.579755	0.052903	0.009584	-0.026438
7	AG142	0.104707	0.201715	0.028691	-0.007450	0.035649
8	AG142	0.139410	0.116227	-0.008925	0.024396	0.074649
9	AG142	0.113771	0.383860	-0.002681	-0.049995	-0.078071
10	AG142	0.135448	0.473141	0.098395	0.037387	-0.028459
1	GD14	-0.034870	0.184976	-0.065294	-0.107109	0.132551
2	GD14	-0.016316	0.074272	-0.018552	-0.049634	0.180682
3	GD14	-0.029707	0.071788	0.035392	-0.006707	0.212274
4	GD14	-0.016646	0.118894	-0.008491	-0.048163	0.215552
5	GD14	0.034759	0.085290	0.071600	-0.068951	0.150579
6	GD14	0.014529	-0.205663	0.033797	-0.104845	0.074100
7	GD14	0.013164	-0.080788	-0.038432	-0.037950	0.170046
8	GD14	0.042957	-0.027515	0.059302	-0.120580	0.031735
9	GD14	0.125106	-0.133488	0.016381	0.035794	0.208317
10	GD14	-0.019047	0.186290	0.085295	-0.064678	0.091935
1	GD15	-0.052222	-0.036767	0.012623	-0.002398	-0.114119
2	GD15	0.016310	-0.192262	-0.095888	0.049655	0.038765
3	GD15	0.033539	-0.060729	-0.092266	-0.030972	-0.165143
4	GD15	0.015594	-0.012423	0.068826	0.038722	-0.093744
5	GD15	-0.019795	0.141504	0.112075	0.013083	-0.123071
6	GD15	-0.043985	-0.058556	-0.013194	0.039259	0.025786
7	GD15	0.012716	-0.202615	-0.068438	0.036849	0.051594
8	GD15	-0.036397	-0.220133	-0.240777	0.047304	0.055379
9	GD15	-0.010845	-0.053848	-0.126729	-0.022571	-0.004229
10	GD15	0.002507	0.092259	-0.045643	0.056463	0.055228
1	GD16	-0.213205	-0.167279	0.168418	-0.011350	-0.134405
2	GD16	-0.226549	-0.044094	-0.057321	-0.014726	-0.087714
3	GD16	-0.243694	0.182291	0.015810	0.024506	-0.059664
4	GD16	-0.213284	-0.269685	-0.037359	-0.033777	-0.041156
5	GD16	-0.234876	-0.195263	0.056535	0.002463	-0.134950
6	GD16	-0.222295	0.034780	-0.006613	0.045289	-0.079460
7	GD16	-0.221554	0.303234	0.011803	-0.018387	-0.258426
8	GD16	-0.273250	-0.049429	-0.078105	0.036130	0.039292
9	GD16	-0.246720	-0.269373	0.165348	0.052219	-0.044380
10	GD16	-0.213583	-0.131836	0.077520	0.075927	-0.019146
