rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.043643	-0.159233	0.130969	0.001872	-0.132004
2	AG111	-0.004181	-0.324511	-0.036448	0.001979	-0.114875
3	AG111	-0.029139	-0.230193	-0.094434	0.063806	-0.023229
4	AG111	0.023291	-0.442555	0.114006	0.020211	-0.200515
5	AG111	0.022520	0.027723	-0.134651	0.022682	-0.108667
6	AG111	-0.060793	-0.350941	0.014811	0.034103	0.097761
7	AG111	-0.069158	-0.191527	-0.102176	0.018693	0.014795
8	AG111	-0.009896	-0.261292	-0.208898	-0.032833	-0.065392
9	AG111	-0.030114	-0.218940	0.058763	0.007024	-0.078448
10	AG111	-0.011197	0.090018	-0.026522	-0.015668	-0.222051
1	AG112	0.128061	0.322947	0.098311	-0.009476	0.013159
2	AG112	0.147322	-0.057203	-0.000462	0.030433	0.200411
3	AG112	0.185114	0.054745	-0.184346	-0.044324	-0.022157
4	AG112	0.126194	0.377903	0.307873	-0.032120	-0.064532
5	AG112	0.151011	-0.083032	-0.094178	-0.008213	0.137142
6	AG112	0.130827	0.148650	-0.035585	0.012436	0.019458
7	AG112	0.134698	-0.057924	0.093088	-0.065646	-0.034180
8	AG112	0.077873	0.182426	0.323038	0.005959	-0.015343
9	AG112	0.135982	0.171812	0.186850	-0.006520	-0.075136
10	AG112	0.148606	0.072334	0.021458	0.016845	0.091519
1	AG139	-0.044573	-0.104695	0.132162	0.028672	0.147589
2	AG139	-0.031315	0.173324	0.067920	-0.016821	-0.129769
3	AG139	-0.095158	0.059247	0.114776	0.004657	-0.120929
4	AG139	0.018886	-0.059830	-0.131152	-0.038812	-0.157446
5	AG139	-0.033000	0.006689	-0.098458	0.012823	-0.063787
6	AG139	-0.068825	0.086365	-0.216799	0.008546	0.073499
7	AG139	-0.059088	-0.159669	-0.124143	-0.008485	0.130137
8	AG139	0.038467	-0.020258	-0.097108	-0.001760	-0.119700
9	AG139	0.001287	-0.041970	-0.135555	-0.030782	0.011713
10	AG139	-0.076615	-0.036858	-0.058106	0.021428	0.131764
1	AG142	0.103782	0.391542	0.200683	-0.007909	-0.155787
2	AG142	0.139118	0.249954	0.176792	-0.013065	-0.193443
3	AG142	0.135900	0.036547	-0.095063	-0.004193	0.095567
4	AG142	0.068703	0.225760	-0.034037	-0.056829	-0.013177
5	AG142	0.114881	0.388820	-0.128055	-0.003158	-0.108674
6	AG142	0.130843	0.064051	0.273671	0.027970	-0.170154
7	AG142	0.127917	0.355668	0.033953	0.004691	-0.165673
8	AG142	0.110925	0.180976	0.107548	0.001835	-0.030770
9	AG142	0.132694	0.074679	-0.011560	-0.035001	-0.099858
10	AG142	0.139570	0.075751	-0.125912	-0.016888	0.047773
1	GD14	0.021466	-0.041111	0.052245	-0.027106	0.250716
2	GD14	0.053873	-0.256498	0.288668	-0.025098	0.060601
3	GD14	0.018549	0.064014	0.277859	-0.012447	0.184454
4	GD14	0.036440	0.165726	0.002734	0.000067	0.242087
5	GD14	0.020588	-0.035766	0.106630	-0.069800	0.171993
6	GD14	0.018708	-0.236230	0.050497	-0.016633	0.290371
7	GD14	0.026016	-0.034257	0.199998	0.008731	0.081214
8	GD14	-0.001837	-0.110266	-0.079633	0.001877	0.324196
9	GD14	-0.020057	-0.205757	0.258196	-0.001387	0.275582
10	GD14	0.008840	0.073748	0.101145	-0.027220	0.036346
1	GD15	0.024344	-0.093143	-0.147347	0.047629	-0.092332
2	GD15	-0.014624	0.036181	0.067894	0.040285	-0.054210
3	GD15	-0.027508	-0.030033	-0.185863	-0.034635	-0.149902
4	GD15	0.016271	-0.205319	0.046651	0.003013	0.011858
5	GD15	-0.013987	-0.220473	-0.041736	-0.012854	0.044683
6	GD15	0.014404	-0.161986	0.166093	-0.007447	-0.098299
7	GD15	0.005762	-0.093126	0.144361	0.012115	-0.069588
8	GD15	-0.058712	-0.050948	-0.181728	-0.018496	-0.030287
9	GD15	-0.041360	-0.103397	-0.140036	-0.010463	0.045725
10	GD15	0.016643	-0.183792	0.269143	0.008612	-0.140669
1	GD16	-0.242230	0.148410	0.014039	0.042125	-0.046031
2	GD16	-0.237312	0.168570	-0.099117	-0.004809	-0.160600
3	GD16	-0.219995	0.114664	-0.124554	0.035927	-0.002614
4	GD16	-0.219224	0.126817	-0.071966	0.040219	-0.029458
5	GD16	-0.207588	-0.067608	0.099848	0.024461	0.010181
6	GD16	-0.220201	0.068381	0.007767	0.040502	-0.087908
7	GD16	-0.264457	-0.155131	-0.168831	-0.028187	-0.033403
8	GD16	-0.199767	-0.079445	0.039406	-0.010274	-0.093069
9	GD16	-0.246318	0.184751	0.160604	0.021918	-0.051040
10	GD16	-0.179935	-0.066327	-0.138288	0.019218	-0.085553
