rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.607611	0.260034	6.942843	8.764228	0.201748
2	AG111	0.645127	0.171066	7.030931	8.704365	0.145636
3	AG111	0.575548	0.205277	7.158456	8.698996	0.084512
4	AG111	0.647144	0.223264	7.112801	8.479590	0.262283
5	AG111	0.607651	0.203145	6.970118	8.867812	0.181334
6	AG111	0.600173	0.196845	7.070811	8.725220	-0.014186
7	AG111	0.593589	0.193695	7.027828	8.738494	0.103526
8	AG111	0.586686	0.194278	7.036343	8.732114	0.127633
9	AG111	0.554255	0.188321	7.285258	8.576541	0.171430
10	AG111	0.581100	0.201744	7.024020	8.648319	0.194342
1	AG112	0.724440	0.276963	7.138283	8.351067	0.239518
2	AG112	0.800429	0.299404	7.158718	8.583386	0.193155
3	AG112	0.726076	0.260421	7.172458	8.597220	0.247106
4	AG112	0.776623	0.213695	7.049361	8.534239	0.458068
5	AG112	0.723177	0.230145	7.182408	8.684414	0.366298
6	AG112	0.722327	0.355787	7.005952	8.468962	0.288806
7	AG112	0.780868	0.336047	7.047764	8.749164	0.370544
8	AG112	0.744361	0.208971	7.162780	8.586780	0.346693
9	AG112	0.730729	0.298915	7.197523	8.503042	0.258051
10	AG112	0.714354	0.304681	7.056707	8.723211	0.342736
1	AG139	0.553611	0.249191	6.932051	8.513413	0.213216
2	AG139	0.581482	0.206239	7.007842	8.646327	0.321571
3	AG139	0.554871	0.232080	6.975512	8.774450	0.480158
4	AG139	0.552029	0.326726	7.091816	8.617002	0.281144
5	AG139	0.542318	0.221645	6.941606	8.851855	0.308200
6	AG139	0.564671	0.245557	6.924228	8.620096	0.245624
7	AG139	0.577491	0.257152	7.057018	8.370340	0.118231
8	AG139	0.567527	0.243303	7.106148	8.507162	0.198272
9	AG139	0.562078	0.234261	7.069453	8.769093	0.297893
10	AG139	0.555880	0.261973	7.100826	8.529018	0.324632
1	AG142	0.760586	0.305166	7.088721	8.835801	0.245271
2	AG142	0.709592	0.328983	7.067170	8.468560	0.080154
3	AG142	0.729274	0.312704	7.232859	9.038561	0.217022
4	AG142	0.744655	0.322806	7.145380	8.395789	0.269708
5	AG142	0.736279	0.352689	7.106413	8.845634	0.222546
6	AG142	0.744032	0.280032	7.004462	8.368503	0.220502
7	AG142	0.752717	0.341461	7.091368	8.664807	0.128262
8	AG142	0.750309	0.303710	7.104304	8.782631	0.408309
9	AG142	0.734185	0.242630	7.000755	8.786081	0.506178
10	AG142	0.738145	0.274896	7.148082	8.943394	0.272423
1	GD14	0.649294	0.234641	7.177087	8.434954	0.438726
2	GD14	0.594191	0.250420	6.974285	8.684275	0.569734
3	GD14	0.633927	0.266966	7.126426	8.601467	0.482803
4	GD14	0.633057	0.184539	7.174903	8.563079	0.494824
5	GD14	0.626237	0.312672	7.188307	8.722190	0.456475
6	GD14	0.603045	0.188029	7.318492	8.339076	0.367012
7	GD14	0.701429	0.225512	7.245367	8.721007	0.364641
8	GD14	0.618511	0.228665	7.018001	8.283221	0.402125
9	GD14	0.635216	0.294052	7.072365	8.522975	0.409287
10	GD14	0.597827	0.212848	7.136743	8.767909	0.568760
1	GD15	0.618960	0.257561	7.234542	8.632553	-0.005036
2	GD15	0.547709	0.197747	7.022683	8.665742	0.424805
3	GD15	0.628654	0.224757	7.041982	8.657340	0.131503
4	GD15	0.584985	0.210857	7.189608	8.990965	0.312815
5	GD15	0.577334	0.200558	7.020307	8.454516	0.265569
6	GD15	0.611266	0.228730	7.207083	8.482493	0.025668
7	GD15	0.592080	0.205951	7.056532	8.548210	0.240436
8	GD15	0.594037	0.263900	7.159270	8.863848	0.168051
9	GD15	0.604020	0.303907	6.987415	8.612665	0.140045
10	GD15	0.590938	0.251582	7.219124	8.514025	0.031816
1	GD16	0.341897	0.220220	7.077659	8.954783	0.248223
2	GD16	0.343298	0.206337	7.147494	8.511146	0.316042
3	GD16	0.366268	0.236807	7.148058	8.625876	0.177400
4	GD16	0.447635	0.252672	7.320115	8.551633	0.102077
5	GD16	0.374605	0.214303	7.118892	8.685623	0.256404
6	GD16	0.398981	0.243840	7.079480	8.422134	0.164523
7	GD16	0.416572	0.255721	7.098738	8.805257	0.120806
8	GD16	0.411971	0.172361	7.102205	8.640128	0.327670
9	GD16	0.394206	0.243533	7.162187	8.648709	0.144045
10	GD16	0.378992	0.256656	7.047639	8.836646	0.207427
