rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.003705	0.088544	-0.161342	0.010151	-0.056483
2	AG111	0.033811	-0.330216	-0.073254	0.003297	-0.112595
3	AG111	-0.035768	-0.147909	0.054271	0.002680	-0.173719
4	AG111	0.035828	-0.063913	0.008615	-0.022865	0.004052
5	AG111	-0.003665	-0.158346	-0.134067	0.021901	-0.076897
6	AG111	-0.011143	-0.189849	-0.033375	0.005690	-0.272416
7	AG111	-0.017727	-0.205985	-0.076358	0.007210	-0.154705
8	AG111	-0.024630	-0.202976	-0.067842	0.006480	-0.130598
9	AG111	-0.057061	-0.234121	0.181073	-0.011497	-0.086801
10	AG111	-0.030216	-0.165269	-0.080165	-0.003163	-0.063889
1	AG112	0.113124	0.151614	0.034098	-0.038138	-0.018712
2	AG112	0.189113	0.229525	0.054532	-0.010699	-0.065076
3	AG112	0.114760	0.090033	0.068272	-0.009089	-0.011125
4	AG112	0.165307	-0.107720	-0.054824	-0.016441	0.199837
5	AG112	0.111861	-0.033558	0.078223	0.001002	0.108067
6	AG112	0.111011	0.402064	-0.098233	-0.024120	0.030575
7	AG112	0.169552	0.344983	-0.056422	0.008431	0.112313
8	AG112	0.133045	-0.130070	0.058595	-0.010304	0.088462
9	AG112	0.119413	0.227891	0.093338	-0.020104	-0.000180
10	AG112	0.103038	0.246999	-0.047478	0.005460	0.084505
1	AG139	-0.057705	0.045951	-0.172135	-0.018885	-0.045015
2	AG139	-0.029834	-0.143232	-0.096343	-0.003393	0.063340
3	AG139	-0.056445	-0.025184	-0.128673	0.011317	0.221928
4	AG139	-0.059287	0.316854	-0.012369	-0.006790	0.022913
5	AG139	-0.068998	-0.071190	-0.162580	0.020100	0.049969
6	AG139	-0.046645	0.031261	-0.179957	-0.006431	-0.012606
7	AG139	-0.033825	0.077400	-0.047167	-0.035833	-0.140000
8	AG139	-0.043789	0.022040	0.001962	-0.019619	-0.059959
9	AG139	-0.049238	-0.015834	-0.034732	0.010706	0.039662
10	AG139	-0.055436	0.095972	-0.003359	-0.017053	0.066402
1	AG142	0.149270	0.248587	-0.015465	0.018284	-0.012960
2	AG142	0.098276	0.323737	-0.037016	-0.024167	-0.178077
3	AG142	0.117958	0.272990	0.128674	0.040973	-0.041208
4	AG142	0.133339	0.304783	0.041194	-0.032797	0.011478
5	AG142	0.124963	0.393319	0.002228	0.019396	-0.035685
6	AG142	0.132716	0.162637	-0.099723	-0.036052	-0.037729
7	AG142	0.141401	0.360967	-0.012818	-0.001258	-0.129969
8	AG142	0.138993	0.243807	0.000119	0.012248	0.150078
9	AG142	0.122869	0.019268	-0.103431	0.012641	0.247947
10	AG142	0.126829	0.144125	0.043896	0.030388	0.014192
1	GD14	0.037978	-0.014209	0.072901	-0.028143	0.180495
2	GD14	-0.017125	0.050871	-0.129901	0.000986	0.311503
3	GD14	0.022611	0.114855	0.022241	-0.008595	0.224572
4	GD14	0.021741	-0.254409	0.070718	-0.013068	0.236593
5	GD14	0.014921	0.272887	0.084122	0.005343	0.198244
6	GD14	-0.008271	-0.235670	0.214307	-0.039575	0.108782
7	GD14	0.090113	-0.053893	0.141181	0.005207	0.106411
8	GD14	0.007195	-0.040012	-0.086184	-0.046296	0.143894
9	GD14	0.023900	0.211487	-0.031820	-0.017762	0.151057
10	GD14	-0.013490	-0.111690	0.032557	0.010571	0.310529
1	GD15	0.007644	0.078990	0.130357	-0.004987	-0.263267
2	GD15	-0.063607	-0.185282	-0.081503	-0.001150	0.166574
3	GD15	0.017338	-0.057248	-0.062204	-0.002120	-0.126727
4	GD15	-0.026331	-0.121089	0.085422	0.035693	0.054584
5	GD15	-0.033982	-0.171163	-0.083878	-0.025827	0.007338
6	GD15	-0.000050	-0.039724	0.102897	-0.022523	-0.232563
7	GD15	-0.019236	-0.144629	-0.047654	-0.014806	-0.017795
8	GD15	-0.017279	0.103303	0.055084	0.021454	-0.090180
9	GD15	-0.007296	0.244453	-0.116770	-0.007294	-0.118185
10	GD15	-0.020378	0.055500	0.114938	-0.018813	-0.226415
1	GD16	-0.269419	-0.077643	-0.026527	0.031660	-0.010008
2	GD16	-0.268018	-0.142758	0.043309	-0.019151	0.057811
3	GD16	-0.245048	-0.005024	0.043873	-0.005761	-0.080831
4	GD16	-0.163681	0.059824	0.215929	-0.014405	-0.156154
5	GD16	-0.236711	-0.104877	0.014707	0.001142	-0.001827
6	GD16	-0.212335	0.024244	-0.024705	-0.029664	-0.093708
7	GD16	-0.194744	0.071820	-0.005447	0.014821	-0.137425
8	GD16	-0.199345	-0.322678	-0.001981	-0.004110	0.069439
9	GD16	-0.217110	0.022984	0.058001	-0.003117	-0.114186
10	GD16	-0.232324	0.075469	-0.056547	0.018380	-0.050804
