rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.065972	-0.402374	0.037617	0.007983	0.026110
2	AG111	-0.002062	-0.398512	-0.123452	-0.055302	-0.035708
3	AG111	-0.011022	-0.313360	-0.128290	0.046674	0.045144
4	AG111	-0.016972	-0.533251	-0.006990	0.055296	0.108240
5	AG111	-0.011436	0.085683	-0.026987	0.121685	-0.053079
6	AG111	0.002978	-0.572411	-0.051119	0.030758	-0.036258
7	AG111	0.014064	-0.486291	0.044214	0.062310	0.013567
8	AG111	-0.000149	-0.702686	0.087697	-0.007637	0.029225
9	AG111	-0.030710	-0.555880	0.096697	0.012662	-0.058082
10	AG111	-0.046220	-0.374099	0.136486	-0.026855	0.023534
1	AG112	0.156960	-0.016357	0.120912	-0.028951	-0.071305
2	AG112	0.172282	0.293014	-0.007900	0.058927	0.011163
3	AG112	0.132724	0.072550	-0.077799	-0.049146	0.021646
4	AG112	0.205620	0.011712	0.042013	-0.012361	0.030563
5	AG112	0.168779	0.118675	-0.014432	0.022658	0.030475
6	AG112	0.116161	-0.062860	0.097207	-0.050252	0.071951
7	AG112	0.139810	-0.061170	0.057829	-0.077331	-0.145319
8	AG112	0.119029	0.406489	-0.094468	-0.034242	-0.000041
9	AG112	0.126191	0.220226	0.124228	0.059057	0.011124
10	AG112	0.168107	0.219342	0.123932	0.011730	0.030829
1	AG139	-0.033514	-0.168821	-0.021251	0.019969	0.002171
2	AG139	-0.080986	0.016119	0.047458	-0.023293	0.012702
3	AG139	-0.006648	0.231413	-0.105102	0.008541	-0.064439
4	AG139	-0.030509	0.059783	0.089756	0.032958	-0.026507
5	AG139	-0.004440	-0.107002	0.107277	0.036756	0.032208
6	AG139	-0.015558	0.016052	-0.046892	0.007389	-0.126990
7	AG139	-0.001929	0.085342	0.028868	0.023364	0.014942
8	AG139	-0.042175	0.062938	0.071260	-0.002117	-0.043643
9	AG139	-0.082837	-0.093468	0.039129	-0.056737	-0.046880
10	AG139	-0.031263	-0.042930	0.042309	-0.034798	-0.040590
1	AG142	0.118212	0.610282	-0.003072	0.009077	-0.063311
2	AG142	0.124479	0.240493	0.109241	-0.017552	-0.043388
3	AG142	0.167773	0.129149	0.146231	0.054334	-0.079159
4	AG142	0.165558	0.170619	0.059627	0.005981	-0.102154
5	AG142	0.123129	0.455783	0.103561	0.048038	-0.012084
6	AG142	0.130186	0.533764	-0.015805	0.007156	-0.081783
7	AG142	0.207689	0.360034	-0.146554	-0.040422	-0.179682
8	AG142	0.148527	0.236658	0.268333	0.072259	0.118341
9	AG142	0.151532	0.517718	-0.084409	-0.016875	-0.006700
10	AG142	0.164280	0.255627	-0.059035	0.024657	-0.013836
1	GD14	0.059369	0.029180	0.032632	-0.091098	0.004080
2	GD14	0.019701	-0.295879	0.193420	-0.161926	-0.238944
3	GD14	0.002850	-0.407747	0.236452	-0.120593	0.064095
4	GD14	-0.010501	-0.414858	0.150759	-0.129299	0.009025
5	GD14	-0.001242	0.214567	-0.042267	-0.054170	0.161433
6	GD14	-0.002253	0.242590	0.305319	-0.011367	-0.027445
7	GD14	0.037417	0.046189	-0.114430	-0.004779	0.142483
8	GD14	0.024942	-0.257428	0.281018	-0.018218	0.100003
9	GD14	0.010559	0.014331	0.191627	-0.039357	0.032226
10	GD14	0.017692	-0.392668	0.183475	-0.089791	0.065379
1	GD15	0.007033	-0.064384	-0.047796	0.041541	0.007538
2	GD15	-0.048024	-0.115112	0.001326	-0.008147	-0.053076
3	GD15	-0.017029	-0.131454	0.043226	-0.027054	-0.134938
4	GD15	-0.035755	-0.080075	0.123789	0.054219	0.069423
5	GD15	-0.039011	-0.211280	-0.108307	0.023694	0.172502
6	GD15	0.014470	0.121843	0.096861	0.040924	-0.088700
7	GD15	-0.031575	-0.106474	0.016918	-0.065416	-0.049562
8	GD15	-0.020962	0.031643	0.050928	0.076029	0.014493
9	GD15	0.061627	-0.245743	-0.140739	0.033208	-0.050142
10	GD15	-0.011244	-0.155745	-0.101205	0.039190	0.094380
1	GD16	-0.234842	0.169106	0.145568	0.033493	-0.159003
2	GD16	-0.226267	-0.087222	-0.081799	-0.011129	-0.002768
3	GD16	-0.249534	-0.053207	-0.113767	0.019731	-0.003619
4	GD16	-0.241509	-0.271627	-0.185407	-0.022678	0.134911
5	GD16	-0.217633	-0.207127	-0.204886	-0.005269	0.034888
6	GD16	-0.181136	0.102856	-0.023004	0.007474	0.015838
7	GD16	-0.205112	-0.175512	-0.084048	0.134545	0.123059
8	GD16	-0.258773	-0.073807	-0.094708	0.033916	-0.062652
9	GD16	-0.193184	0.240092	-0.111446	0.086530	-0.067660
10	GD16	-0.215714	-0.154519	0.158529	0.036795	-0.059583
