rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	AG111	0.000330	-0.806271	0.000000	0.000000	0.103592	0.069064
2	AG111	0.052691	-0.622615	0.000000	0.000000	0.061827	-0.023577
3	AG111	-0.005387	-0.684987	0.000000	0.000000	-0.003358	-0.002553
4	AG111	0.019878	-0.424947	0.000000	0.000000	0.063131	-0.048231
5	AG111	-0.014017	-0.351002	0.000000	0.000000	0.043586	-0.059495
6	AG111	0.003634	-0.008223	0.000000	0.000000	0.103322	-0.053786
7	AG111	-0.039760	-0.387546	0.000000	0.000000	0.044252	0.101764
8	AG111	-0.023909	0.092960	0.000000	0.000000	0.008495	-0.047041
9	AG111	-0.014547	-0.330476	0.000000	0.000000	0.038725	-0.024592
10	AG111	-0.005714	-0.392927	0.000000	0.000000	0.095344	-0.125674
1	AG112	0.118959	-0.190966	0.000000	0.000000	-0.094515	0.025673
2	AG112	0.129764	0.350844	0.000000	0.000000	-0.132216	0.008024
3	AG112	0.119305	0.399320	0.000000	0.000000	-0.034024	-0.006289
4	AG112	0.148922	0.127857	0.000000	0.000000	-0.008650	0.006864
5	AG112	0.139579	0.146277	0.000000	0.000000	-0.065432	-0.046075
6	AG112	0.119474	-0.086874	0.000000	0.000000	-0.036968	0.090208
7	AG112	0.107548	-0.243784	0.000000	0.000000	-0.138113	-0.015733
8	AG112	0.116581	-0.213396	0.000000	0.000000	-0.179824	-0.009771
9	AG112	0.191267	-0.257517	0.000000	0.000000	-0.007564	0.100989
10	AG112	0.199491	-0.091901	0.000000	0.000000	-0.082188	-0.065923
1	AG139	-0.046229	0.259785	0.000000	0.000000	-0.047510	-0.085490
2	AG139	-0.007306	0.244546	0.000000	0.000000	0.012563	-0.126552
3	AG139	-0.094819	-0.018826	0.000000	0.000000	-0.033878	0.034519
4	AG139	-0.039821	0.106611	0.000000	0.000000	-0.008808	-0.011466
5	AG139	0.013822	0.089600	0.000000	0.000000	0.072888	-0.081502
6	AG139	0.038459	0.231254	0.000000	0.000000	0.047268	-0.193971
7	AG139	-0.014041	-0.001574	0.000000	0.000000	-0.069573	-0.038944
8	AG139	-0.077249	0.021736	0.000000	0.000000	0.054642	0.059968
9	AG139	-0.049671	0.443626	0.000000	0.000000	0.021030	-0.040788
10	AG139	-0.014402	0.011269	0.000000	0.000000	0.116661	-0.042667
1	AG142	0.158637	0.364488	0.000000	0.000000	-0.004878	-0.025165
2	AG142	0.224044	0.116758	0.000000	0.000000	0.125777	0.039219
3	AG142	0.121312	0.359810	0.000000	0.000000	0.024364	0.006828
4	AG142	0.159474	0.449455	0.000000	0.000000	-0.048343	-0.100088
5	AG142	0.143012	0.269047	0.000000	0.000000	0.018128	0.041736
6	AG142	0.140729	0.143545	0.000000	0.000000	0.005271	-0.021005
7	AG142	0.137982	0.137181	0.000000	0.000000	-0.002775	-0.047255
8	AG142	0.098278	0.615150	0.000000	0.000000	0.061930	0.016455
9	AG142	0.130819	0.266878	0.000000	0.000000	-0.077253	0.043739
10	AG142	0.097138	0.160855	0.000000	0.000000	0.020310	-0.010141
1	GD14	-0.002978	0.007127	0.000000	0.000000	-0.100442	0.110961
2	GD14	0.034331	-0.001445	0.000000	0.000000	-0.094781	0.035853
3	GD14	0.036712	-0.061279	0.000000	0.000000	-0.020624	0.213182
4	GD14	0.022739	0.150326	0.000000	0.000000	-0.111292	0.018344
5	GD14	-0.012509	0.165400	0.000000	0.000000	-0.149137	-0.040058
6	GD14	0.033347	-0.225506	0.000000	0.000000	-0.084224	0.105789
7	GD14	0.045689	-0.089104	0.000000	0.000000	-0.048420	0.096337
8	GD14	0.035343	-0.051830	0.000000	0.000000	-0.030420	0.225454
9	GD14	0.019017	0.154401	0.000000	0.000000	-0.169844	-0.030212
10	GD14	-0.020601	-0.083098	0.000000	0.000000	-0.084640	0.146903
1	GD15	-0.016194	0.212621	0.000000	0.000000	0.214762	0.004146
2	GD15	0.030102	-0.227756	0.000000	0.000000	0.091068	-0.022881
3	GD15	0.019208	0.105144	0.000000	0.000000	0.036333	-0.120683
4	GD15	0.042172	0.156677	0.000000	0.000000	0.065011	-0.009595
5	GD15	0.009909	-0.130768	0.000000	0.000000	0.076170	-0.081609
6	GD15	-0.009255	-0.308900	0.000000	0.000000	0.085266	0.052195
7	GD15	0.009122	-0.224662	0.000000	0.000000	0.068371	0.141622
8	GD15	-0.057167	-0.233922	0.000000	0.000000	0.041087	0.013484
9	GD15	0.031718	-0.387748	0.000000	0.000000	0.042890	0.111264
10	GD15	-0.010575	-0.188610	0.000000	0.000000	0.055026	-0.003764
1	GD16	-0.253987	0.105752	0.000000	0.000000	0.013804	-0.078080
2	GD16	-0.254707	-0.063864	0.000000	0.000000	-0.037438	-0.106611
3	GD16	-0.260716	0.009162	0.000000	0.000000	0.140145	0.046425
4	GD16	-0.215957	-0.119135	0.000000	0.000000	0.140715	-0.023913
5	GD16	-0.255005	0.053006	0.000000	0.000000	0.165921	-0.001968
6	GD16	-0.237679	-0.151378	0.000000	0.000000	0.082112	-0.023272
7	GD16	-0.269030	0.071383	0.000000	0.000000	0.116278	-0.062343
8	GD16	-0.269392	-0.166833	0.000000	0.000000	0.027481	-0.030221
9	GD16	-0.229783	-0.063095	0.000000	0.000000	0.159463	0.081883
10	GD16	-0.222186	-0.106060	0.000000	0.000000	0.100081	-0.007785
