parameter	value	se_sa	rse_sa
rhoS_pop	0.61387891039741960	0.04635583050584774	7.55129875301260967
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	3.56826844028586487	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.25330645565388077	0.06907630424053994	27.26985542560595377
omega_rhoS	0.11916654347961816	0.03407835103162123	28.59724721095890487
omega_deltaSC	0.23953749129364280	0.16385174162997046	68.40338050844361817
omega_deltaCB	0.02310953255865246	0.05178604357537313	224.08953294030982306
omega_rhoB	0.14189781184591133	0.05871604013071267	41.37910188105873033
b1	0.16340469578509759	0.02130550220161876	13.03848833673591834
b2	0.17716518984973895	0.02307880790294452	13.02671699926978022
b3	0.27514800348195451	0.04973201563712633	18.07464165023024805
