rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.044070	-0.033184
2	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.334993	-0.232217
3	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.081481	-0.383728
4	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.325358	-0.324383
5	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.457717	-0.149739
6	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004651	-0.147411
7	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.367748	-0.185837
8	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.022909	-0.321056
9	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.084957	-0.326822
10	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.215548	-0.076164
1	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.219081	0.150780
2	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.283995	0.294167
3	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.156601	0.134701
4	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038105	0.288116
5	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.066066	0.357240
6	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009980	0.315330
7	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.122277	0.149586
8	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.150844	0.268049
9	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.510690	0.333201
10	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.243118	0.137744
1	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.347414	-0.082389
2	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.019133	-0.095479
3	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.191462	-0.087884
4	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.221419	0.064351
5	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.071346	-0.045136
6	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.354062	-0.086337
7	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.307643	-0.061207
8	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.059606	-0.087658
9	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011229	-0.044883
10	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.160642	-0.152185
1	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.417233	0.212584
2	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.131303	0.368230
3	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.368579	0.145782
4	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.242304	0.092397
5	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.228480	0.200009
6	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.162711	0.132445
7	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.167832	0.248403
8	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.103503	0.174626
9	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.229961	0.176941
10	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.068048	0.286471
1	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.118755	0.227518
2	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.290067	0.269162
3	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.136834	0.289327
4	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.090188	0.284301
5	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.090317	0.162623
6	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.235893	0.111157
7	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.300515	0.099060
8	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002757	0.303843
9	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060175	0.076632
10	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017163	0.106056
1	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028614	0.021546
2	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.100769	-0.127422
3	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.125992	-0.219993
4	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.094773	-0.126547
5	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.059093	-0.214453
6	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.099915	0.087434
7	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.052563	-0.182511
8	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.065308	-0.098120
9	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029356	-0.309571
10	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.124839	-0.306845
1	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.141748	-0.290813
2	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.198623	-0.208892
3	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.313106	-0.276516
4	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.121189	-0.268668
5	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.347537	-0.489183
6	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.374927	-0.398477
7	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.242218	-0.475607
8	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.405426	-0.304400
9	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.169870	-0.259784
10	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.592985	-0.300601
