rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.008140	-0.154699	0.040178	0.030029	-0.287816
2	AG111	-0.041368	-0.204334	0.059718	0.004301	-0.032508
3	AG111	-0.021052	-0.513740	0.061207	0.012394	0.074829
4	AG111	-0.054494	-0.243271	-0.016256	-0.000572	-0.003284
5	AG111	0.003310	-0.190116	-0.010308	0.001190	-0.303348
6	AG111	-0.025074	-0.302230	-0.075742	-0.022874	-0.055773
7	AG111	0.055904	-0.611595	-0.121375	0.026136	-0.057314
8	AG111	-0.009014	-0.129852	-0.002531	0.048703	-0.077167
9	AG111	-0.021991	-0.281986	-0.014425	0.004128	-0.155816
10	AG111	-0.038615	-0.110784	-0.080967	-0.040410	-0.298991
1	AG112	0.151103	-0.104830	-0.003846	-0.028549	0.125693
2	AG112	0.187912	0.329575	-0.072499	0.007128	0.010930
3	AG112	0.151297	0.208825	0.025572	-0.006510	0.057789
4	AG112	0.103837	0.071459	0.063630	0.022974	0.225825
5	AG112	0.110468	-0.005754	0.111953	-0.000516	0.149841
6	AG112	0.116504	0.176800	0.030659	0.042962	0.131710
7	AG112	0.128579	-0.119457	0.183455	0.026435	0.044200
8	AG112	0.126250	0.028802	0.111403	-0.011851	-0.050243
9	AG112	0.079786	-0.022663	-0.071395	-0.036169	0.193283
10	AG112	0.166362	0.078199	-0.033184	0.004706	0.125104
1	AG139	-0.024318	-0.071186	-0.014305	0.026833	0.006938
2	AG139	-0.038573	-0.464686	-0.010616	-0.014399	0.205833
3	AG139	-0.045343	0.310591	-0.003584	-0.006665	-0.075297
4	AG139	-0.050468	0.149460	-0.041185	-0.039790	-0.128177
5	AG139	-0.020492	0.301804	-0.124373	-0.037868	-0.133811
6	AG139	-0.057924	0.127592	0.022425	-0.022680	-0.052884
7	AG139	-0.057914	-0.025885	-0.004113	-0.050531	-0.047723
8	AG139	-0.045222	-0.046557	-0.000537	0.005294	0.082144
9	AG139	-0.020735	0.233627	0.055035	-0.029842	-0.230710
10	AG139	-0.037135	0.155315	-0.001617	0.010766	0.062030
1	AG142	0.106528	0.226537	-0.014222	0.016273	0.026138
2	AG142	0.145346	0.148576	-0.058887	-0.018161	-0.008692
3	AG142	0.137489	0.293601	-0.020231	-0.014243	-0.080872
4	AG142	0.123832	0.315025	0.025097	-0.039447	-0.145136
5	AG142	0.144892	0.654837	-0.074910	-0.006810	-0.053729
6	AG142	0.098219	0.144000	0.030213	-0.007498	0.042754
7	AG142	0.139992	0.154430	0.014244	0.026629	-0.081128
8	AG142	0.159283	0.496226	0.078074	0.000750	-0.041541
9	AG142	0.139908	0.564805	-0.084056	0.009340	-0.017449
10	AG142	0.110294	0.240016	0.065101	0.024891	-0.031278
1	GD14	0.011415	0.095718	0.062450	-0.016282	0.094772
2	GD14	0.012563	-0.158597	0.068435	-0.014073	0.257847
3	GD14	0.018374	0.058779	0.137905	0.003738	0.004601
4	GD14	0.025371	-0.134587	0.004036	0.023694	0.228669
5	GD14	0.051757	-0.251329	-0.034410	0.016821	0.316799
6	GD14	-0.006436	0.111300	-0.063173	-0.007429	0.218019
7	GD14	0.012259	-0.102730	0.052893	0.010895	0.262583
8	GD14	0.003839	0.074133	0.072189	0.000637	0.200384
9	GD14	0.042966	-0.137618	-0.014309	0.016219	0.197105
10	GD14	-0.026871	0.256845	0.051277	-0.027390	0.183389
1	GD15	-0.031365	0.101792	-0.039351	0.065371	-0.124946
2	GD15	0.037773	-0.147735	-0.133203	0.026269	0.085137
3	GD15	-0.002108	0.041583	-0.078096	0.030218	0.013389
4	GD15	-0.000604	-0.318091	-0.030660	-0.004982	0.102070
5	GD15	-0.026794	-0.125876	-0.020343	0.003213	0.148433
6	GD15	-0.005539	0.044886	0.042732	-0.027665	-0.043937
7	GD15	-0.024390	-0.145433	-0.141448	0.001300	0.178777
8	GD15	-0.071908	-0.245981	-0.040511	-0.031468	0.004318
9	GD15	-0.035655	0.105566	0.104897	0.018717	0.000089
10	GD15	-0.002350	-0.050323	-0.079346	-0.005036	0.037673
1	GD16	-0.232553	-0.094452	-0.115432	-0.001512	0.000517
2	GD16	-0.267174	-0.167335	0.057943	-0.041730	-0.153130
3	GD16	-0.272033	-0.042249	-0.033845	0.057473	-0.007758
4	GD16	-0.251167	0.072152	0.053758	-0.006561	-0.161989
5	GD16	-0.230969	0.173188	-0.166727	0.002386	-0.143773
6	GD16	-0.228448	-0.229130	0.060033	-0.030333	-0.171614
7	GD16	-0.268140	-0.192022	-0.166545	-0.008384	0.135505
8	GD16	-0.210865	-0.181685	0.061303	0.027935	-0.099147
9	GD16	-0.213509	0.053217	-0.037579	-0.030077	-0.104926
10	GD16	-0.210757	-0.145337	-0.148828	-0.009337	-0.053916
