rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.044778	-0.091928	0.000000	0.000000	0.017676	0.000000	0.003087	0.004826
2	AG111	-0.031952	-0.502271	0.000000	0.000000	-0.178694	0.000000	-0.002055	-0.025830
3	AG111	-0.058436	-0.086968	0.000000	0.000000	-0.137574	0.000000	0.016398	-0.015255
4	AG111	-0.035855	-0.018268	0.000000	0.000000	-0.137423	0.000000	-0.025926	0.017620
5	AG111	-0.030684	-0.580920	0.000000	0.000000	-0.227075	0.000000	0.006420	0.012949
6	AG111	-0.014808	-0.403927	0.000000	0.000000	-0.141960	0.000000	-0.014352	0.019003
7	AG111	-0.019908	-0.330809	0.000000	0.000000	-0.165463	0.000000	-0.003254	-0.011358
8	AG111	-0.016321	-0.160052	0.000000	0.000000	-0.155034	0.000000	-0.016623	-0.004198
9	AG111	-0.013476	-0.277044	0.000000	0.000000	-0.168104	0.000000	-0.006595	-0.040663
10	AG111	-0.004097	-0.634499	0.000000	0.000000	-0.140863	0.000000	-0.002191	-0.028648
1	AG112	0.153475	0.304582	0.000000	0.000000	-0.189429	0.000000	0.020069	-0.032425
2	AG112	0.145926	0.755854	0.000000	0.000000	-0.199887	0.000000	0.000030	0.006048
3	AG112	0.097284	0.148641	0.000000	0.000000	-0.224771	0.000000	-0.000531	-0.014838
4	AG112	0.164889	0.257396	0.000000	0.000000	-0.215039	0.000000	-0.002205	-0.030628
5	AG112	0.123577	0.066687	0.000000	0.000000	-0.193075	0.000000	-0.011723	-0.013599
6	AG112	0.102792	0.290158	0.000000	0.000000	-0.251467	0.000000	0.000260	0.009840
7	AG112	0.118179	0.462898	0.000000	0.000000	-0.200619	0.000000	0.000074	0.041012
8	AG112	0.140022	-0.136360	0.000000	0.000000	-0.293954	0.000000	-0.001995	-0.007706
9	AG112	0.156341	0.144661	0.000000	0.000000	-0.249738	0.000000	-0.026678	-0.010343
10	AG112	0.177150	0.386852	0.000000	0.000000	-0.209236	0.000000	-0.006602	0.023633
1	AG139	-0.084791	0.374965	0.000000	0.000000	-0.167545	0.000000	0.011993	0.018484
2	AG139	-0.031272	0.242885	0.000000	0.000000	-0.133493	0.000000	-0.011057	0.004702
