rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	AG111	-0.003101	-0.163940	0.000000	-0.226981	-0.018117	0.141893
2	AG111	-0.059067	-0.617212	0.000000	-0.000005	0.005846	0.042314
3	AG111	-0.026817	-0.429556	0.000000	-0.180076	-0.045464	0.044933
4	AG111	0.016198	-0.434520	0.000000	0.007308	0.006253	-0.185392
5	AG111	0.062616	-0.657940	0.000000	-0.046391	0.036846	-0.139094
6	AG111	-0.003294	-0.533019	0.000000	0.008462	0.029953	-0.098227
7	AG111	-0.027578	-0.419588	0.000000	-0.136134	-0.009423	-0.126913
8	AG111	-0.004185	-0.363700	0.000000	-0.120629	0.044846	0.031104
9	AG111	-0.060723	-0.600797	0.000000	0.089508	0.008424	0.092153
10	AG111	-0.058270	-0.511044	0.000000	-0.020564	0.021768	0.110459
1	AG112	0.129964	0.143010	0.000000	-0.130799	-0.107081	-0.035715
2	AG112	0.157062	0.011115	0.000000	-0.036951	-0.049527	-0.006852
3	AG112	0.155023	-0.478354	0.000000	0.138892	-0.083803	-0.018448
4	AG112	0.130396	0.019077	0.000000	-0.047481	-0.019270	0.211620
5	AG112	0.090284	0.243535	0.000000	0.141924	0.011492	-0.037678
6	AG112	0.155889	0.336679	0.000000	-0.030264	-0.009759	0.016596
7	AG112	0.134565	0.042164	0.000000	0.108446	0.043494	0.208758
8	AG112	0.129708	-0.194251	0.000000	0.121330	-0.003998	0.206137
9	AG112	0.199679	0.046475	0.000000	-0.050933	0.049715	-0.026805
10	AG112	0.128572	-0.225463	0.000000	0.035374	-0.017241	0.195242
1	AG139	-0.068723	0.205264	0.000000	-0.118857	0.025798	0.034067
2	AG139	-0.033887	0.121823	0.000000	-0.075639	0.092753	0.152669
3	AG139	-0.077070	0.175976	0.000000	0.068856	-0.077290	-0.203380
4	AG139	-0.049471	0.035079	0.000000	0.035422	-0.006618	-0.035147
5	AG139	-0.075406	-0.336644	0.000000	-0.016672	-0.072076	0.057570
6	AG139	-0.059319	0.162904	0.000000	0.050922	-0.010981	-0.068942
7	AG139	-0.094952	-0.035500	0.000000	-0.148958	-0.040007	0.023530
8	AG139	-0.033912	-0.141337	0.000000	0.051416	0.020223	-0.059073
9	AG139	0.028902	0.024134	0.000000	-0.103789	-0.061072	-0.068416
10	AG139	-0.048387	0.186077	0.000000	-0.154969	0.014987	0.014627
1	AG142	0.138702	0.467722	0.000000	-0.011117	-0.022078	-0.067757
2	AG142	0.152242	0.081959	0.000000	-0.071810	0.013859	0.062812
3	AG142	0.131250	0.343496	0.000000	-0.032371	0.019909	-0.003064
4	AG142	0.132544	0.259003	0.000000	0.002616	-0.010402	0.012204
5	AG142	0.186201	0.410074	0.000000	0.026166	-0.016831	-0.161041
6	AG142	0.129184	0.069298	0.000000	0.024726	0.004549	0.068398
7	AG142	0.141584	0.244342	0.000000	0.014517	-0.036800	0.014731
8	AG142	0.122986	0.442749	0.000000	-0.035463	0.016747	-0.059796
9	AG142	0.139420	0.273532	0.000000	-0.034038	0.054579	0.088633
10	AG142	0.139036	0.427701	0.000000	0.001829	0.069173	-0.045387
1	GD14	-0.009993	0.036999	0.000000	0.014083	-0.005268	0.178049
2	GD14	0.029266	-0.252896	0.000000	0.081920	-0.005961	0.195031
3	GD14	0.023274	0.071975	0.000000	0.156304	-0.026541	0.050103
4	GD14	-0.016614	-0.135329	0.000000	0.047669	-0.021172	0.302361
5	GD14	-0.014417	0.010893	0.000000	0.076451	-0.014356	0.133980
6	GD14	-0.016978	-0.024477	0.000000	0.165591	-0.043177	0.158403
7	GD14	-0.003784	-0.069400	0.000000	0.083246	-0.012413	0.206177
8	GD14	0.014495	-0.090723	0.000000	0.063321	-0.044918	0.105537
9	GD14	0.019125	0.192257	0.000000	0.021505	-0.060217	0.118176
10	GD14	0.012285	-0.080433	0.000000	-0.115830	-0.067669	0.130673
1	GD15	-0.001476	-0.250002	0.000000	-0.152541	-0.027622	-0.092150
2	GD15	0.013484	-0.170172	0.000000	-0.049300	-0.023059	-0.075896
3	GD15	-0.000457	-0.181125	0.000000	0.073214	0.005471	-0.025614
4	GD15	0.037498	-0.124251	0.000000	-0.110254	0.035220	-0.050955
5	GD15	0.026992	-0.115024	0.000000	0.004544	0.024658	-0.015406
6	GD15	-0.078509	-0.083058	0.000000	-0.001487	-0.025753	0.007718
7	GD15	-0.009522	0.185059	0.000000	-0.098602	-0.002507	-0.038742
8	GD15	-0.001676	-0.117960	0.000000	-0.046594	0.036364	0.066785
9	GD15	-0.023672	-0.314272	0.000000	-0.029297	0.081433	0.120530
10	GD15	0.006076	-0.244305	0.000000	-0.110090	0.012421	0.110114
1	GD16	-0.219860	0.149545	0.000000	-0.259444	-0.040372	-0.096125
2	GD16	-0.230094	0.224053	0.000000	0.070407	0.021656	-0.112502
3	GD16	-0.268377	0.155344	0.000000	0.188475	0.051925	-0.218321
4	GD16	-0.211724	0.081296	0.000000	-0.020891	0.040739	-0.139673
5	GD16	-0.228420	-0.078659	0.000000	-0.170268	-0.003443	0.010084
6	GD16	-0.190399	-0.113475	0.000000	-0.003441	0.022022	-0.101665
7	GD16	-0.248441	0.069955	0.000000	-0.192918	0.017930	0.044754
8	GD16	-0.271661	0.007963	0.000000	0.032574	0.045458	-0.005964
9	GD16	-0.265021	-0.058275	0.000000	-0.163482	0.025912	0.000846
10	GD16	-0.240180	-0.128165	0.000000	0.004936	0.016388	0.008904
