rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB
1	AG111	0.620322	-0.129426	3.657731	0.036896	0.014636	0.186209
2	AG111	0.601711	-0.396901	3.657731	0.051039	0.033361	0.267241
3	AG111	0.618019	-0.480015	3.657731	-0.107215	-0.024057	0.245802
4	AG111	0.607856	-0.494327	3.657731	-0.076122	-0.094318	0.278047
5	AG111	0.597025	-0.562821	3.657731	-0.038212	0.051104	0.218414
6	AG111	0.582231	-0.203954	3.657731	0.037710	0.084713	0.313582
7	AG111	0.583861	-0.147154	3.657731	-0.051331	0.053069	0.245227
8	AG111	0.624027	-0.380608	3.657731	-0.081253	0.059671	0.230473
9	AG111	0.573516	-0.578429	3.657731	-0.056870	0.062694	0.294221
10	AG111	0.598861	-0.157477	3.657731	0.044366	0.022487	0.241367
1	AG112	0.762015	0.255572	3.657731	0.092249	-0.026107	0.228089
2	AG112	0.750645	-0.069472	3.657731	0.100173	-0.067280	0.256393
3	AG112	0.750876	-0.063080	3.657731	0.066972	-0.064166	0.254525
4	AG112	0.725065	-0.225120	3.657731	0.048328	-0.055965	0.240414
5	AG112	0.774833	0.228714	3.657731	-0.131976	0.017886	0.299178
6	AG112	0.754868	0.259116	3.657731	0.071168	-0.031638	0.232766
7	AG112	0.766787	0.256288	3.657731	0.054415	-0.059136	0.279869
8	AG112	0.734475	-0.110852	3.657731	0.098438	-0.066170	0.227667
9	AG112	0.755034	-0.184141	3.657731	-0.084521	-0.074010	0.298400
10	AG112	0.784073	0.094297	3.657731	-0.054490	0.010878	0.302175
1	AG139	0.623614	0.155163	3.657731	0.047098	0.071338	0.290847
2	AG139	0.561146	0.088993	3.657731	0.058197	0.018109	0.226433
3	AG139	0.546808	0.202435	3.657731	-0.113963	0.035149	0.214541
4	AG139	0.574385	-0.146525	3.657731	0.097655	-0.023889	0.249098
5	AG139	0.542250	-0.007907	3.657731	-0.086698	0.016740	0.241185
6	AG139	0.548981	-0.077174	3.657731	-0.153390	-0.019013	0.252095
7	AG139	0.556647	0.011971	3.657731	0.054258	-0.041963	0.186999
8	AG139	0.581618	0.088566	3.657731	0.074999	0.062339	0.237411
9	AG139	0.587588	-0.267390	3.657731	0.065895	-0.057894	0.238279
10	AG139	0.549756	0.059417	3.657731	-0.080878	0.014830	0.283390
1	AG142	0.783408	0.400704	3.657731	-0.047910	0.017960	0.269803
2	AG142	0.712788	0.149121	3.657731	-0.091932	-0.062819	0.212492
3	AG142	0.742577	0.569140	3.657731	-0.002646	0.097339	0.288113
4	AG142	0.721199	0.466819	3.657731	0.115979	0.006629	0.232407
5	AG142	0.777651	0.436923	3.657731	-0.025484	-0.005677	0.247428
6	AG142	0.798776	0.397664	3.657731	-0.114811	0.022578	0.279913
7	AG142	0.789328	0.379813	3.657731	0.030041	0.035691	0.229623
8	AG142	0.742606	0.453082	3.657731	-0.144905	-0.017152	0.277872
9	AG142	0.746165	0.364284	3.657731	-0.177880	-0.053878	0.240519
10	AG142	0.770640	0.315959	3.657731	0.122457	-0.015414	0.263646
1	GD14	0.643141	-0.271901	3.657731	0.104440	-0.112844	0.279789
2	GD14	0.586165	0.073232	3.657731	0.120859	-0.059789	0.309031
3	GD14	0.609240	-0.091563	3.657731	0.008880	-0.138564	0.256162
4	GD14	0.629010	0.001882	3.657731	-0.147407	-0.152312	0.300615
5	GD14	0.619480	-0.106574	3.657731	-0.160699	-0.169167	0.288580
6	GD14	0.574770	-0.015272	3.657731	-0.000171	-0.206306	0.276441
7	GD14	0.598664	-0.045356	3.657731	0.010617	-0.045845	0.283419
8	GD14	0.630359	-0.346258	3.657731	0.026232	-0.167064	0.242059
9	GD14	0.631449	-0.026134	3.657731	0.119453	-0.033444	0.287452
10	GD14	0.686187	0.017959	3.657731	-0.019005	-0.140477	0.260584
1	GD15	0.580690	-0.115033	3.657731	0.071493	0.029202	0.297978
2	GD15	0.583091	-0.184126	3.657731	-0.006458	-0.066631	0.255532
3	GD15	0.634531	0.000078	3.657731	-0.034146	0.054338	0.183233
4	GD15	0.602074	0.150585	3.657731	0.015435	0.157316	0.256437
5	GD15	0.633844	-0.008856	3.657731	-0.037765	-0.016378	0.194673
6	GD15	0.635099	-0.106427	3.657731	-0.090974	0.061667	0.261606
7	GD15	0.628368	0.314255	3.657731	0.004851	0.086053	0.261264
8	GD15	0.579365	0.031458	3.657731	-0.078449	-0.022360	0.264795
9	GD15	0.607098	0.001918	3.657731	-0.030009	-0.010725	0.271313
10	GD15	0.614830	-0.159730	3.657731	0.082197	0.062328	0.278265
1	GD16	0.337164	0.197688	3.657731	-0.038517	0.076134	0.212276
2	GD16	0.407629	0.142222	3.657731	-0.119629	0.088117	0.262960
3	GD16	0.410674	0.243841	3.657731	0.030106	0.132595	0.276127
4	GD16	0.355239	-0.086510	3.657731	0.038915	-0.013210	0.271869
5	GD16	0.360939	0.248010	3.657731	0.027388	0.129614	0.280673
6	GD16	0.427517	-0.065754	3.657731	0.027797	-0.041359	0.256893
7	GD16	0.381748	-0.163521	3.657731	-0.056432	0.032202	0.264779
8	GD16	0.386190	0.127001	3.657731	0.051305	0.122406	0.227438
9	GD16	0.375346	-0.068184	3.657731	-0.047694	0.042910	0.242437
10	GD16	0.378665	0.244808	3.657731	-0.006614	0.116415	0.258624
