rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.185449	-0.264615
2	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.142961	-0.376404
3	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.199865	-0.255612
4	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.487603	-0.157255
5	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.034547	-0.560449
6	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.061921	-0.570486
7	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.426344	-0.409780
8	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000798	-0.235588
9	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.243786	-0.156457
10	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.289849	-0.541061
1	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001382	0.164527
2	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.059384	0.115314
3	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.350042	0.239373
4	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.256338	0.350276
5	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.040208	0.304542
6	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.101881	-0.091888
7	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.128466	0.146118
8	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.374662	0.496726
9	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.539526	0.492947
10	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.339585	0.234386
1	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.489051	-0.232658
2	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.078253	-0.114116
3	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.094355	-0.377485
4	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.032686	-0.043812
5	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.179315	-0.311178
6	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.221475	-0.042909
7	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.273876	-0.169521
8	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.056026	-0.447260
9	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.045251	-0.069531
10	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.170315	-0.073172
1	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.504981	0.106117
2	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.101416	-0.092248
