parameter	value	se_sa	rse_sa
rhoS_pop	0.61266093572770497	0.04612483556140268	7.52860723960091072
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	3.82211812235294390	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.25954605843156375	nan	nan
omega_rhoS	0.11866021886180060	0.03348109817677721	28.21594170138138225
omega_deltaSC	0.22975566114639734	0.14494860439088206	63.08815359222973740
omega_deltaCB	0.08637680376306367	0.03438780911100964	39.81139335201299190
b1	0.16434498683719148	0.02160843364209052	13.14821587073838316
b2	0.17765205388222458	0.02319134906041721	13.05436585371089997
b3	0.28284507747111082	0.05102397544957814	18.03954868360387565
