rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.606379	-0.181551	3.491206	0.000000	-0.009927	0.267342	23585.524325	24773.250399
2	AG111	0.665885	-0.395624	3.491206	0.000000	-0.000083	0.267342	22981.419088	24015.903409
3	AG111	0.621102	-0.569577	3.491206	0.000000	0.090103	0.267342	22824.522251	25588.396129
4	AG111	0.629625	-0.630993	3.491206	0.000000	0.101488	0.267342	23107.230757	25210.250095
5	AG111	0.641875	-0.219196	3.491206	0.000000	0.057210	0.267342	23535.562990	24986.386761
6	AG111	0.584922	-0.153601	3.491206	0.000000	0.069940	0.267342	23597.930297	24382.369247
7	AG111	0.654635	-0.419621	3.491206	0.000000	0.066759	0.267342	23379.580421	23743.229015
8	AG111	0.646334	-0.224383	3.491206	0.000000	0.123124	0.267342	23447.002942	24216.192116
9	AG111	0.569160	-0.308507	3.491206	0.000000	0.045394	0.267342	23760.175441	25830.491149
10	AG111	0.611950	-0.357597	3.491206	0.000000	0.114588	0.267342	23237.651314	24436.634695
1	AG112	0.756225	0.101401	3.491206	0.000000	0.012134	0.267342	24047.611185	25274.312273
2	AG112	0.768797	0.183381	3.491206	0.000000	0.027072	0.267342	23373.980227	25976.906026
3	AG112	0.747360	-0.035088	3.491206	0.000000	-0.053204	0.267342	24965.505619	24698.311786
4	AG112	0.748208	0.312358	3.491206	0.000000	-0.081717	0.267342	24321.854061	25542.666633
5	AG112	0.768510	0.067716	3.491206	0.000000	-0.100840	0.267342	24168.665738	25374.565959
6	AG112	0.779532	0.265532	3.491206	0.000000	-0.000144	0.267342	23164.341920	24321.043520
7	AG112	0.768884	0.164770	3.491206	0.000000	-0.074431	0.267342	24204.179928	25483.218775
8	AG112	0.785803	-0.159789	3.491206	0.000000	-0.116957	0.267342	23193.339257	25044.301591
9	AG112	0.783077	0.118243	3.491206	0.000000	-0.009952	0.267342	23939.744666	23085.024058
10	AG112	0.727998	0.485054	3.491206	0.000000	-0.035955	0.267342	23389.515655	23856.196183
1	AG139	0.575760	-0.062922	3.491206	0.000000	0.067359	0.267342	23630.965267	24344.207759
2	AG139	0.596575	0.249359	3.491206	0.000000	0.086357	0.267342	23112.489905	24663.763976
3	AG139	0.592384	-0.170284	3.491206	0.000000	-0.073747	0.267342	23775.007872	24486.051120
4	AG139	0.614185	-0.140912	3.491206	0.000000	0.074256	0.267342	23030.097312	25153.219036
5	AG139	0.573959	-0.237502	3.491206	0.000000	-0.072429	0.267342	23933.383929	24344.606604
6	AG139	0.550079	-0.114845	3.491206	0.000000	0.019899	0.267342	24554.474296	24360.274721
7	AG139	0.635983	0.000081	3.491206	0.000000	0.023760	0.267342	23063.168457	24780.661684
8	AG139	0.609047	-0.113655	3.491206	0.000000	0.164300	0.267342	23593.982044	25867.805529
9	AG139	0.605920	-0.029972	3.491206	0.000000	0.068271	0.267342	23391.597078	25005.292678
10	AG139	0.584239	-0.067703	3.491206	0.000000	0.087947	0.267342	23530.474167	24279.237513
1	AG142	0.766801	0.306152	3.491206	0.000000	0.015410	0.267342	22735.161395	24101.062786
2	AG142	0.811910	0.278717	3.491206	0.000000	0.108258	0.267342	23857.577166	23926.190105
3	AG142	0.739727	0.296101	3.491206	0.000000	0.025520	0.267342	22944.248477	24131.315425
4	AG142	0.775675	0.731235	3.491206	0.000000	0.046786	0.267342	23512.726864	24076.942815
5	AG142	0.776789	0.211322	3.491206	0.000000	0.003933	0.267342	22951.843184	24906.763181
