parameter	value	se_sa	rse_sa
rhoS_pop	0.61346998160305555	0.04607132012164575	7.50995509205796807
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	3.79556434069088500	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.24494650791616870	nan	nan
omega_rhoS	0.11849047741890084	0.03327406406186704	28.08163557669940857
omega_deltaSC	0.25413837046049492	0.13099265440854024	51.54383187835173885
omega_deltaCB	0.08494724761255851	0.03371843093201836	39.69337663040828090
b1	0.16410946760385825	0.02171707354811635	13.23328499275795700
b2	0.17769743929440257	0.02315548342326547	13.03084811757040740
b3	0.27566318921462118	0.04739089726926719	17.19159435261789071
