rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	0.051325	-0.468796	-0.206910	0.010973	-0.009117
2	AG111	-0.012090	-0.105186	0.061307	0.039127	-0.079138
3	AG111	-0.036250	-0.396156	0.012354	0.014309	-0.004878
4	AG111	-0.006322	-0.250021	0.007945	-0.003245	-0.087152
5	AG111	-0.017998	-0.468240	-0.102705	0.023201	-0.009418
6	AG111	-0.035678	-0.492839	0.005571	0.003892	0.057483
7	AG111	-0.053854	-0.049495	0.118301	-0.007464	-0.019927
8	AG111	-0.044146	-0.081934	-0.029954	-0.038164	-0.052422
9	AG111	-0.000092	-0.406595	-0.070869	0.009521	0.000990
10	AG111	0.010806	-0.655535	0.097307	0.017110	-0.001463
1	AG112	0.137762	-0.078005	-0.115597	-0.042379	-0.020112
2	AG112	0.149117	-0.030430	0.003062	0.021879	0.159965
3	AG112	0.123911	-0.081517	0.162461	-0.003617	0.065774
4	AG112	0.146005	0.347740	-0.047187	-0.012212	0.031930
5	AG112	0.189466	0.436199	-0.113186	0.036868	0.005655
6	AG112	0.144005	0.203255	0.139619	-0.004665	0.018739
7	AG112	0.107600	-0.006010	0.086128	0.025680	0.155400
8	AG112	0.148254	0.231648	0.140393	-0.025684	-0.091420
9	AG112	0.087837	0.046810	-0.124165	-0.017195	0.065051
10	AG112	0.135879	-0.052628	0.145230	0.027135	0.092556
1	AG139	-0.070145	0.004701	0.023529	0.045393	-0.016871
2	AG139	-0.038532	-0.155747	0.116293	0.003583	0.105573
3	AG139	-0.051579	0.183426	-0.017650	0.009991	0.083636
4	AG139	-0.061248	-0.024741	-0.016861	-0.041487	0.001661
5	AG139	-0.077121	0.182392	-0.098025	0.050611	0.061174
6	AG139	0.001064	0.204881	0.066902	-0.001669	-0.123812
7	AG139	0.001684	-0.311879	-0.014698	-0.006362	0.048146
8	AG139	-0.049525	0.165771	-0.004748	-0.018231	-0.193245
9	AG139	-0.065974	-0.143148	-0.076808	-0.041431	0.101209
10	AG139	-0.088260	0.079479	0.002061	-0.028570	-0.090599
1	AG142	0.151208	0.289571	0.005072	0.003087	0.012946
2	AG142	0.138718	0.223102	-0.111717	-0.001789	0.011561
3	AG142	0.154946	0.473462	-0.044401	0.033236	0.002252
4	AG142	0.133391	0.242238	0.062261	0.028670	0.069119
5	AG142	0.190628	0.328205	-0.006243	0.085637	0.008688
6	AG142	0.128940	0.229668	-0.008122	-0.037000	-0.072313
7	AG142	0.123384	0.447402	0.153753	-0.031162	-0.099020
8	AG142	0.127683	0.408457	0.116189	0.012941	-0.075697
9	AG142	0.177162	0.468419	-0.176504	-0.009637	-0.122187
10	AG142	0.136280	0.455632	-0.077951	0.050495	-0.057152
1	GD14	-0.017772	0.060507	0.054133	-0.030162	0.150418
2	GD14	-0.026516	-0.182984	-0.028587	0.021265	0.236080
3	GD14	0.029951	0.199734	0.104662	-0.057379	-0.009132
4	GD14	0.008362	0.115398	0.021662	0.046844	0.179934
5	GD14	-0.033864	0.143732	0.208913	0.009907	0.094886
6	GD14	-0.010172	0.120111	0.125175	-0.001316	0.072766
7	GD14	0.059031	0.125522	-0.004767	-0.012066	0.164283
8	GD14	0.013138	-0.474466	0.078260	-0.010089	0.290334
9	GD14	0.058945	0.008776	0.016617	-0.003374	0.147159
10	GD14	0.033296	-0.168202	0.097626	0.008681	0.219381
1	GD15	-0.014427	-0.066357	-0.016906	-0.028797	-0.024297
2	GD15	0.014367	0.080627	-0.209377	0.000853	-0.126805
3	GD15	0.024340	-0.050440	-0.117832	0.046377	0.031304
4	GD15	-0.011496	-0.117268	-0.116369	0.047107	0.125241
5	GD15	-0.005859	-0.259613	-0.023332	-0.049839	-0.157998
6	GD15	-0.045103	-0.111261	0.032625	-0.028215	-0.017063
7	GD15	0.027345	0.055913	0.042058	-0.052673	-0.211087
8	GD15	-0.014687	-0.173177	0.058445	-0.009983	-0.040165
9	GD15	0.025155	-0.062342	-0.033737	-0.033451	-0.111111
10	GD15	-0.016660	-0.177332	-0.030814	-0.002989	0.103065
1	GD16	-0.181455	-0.122304	-0.066050	0.006456	-0.004734
2	GD16	-0.190365	0.170165	-0.301881	0.008554	-0.038947
3	GD16	-0.260282	-0.086728	0.042244	-0.024581	-0.183980
4	GD16	-0.232775	-0.144155	0.016323	0.018545	-0.126209
5	GD16	-0.234519	0.204175	-0.015176	-0.006916	-0.090402
6	GD16	-0.215393	-0.050666	-0.129020	-0.039862	-0.145438
7	GD16	-0.255598	0.048876	-0.041483	0.000502	-0.037535
8	GD16	-0.224132	0.083255	-0.188641	-0.017365	-0.127991
9	GD16	-0.217754	-0.010326	-0.131315	-0.028500	-0.063114
10	GD16	-0.230759	-0.318160	0.090407	-0.050725	-0.054069
