rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.043836	-0.172328	-0.055597	-0.013089	-0.055731
2	AG111	-0.004295	-0.190537	0.211314	0.007358	-0.113613
3	AG111	0.009742	-0.174304	-0.076559	0.032213	-0.117805
4	AG111	0.016616	-0.328284	0.017382	0.000441	-0.100866
5	AG111	-0.024560	-0.061818	-0.021314	0.006461	-0.069132
6	AG111	0.001451	-0.093675	0.217070	0.031358	-0.279651
7	AG111	0.047980	-0.251530	-0.079418	-0.006648	-0.133783
8	AG111	0.015429	-0.240975	0.029268	0.010365	-0.042971
9	AG111	-0.029241	-0.101010	-0.081288	0.015983	-0.128616
10	AG111	-0.037356	-0.205938	-0.135184	0.000353	-0.116978
1	AG112	0.108326	0.026788	0.167848	-0.033701	-0.135669
2	AG112	0.126540	0.381345	-0.150338	0.017144	0.003615
3	AG112	0.134546	-0.253068	0.187615	-0.000291	0.237808
4	AG112	0.095659	0.154167	0.147462	0.002432	0.079894
5	AG112	0.119288	0.253198	0.048283	0.014869	0.058105
6	AG112	0.133376	-0.162211	-0.022926	0.010282	0.170063
7	AG112	0.116238	0.145051	0.220282	-0.003974	0.090773
8	AG112	0.157109	-0.238450	-0.034977	-0.040035	0.085390
9	AG112	0.124122	-0.080997	-0.036962	-0.024231	0.174360
10	AG112	0.082227	0.111883	0.070294	-0.043753	0.022062
1	AG139	-0.010888	-0.025521	-0.213132	0.013143	0.042394
2	AG139	-0.042002	0.069619	0.080537	-0.013217	-0.041935
3	AG139	-0.013685	-0.050844	-0.298759	0.016355	-0.086960
4	AG139	-0.019040	0.289499	0.055731	0.022446	-0.003250
5	AG139	-0.046949	0.114334	-0.210633	0.020979	0.140204
6	AG139	-0.047977	0.179369	-0.042282	0.013706	-0.158383
7	AG139	-0.052272	0.045546	-0.044823	-0.039519	0.084580
8	AG139	-0.059214	-0.067514	-0.132060	-0.002074	0.033251
9	AG139	-0.045874	-0.011836	0.118929	0.003137	-0.029474
10	AG139	-0.052354	-0.019810	0.230495	0.011328	-0.063900
1	AG142	0.145596	0.122007	-0.192396	-0.012373	-0.069602
2	AG142	0.134432	0.343092	0.134100	0.008101	-0.078149
3	AG142	0.118314	0.310048	0.136425	-0.015619	-0.088789
4	AG142	0.124312	0.151401	0.129177	0.002620	-0.021762
5	AG142	0.139951	0.353227	-0.229134	0.012005	-0.064873
6	AG142	0.140936	0.415106	-0.078401	-0.032901	-0.176321
7	AG142	0.146020	0.257027	-0.177755	-0.016683	-0.027858
8	AG142	0.132539	0.149901	0.081897	0.007225	0.072203
9	AG142	0.185264	0.025747	0.058439	-0.012077	-0.201237
10	AG142	0.120331	0.381135	-0.101320	0.006527	0.013350
1	GD14	0.023978	-0.001208	0.094734	-0.034642	0.113020
2	GD14	-0.022063	0.117417	-0.063558	-0.002172	0.285898
3	GD14	-0.021685	0.181634	0.179216	0.023995	0.084323
4	GD14	0.038048	0.102099	0.074635	-0.015647	0.061288
5	GD14	0.015391	-0.083481	0.041144	-0.025947	0.217911
6	GD14	0.023204	-0.100490	-0.122682	-0.024363	0.169948
7	GD14	0.019598	0.092532	-0.102299	0.037798	0.191131
8	GD14	0.008800	0.206306	-0.075670	0.000076	0.269734
9	GD14	0.035349	-0.171011	0.039376	-0.009483	0.152182
10	GD14	0.062529	-0.134041	-0.071311	-0.046325	0.265272
1	GD15	-0.039420	0.096160	0.222319	0.025974	-0.153268
2	GD15	-0.029406	0.188086	-0.069760	0.028675	-0.011736
3	GD15	-0.024667	0.103356	-0.159589	-0.005230	-0.036305
4	GD15	-0.034597	0.006019	0.111687	-0.001638	-0.102197
5	GD15	-0.036541	-0.194658	0.116861	-0.000373	0.134287
6	GD15	-0.037952	-0.126345	-0.132309	-0.001723	-0.000188
7	GD15	-0.024509	-0.200807	-0.039093	-0.021378	0.048712
8	GD15	-0.040764	-0.192380	0.175726	0.008931	-0.006592
9	GD15	-0.015505	0.004381	0.229162	0.005051	-0.099964
10	GD15	0.008016	-0.247182	-0.018953	0.017859	0.026584
1	GD16	-0.224386	-0.219375	0.010023	-0.016888	-0.031720
2	GD16	-0.251395	0.126550	-0.084606	0.011021	-0.091047
3	GD16	-0.231211	-0.068402	0.116323	0.002678	-0.091701
4	GD16	-0.180670	0.046959	-0.032784	0.031901	-0.060900
5	GD16	-0.291031	-0.301409	0.159660	0.025176	0.080011
6	GD16	-0.272770	-0.103963	0.144002	-0.010240	-0.002734
7	GD16	-0.222548	-0.052638	-0.124512	-0.006761	-0.038311
8	GD16	-0.228855	-0.115721	0.035944	0.001876	0.049771
9	GD16	-0.225474	0.036721	0.063157	-0.018685	-0.018401
10	GD16	-0.226152	-0.099002	-0.347120	0.032194	0.050918
