rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.005013	-0.248232	0.000000	0.000000	-0.162433	0.000000	-0.007295	-0.017560
2	AG111	0.039837	-0.280484	0.000000	0.000000	-0.014776	0.000000	-0.001756	-0.008484
3	AG111	-0.020845	-0.202624	0.000000	0.000000	-0.058112	0.000000	0.033783	0.037453
4	AG111	-0.001851	-0.523862	0.000000	0.000000	-0.125942	0.000000	-0.016246	0.016945
5	AG111	0.004509	-0.214648	0.000000	0.000000	-0.158565	0.000000	-0.015481	-0.033205
6	AG111	-0.013680	-0.446929	0.000000	0.000000	-0.171068	0.000000	0.020429	-0.014226
7	AG111	0.002634	-0.221551	0.000000	0.000000	-0.136310	0.000000	-0.002623	0.001766
8	AG111	-0.024658	-0.574877	0.000000	0.000000	-0.179331	0.000000	-0.015310	0.026546
9	AG111	-0.056586	-0.644762	0.000000	0.000000	-0.148987	0.000000	-0.006263	-0.028826
10	AG111	-0.001010	-0.438359	0.000000	0.000000	-0.189288	0.000000	-0.003110	0.004428
1	AG112	0.140762	0.339010	0.000000	0.000000	-0.238396	0.000000	0.016102	-0.035241
2	AG112	0.130560	0.229357	0.000000	0.000000	-0.188513	0.000000	-0.032430	0.040641
3	AG112	0.148975	0.200188	0.000000	0.000000	-0.280678	0.000000	-0.015127	-0.064768
4	AG112	0.143084	0.280808	0.000000	0.000000	-0.300047	0.000000	-0.018367	-0.056897
5	AG112	0.146088	0.472481	0.000000	0.000000	-0.164043	0.000000	0.007187	-0.010579
6	AG112	0.109348	0.346424	0.000000	0.000000	-0.242585	0.000000	-0.010136	0.027387
7	AG112	0.129150	-0.035096	0.000000	0.000000	-0.267022	0.000000	0.025666	0.039054
8	AG112	0.114204	-0.027098	0.000000	0.000000	-0.288696	0.000000	0.005725	-0.048073
9	AG112	0.171762	0.224348	0.000000	0.000000	-0.190946	0.000000	-0.016414	0.038025
10	AG112	0.164645	0.002976	0.000000	0.000000	-0.205153	0.000000	0.003166	0.047174
1	AG139	-0.013976	0.260053	0.000000	0.000000	-0.165263	0.000000	-0.013524	-0.028719
2	AG139	0.008167	0.610839	0.000000	0.000000	-0.126091	0.000000	-0.027822	-0.008053
3	AG139	-0.010774	0.251340	0.000000	0.000000	-0.131770	0.000000	0.002443	0.022427
4	AG139	-0.018671	0.346367	0.000000	0.000000	-0.111412	0.000000	0.006035	-0.000313
5	AG139	-0.011422	0.035080	0.000000	0.000000	-0.167208	0.000000	-0.018011	0.034243
6	AG139	-0.063768	0.205226	0.000000	0.000000	-0.097665	0.000000	-0.012828	0.010700
7	AG139	-0.048364	0.237212	0.000000	0.000000	-0.139948	0.000000	-0.001805	0.039849
8	AG139	-0.040721	0.268524	0.000000	0.000000	-0.120537	0.000000	-0.033047	-0.009935
9	AG139	-0.081077	0.418174	0.000000	0.000000	-0.169178	0.000000	-0.012872	0.006805
10	AG139	-0.014527	0.347572	0.000000	0.000000	-0.148259	0.000000	-0.013784	-0.036306
1	AG142	0.143371	0.584465	0.000000	0.000000	-0.134768	0.000000	0.019281	0.043188
2	AG142	0.155602	0.456362	0.000000	0.000000	-0.155148	0.000000	-0.004726	0.079681
3	AG142	0.088531	0.548450	0.000000	0.000000	-0.167879	0.000000	-0.006762	0.018553
4	AG142	0.129527	0.377375	0.000000	0.000000	-0.190570	0.000000	0.034341	0.016023
5	AG142	0.131153	0.343793	0.000000	0.000000	-0.117549	0.000000	-0.032105	0.056116
6	AG142	0.132545	0.415928	0.000000	0.000000	-0.159127	0.000000	-0.001177	0.020054
7	AG142	0.143117	0.652226	0.000000	0.000000	-0.143921	0.000000	-0.015213	-0.016484
8	AG142	0.127922	0.431086	0.000000	0.000000	-0.156697	0.000000	-0.003669	0.035679
9	AG142	0.136567	0.688904	0.000000	0.000000	-0.221829	0.000000	-0.006522	-0.069311
10	AG142	0.198141	0.566083	0.000000	0.000000	-0.139114	0.000000	-0.018656	0.016208
1	GD14	0.022713	0.127599	0.000000	0.000000	-0.291176	0.000000	-0.000077	-0.025063
2	GD14	-0.024274	0.065657	0.000000	0.000000	-0.324325	0.000000	0.011687	0.013100
3	GD14	0.006840	0.058726	0.000000	0.000000	-0.327483	0.000000	0.020345	0.003425
4	GD14	0.003710	0.172603	0.000000	0.000000	-0.295949	0.000000	0.001892	0.001642
5	GD14	-0.031584	0.008628	0.000000	0.000000	-0.318630	0.000000	-0.013420	0.021995
6	GD14	-0.003299	-0.013165	0.000000	0.000000	-0.373146	0.000000	0.009625	-0.011378
7	GD14	0.040924	-0.079197	0.000000	0.000000	-0.369684	0.000000	-0.001922	-0.008723
8	GD14	0.002980	-0.015539	0.000000	0.000000	-0.301665	0.000000	0.001808	-0.009970
9	GD14	-0.016379	-0.138698	0.000000	0.000000	-0.348613	0.000000	0.016034	-0.011355
10	GD14	0.031835	-0.230653	0.000000	0.000000	-0.304344	0.000000	0.022081	0.062261
1	GD15	-0.016793	0.345321	0.000000	0.000000	-0.144511	0.000000	-0.032465	-0.031952
2	GD15	-0.046621	0.102450	0.000000	0.000000	-0.180615	0.000000	-0.033772	-0.017970
3	GD15	-0.034306	0.464729	0.000000	0.000000	-0.101147	0.000000	-0.028550	0.021352
