parameter	value	se_sa	rse_sa
rhoS_pop	0.61280278675165434	0.04595801367404149	7.49964175549131795
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	4.26481171882844201	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.25212083868611818	nan	nan
omega_rhoS	0.11819668896381719	0.03314669474936955	28.04367452248729364
omega_deltaSC	0.24545164076918871	0.15133409309781110	61.65536014490064787
omega_rhoC	0.08929132302662104	0.20958158211796266	234.71662756691222285
omega_deltaCB	0.07808843502921291	0.03861761947370270	49.45369882141425677
b1	0.16416344495436219	0.02170905263661043	13.22404792531345841
b2	0.17752163993072292	0.02298269665593070	12.94641975192410399
b3	0.27913588625959279	0.04896455540590936	17.54147632611199015
