rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.598704	0.251159	3.356832	4.100185	0.373061
2	AG111	0.559786	0.234315	3.336698	3.822685	0.224575
3	AG111	0.666824	0.249481	3.444342	4.137169	0.189963
4	AG111	0.644195	0.255971	3.331927	3.772329	0.247691
5	AG111	0.649985	0.232389	3.415351	3.930149	0.119357
6	AG111	0.590784	0.279904	3.354951	3.891366	0.280756
7	AG111	0.600792	0.323737	3.265237	3.890994	0.165145
8	AG111	0.558027	0.338642	3.328896	3.765561	0.159461
9	AG111	0.559265	0.394167	3.352007	4.194068	0.220450
10	AG111	0.582243	0.234383	3.389854	3.764222	0.191061
1	AG112	0.753250	0.478453	3.369107	3.646497	0.207783
2	AG112	0.716823	0.297810	3.348983	3.615604	0.289602
3	AG112	0.762615	0.306946	3.402717	4.034031	0.391988
4	AG112	0.797080	0.377628	3.325053	3.867277	0.293138
5	AG112	0.727316	0.468587	3.426638	3.664030	0.337240
6	AG112	0.777997	0.337288	3.495559	3.754124	0.261769
7	AG112	0.728560	0.280975	3.475564	3.917820	0.456417
8	AG112	0.734153	0.290858	3.344705	3.605479	0.304124
9	AG112	0.748137	0.342360	3.421765	3.782643	0.227175
10	AG112	0.758074	0.419260	3.445298	3.775365	0.236866
1	AG139	0.488700	0.451886	3.441632	4.189620	0.254760
2	AG139	0.579430	0.447082	3.490197	4.084321	0.157198
3	AG139	0.551422	0.452427	3.254716	3.831186	0.196684
4	AG139	0.605494	0.415432	3.368415	3.977557	0.284313
5	AG139	0.570943	0.442029	3.269502	3.993080	0.156349
6	AG139	0.575897	0.355674	3.412849	3.677275	0.204333
7	AG139	0.599232	0.320537	3.401712	4.169994	0.234768
8	AG139	0.661846	0.340860	3.277201	3.952805	0.165860
9	AG139	0.540020	0.562069	3.522434	4.247007	0.238035
10	AG139	0.572107	0.336847	3.241799	3.708137	0.313373
1	AG142	0.730014	0.652959	3.492097	4.001204	0.267386
2	AG142	0.742242	0.450980	3.299159	3.878901	0.316337
3	AG142	0.753411	0.546351	3.422412	3.864142	0.364633
4	AG142	0.718406	0.546268	3.379191	4.058952	0.297485
5	AG142	0.727554	0.522652	3.204117	4.189414	0.420956
6	AG142	0.720679	0.535748	3.459497	4.063345	0.218334
7	AG142	0.759038	0.604883	3.356675	4.308798	0.317768
8	AG142	0.770917	0.458176	3.275460	3.801739	0.324876
9	AG142	0.740307	0.604027	3.474379	3.916999	0.216431
10	AG142	0.792139	0.697527	3.434107	4.248133	0.296848
1	GD14	0.591105	0.339852	3.562943	3.645549	0.359353
2	GD14	0.650077	0.490294	3.327529	3.687755	0.371812
3	GD14	0.600447	0.390137	3.237490	3.750104	0.473202
4	GD14	0.608557	0.552358	3.372518	3.545008	0.250331
5	GD14	0.632999	0.389137	3.404856	3.499458	0.221118
6	GD14	0.587080	0.438981	3.412262	3.710364	0.330067
7	GD14	0.656362	0.322835	3.251489	3.563763	0.530408
8	GD14	0.650059	0.534429	3.279241	3.691507	0.371180
9	GD14	0.655658	0.290782	3.469824	3.725916	0.426695
10	GD14	0.599676	0.363242	3.485504	3.649900	0.377022
1	GD15	0.624883	0.427240	3.329820	4.092310	0.248311
2	GD15	0.579048	0.309430	3.388396	4.047532	0.278479
3	GD15	0.588365	0.297108	3.426014	4.165854	0.423392
4	GD15	0.641842	0.538478	3.262557	4.315992	0.278359
5	GD15	0.620454	0.364749	3.310275	4.083583	0.222771
6	GD15	0.603869	0.273605	3.406217	3.921199	0.244627
7	GD15	0.600169	0.400925	3.378023	4.121570	0.226112
8	GD15	0.560935	0.325490	3.485835	3.978165	0.260586
9	GD15	0.575420	0.365070	3.405434	3.838852	0.157654
10	GD15	0.608796	0.284646	3.341219	3.924603	0.130235
1	GD16	0.321287	0.467609	3.359795	3.993818	0.267932
2	GD16	0.359903	0.351896	3.348741	3.814375	0.237847
3	GD16	0.376674	0.523180	3.321355	3.874439	0.090055
4	GD16	0.371793	0.340385	3.416221	4.124635	0.310569
5	GD16	0.324560	0.348241	3.394336	4.019703	0.276981
6	GD16	0.415613	0.406413	3.318760	4.229297	0.214362
7	GD16	0.414568	0.348204	3.286165	3.793560	0.119579
8	GD16	0.395846	0.432121	3.327394	4.052415	0.206032
9	GD16	0.361086	0.296224	3.425310	3.954008	0.277856
10	GD16	0.429417	0.383451	3.431709	3.819118	0.007308
