rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.014741	-0.446476	-0.025640	0.054020	0.123717
2	AG111	-0.053660	-0.515899	-0.045775	-0.016059	-0.024769
3	AG111	0.053378	-0.453181	0.061870	0.062999	-0.059381
4	AG111	0.030749	-0.427501	-0.050545	-0.029320	-0.001653
5	AG111	0.036539	-0.524151	0.032879	0.011665	-0.129987
6	AG111	-0.022661	-0.338119	-0.027522	0.001748	0.031412
7	AG111	-0.012654	-0.192632	-0.117236	0.001652	-0.084199
8	AG111	-0.055419	-0.147620	-0.053577	-0.031116	-0.089883
9	AG111	-0.054181	0.004210	-0.030465	0.076659	-0.028894
10	AG111	-0.031203	-0.515605	0.007381	-0.031471	-0.058282
1	AG112	0.139805	0.197994	-0.013365	-0.063245	-0.041560
2	AG112	0.103377	-0.276108	-0.033490	-0.071754	0.040258
3	AG112	0.149169	-0.245892	0.020245	0.037754	0.142644
4	AG112	0.183634	-0.038654	-0.057420	-0.004462	0.043795
5	AG112	0.113870	0.177158	0.044165	-0.058449	0.087896
6	AG112	0.164551	-0.151626	0.113086	-0.034157	0.012425
7	AG112	0.115114	-0.334299	0.093092	0.008523	0.207073
8	AG112	0.120707	-0.299728	-0.037767	-0.074558	0.054780
9	AG112	0.134691	-0.136702	0.039292	-0.026589	-0.022169
10	AG112	0.144628	0.065929	0.062826	-0.028515	-0.012478
1	AG139	-0.124745	0.140866	0.059160	0.075598	0.005416
2	AG139	-0.034015	0.130178	0.107724	0.050143	-0.092146
3	AG139	-0.062024	0.142062	-0.127757	-0.013838	-0.052660
4	AG139	-0.007952	0.056755	-0.014057	0.023655	0.034969
5	AG139	-0.042503	0.118812	-0.112971	0.027551	-0.092995
6	AG139	-0.037549	-0.098550	0.030376	-0.054840	-0.045011
7	AG139	-0.014214	-0.202566	0.019240	0.070902	-0.014575
8	AG139	0.048400	-0.141091	-0.105271	0.017413	-0.083484
9	AG139	-0.073426	0.359062	0.139962	0.089202	-0.011309
10	AG139	-0.041339	-0.152936	-0.140674	-0.046483	0.064029
1	AG142	0.116568	0.508951	0.109625	0.029583	0.018043
2	AG142	0.128797	0.138859	-0.083314	-0.001461	0.066993
3	AG142	0.139965	0.330698	0.039940	-0.005273	0.115289
4	AG142	0.104960	0.330545	-0.003282	0.043912	0.048142
5	AG142	0.114109	0.286353	-0.178355	0.075548	0.171612
6	AG142	0.107234	0.311100	0.077025	0.044994	-0.031010
7	AG142	0.145592	0.432471	-0.025798	0.103646	0.068424
8	AG142	0.157471	0.154690	-0.107012	-0.021554	0.075532
9	AG142	0.126861	0.431055	0.091907	0.008313	-0.032913
10	AG142	0.178693	0.574978	0.051635	0.089467	0.047504
1	GD14	-0.022341	-0.144054	0.180471	-0.063505	0.110009
2	GD14	0.036632	0.222442	-0.054944	-0.051995	0.122468
3	GD14	-0.012999	-0.006065	-0.144982	-0.035229	0.223858
4	GD14	-0.004888	0.341633	-0.009955	-0.091472	0.000987
5	GD14	0.019554	-0.008633	0.022384	-0.104404	-0.028226
6	GD14	-0.026366	0.111893	0.029789	-0.045882	0.080723
7	GD14	0.042916	-0.195424	-0.130984	-0.086195	0.281064
8	GD14	0.036614	0.308635	-0.103232	-0.050978	0.121836
9	GD14	0.042212	-0.299989	0.087352	-0.041700	0.177352
10	GD14	-0.013770	-0.077493	0.103032	-0.062313	0.127678
1	GD15	0.011437	0.084782	-0.052653	0.052097	-0.001033
2	GD15	-0.034398	-0.237831	0.005923	0.041095	0.029135
3	GD15	-0.025080	-0.278469	0.043542	0.069909	0.174048
4	GD15	0.028396	0.316182	-0.119915	0.105315	0.029015
5	GD15	0.007008	-0.073355	-0.072197	0.049962	-0.026573
6	GD15	-0.009576	-0.360877	0.023745	0.009385	-0.004716
7	GD15	-0.013277	0.021211	-0.004449	0.059222	-0.023232
8	GD15	-0.052510	-0.187233	0.103362	0.023808	0.011242
9	GD15	-0.038026	-0.072475	0.022961	-0.011839	-0.091690
10	GD15	-0.004649	-0.321317	-0.041254	0.010253	-0.119109
1	GD16	-0.292159	0.175068	-0.022677	0.027735	0.018588
2	GD16	-0.253543	-0.109228	-0.033732	-0.018236	-0.011497
3	GD16	-0.236772	0.287363	-0.061117	-0.002612	-0.159288
4	GD16	-0.241653	-0.142487	0.033748	0.059965	0.061225
5	GD16	-0.288886	-0.119668	0.011863	0.034196	0.027637
6	GD16	-0.197833	0.034807	-0.063713	0.085023	-0.034982
7	GD16	-0.198878	-0.119776	-0.096308	-0.023707	-0.129765
8	GD16	-0.217599	0.096141	-0.055079	0.042300	-0.043312
9	GD16	-0.252360	-0.281448	0.042837	0.017717	0.028512
10	GD16	-0.184029	-0.023352	0.049236	-0.016993	-0.242036
