rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.611043	0.270484	3.501451	4.209117	0.199352
2	AG111	0.592550	0.314657	3.622147	4.139798	0.133736
3	AG111	0.596467	0.252565	3.645714	4.349847	0.206339
4	AG111	0.623137	0.355852	3.535805	4.425415	0.200503
5	AG111	0.581522	0.258735	3.606152	4.406040	0.180319
6	AG111	0.551301	0.493560	3.709313	4.380867	0.237289
7	AG111	0.572961	0.289264	3.619591	4.321885	0.214800
8	AG111	0.584846	0.336310	3.621961	4.487575	0.234399
9	AG111	0.575027	0.232903	3.556242	4.298850	0.219739
10	AG111	0.608541	0.326265	3.665577	4.469347	0.255896
1	AG112	0.768792	0.336852	3.683923	4.067488	0.194086
2	AG112	0.774683	0.326409	3.579049	3.896082	0.145363
3	AG112	0.736792	0.403597	3.712614	4.174580	0.300830
4	AG112	0.722820	0.289754	3.627556	3.793280	0.217974
5	AG112	0.834452	0.302388	3.620968	4.231420	0.259695
6	AG112	0.717640	0.290512	3.761691	3.872807	0.245501
7	AG112	0.698111	0.458498	3.527272	3.604533	0.239530
8	AG112	0.745483	0.342972	3.736645	3.929767	0.141735
9	AG112	0.718828	0.314333	3.669066	3.905985	0.255778
10	AG112	0.819992	0.560303	3.636614	4.033102	0.161558
1	AG139	0.621910	0.391120	3.659764	4.567042	0.209533
2	AG139	0.560574	0.424851	3.717631	4.370319	0.250261
3	AG139	0.571920	0.402091	3.703776	4.719359	0.255326
4	AG139	0.596576	0.333087	3.712726	4.557536	0.246050
5	AG139	0.583658	0.436697	3.614900	4.001377	0.196383
6	AG139	0.551910	0.368367	3.596543	3.918842	0.191633
7	AG139	0.622717	0.377083	3.544791	4.156296	0.202514
8	AG139	0.554902	0.365851	3.690956	4.341632	0.181291
9	AG139	0.585970	0.436752	3.506978	4.033491	0.183131
10	AG139	0.557982	0.495348	3.682165	4.491376	0.236268
1	AG142	0.771354	0.419931	3.597735	4.035764	0.212405
2	AG142	0.723206	0.481484	3.833313	4.667168	0.253645
3	AG142	0.732061	0.527715	3.642388	4.210325	0.232275
4	AG142	0.729769	0.505084	3.613856	4.095643	0.249179
5	AG142	0.801002	0.473022	3.639407	4.064353	0.211545
6	AG142	0.824258	0.521424	3.754737	4.458964	0.218243
7	AG142	0.762626	0.474508	3.675582	4.401066	0.234953
8	AG142	0.684952	0.420313	3.681532	3.997858	0.278915
9	AG142	0.721204	0.525229	3.572389	3.845286	0.170982
10	AG142	0.752193	0.717092	3.645436	4.271752	0.204521
1	GD14	0.680236	0.431055	3.755546	4.222849	0.209972
2	GD14	0.645440	0.336763	3.615376	3.544046	0.248735
3	GD14	0.624799	0.369281	3.770720	3.727953	0.223460
4	GD14	0.620479	0.594936	3.590575	3.773464	0.221551
5	GD14	0.671131	0.329557	3.742537	3.845248	0.267119
6	GD14	0.650760	0.284520	3.733162	3.895024	0.301057
7	GD14	0.601211	0.299969	3.791515	3.734853	0.332158
8	GD14	0.606158	0.324332	3.748079	3.823750	0.228519
9	GD14	0.613661	0.427460	3.627616	3.709219	0.211026
10	GD14	0.634471	0.329734	3.700764	3.905846	0.267412
1	GD15	0.637016	0.250770	3.544741	4.089637	0.271464
2	GD15	0.614934	0.294759	3.712417	4.347298	0.212557
3	GD15	0.644356	0.394604	3.429788	4.956545	0.269540
4	GD15	0.633784	0.521186	3.616191	4.616121	0.182787
5	GD15	0.613835	0.357118	3.674720	4.294428	0.210648
6	GD15	0.636059	0.315367	3.573378	4.508556	0.251856
7	GD15	0.646800	0.334798	3.535096	3.846976	0.201544
8	GD15	0.562704	0.460569	3.629251	4.100223	0.294668
9	GD15	0.600564	0.238833	3.682782	4.546289	0.260952
10	GD15	0.641276	0.348584	3.610628	4.634943	0.140550
1	GD16	0.402149	0.403351	3.746146	4.941147	0.192678
2	GD16	0.411354	0.376461	3.645810	4.889401	0.258855
3	GD16	0.355123	0.410855	3.537089	4.697310	0.239038
4	GD16	0.395182	0.356283	3.638575	4.504974	0.211626
5	GD16	0.419237	0.337272	3.504088	4.784422	0.272485
6	GD16	0.369828	0.453439	3.745989	4.623213	0.179788
7	GD16	0.400689	0.320757	3.742285	4.509103	0.241901
8	GD16	0.371147	0.288675	3.632792	4.284422	0.226491
9	GD16	0.387506	0.367707	3.522979	4.343975	0.244233
10	GD16	0.355813	0.353367	3.630009	4.341289	0.281079
