rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.635761	0.271554	5.314467	6.822212	0.143871
2	AG111	0.565798	0.246848	5.320049	6.859928	0.349038
3	AG111	0.556371	0.242886	5.291783	6.830252	0.201520
4	AG111	0.627191	0.310882	5.239508	7.067340	0.308619
5	AG111	0.645293	0.256924	5.177094	6.927342	0.193934
6	AG111	0.656041	0.176560	5.427519	6.986159	0.277047
7	AG111	0.603297	0.191931	5.276098	6.590381	0.212369
8	AG111	0.575017	0.202039	5.508894	6.411857	0.258394
9	AG111	0.623613	0.208945	5.265263	6.812922	0.154101
10	AG111	0.618323	0.258389	5.400060	6.736869	0.044697
1	AG112	0.706621	0.300122	5.349317	6.285840	0.393000
2	AG112	0.752608	0.266211	5.338596	6.332884	0.264701
3	AG112	0.764346	0.270549	5.268124	6.219094	0.222096
4	AG112	0.749021	0.333463	5.457916	6.424786	0.240408
5	AG112	0.726571	0.295931	5.237785	6.501443	0.353264
6	AG112	0.752280	0.239771	5.296601	6.648784	0.372351
7	AG112	0.722913	0.318356	5.340675	6.404220	0.232923
8	AG112	0.753172	0.285550	5.428611	6.756965	0.330275
9	AG112	0.787509	0.376323	5.365488	6.633285	0.195079
10	AG112	0.766544	0.213461	5.311605	6.556654	0.417177
1	AG139	0.592476	0.226061	5.304148	6.491290	0.381248
2	AG139	0.577256	0.294606	5.353951	6.747230	0.227191
3	AG139	0.550031	0.303738	5.311096	6.624165	0.217861
4	AG139	0.550459	0.346605	5.233268	6.778555	0.283366
5	AG139	0.598227	0.230058	5.338640	6.557554	0.426403
6	AG139	0.611209	0.274631	5.275327	6.622232	0.414516
7	AG139	0.575873	0.337004	5.418315	6.642840	0.245949
8	AG139	0.556082	0.258059	5.629184	7.048490	0.319523
9	AG139	0.552517	0.273919	5.432483	6.332918	0.211545
10	AG139	0.556185	0.335198	5.382717	6.473724	0.167248
1	AG142	0.717177	0.382391	5.378338	7.279185	0.403432
2	AG142	0.774281	0.330803	5.202029	6.513595	0.079534
3	AG142	0.722036	0.381443	5.446446	6.708951	0.316441
4	AG142	0.717765	0.326244	5.297101	6.661809	0.297545
5	AG142	0.740968	0.407624	5.398490	6.798421	0.266888
6	AG142	0.716867	0.353548	5.413741	6.424535	0.091335
7	AG142	0.710770	0.331194	5.423150	6.361337	0.028523
8	AG142	0.718700	0.301372	5.508618	6.850576	0.326809
9	AG142	0.738832	0.432188	5.587710	6.917720	0.297337
10	AG142	0.794906	0.333980	5.205927	6.517247	0.243894
1	GD14	0.652254	0.313784	5.378594	6.619323	0.477825
2	GD14	0.647431	0.255697	5.385585	6.487669	0.526699
3	GD14	0.672725	0.280134	5.494843	7.018168	0.534850
4	GD14	0.646360	0.271376	5.343485	6.214830	0.357840
5	GD14	0.629061	0.248265	5.494858	6.802989	0.509041
6	GD14	0.639374	0.281561	5.525454	7.319226	0.518361
7	GD14	0.650315	0.229961	5.391966	6.394857	0.500706
8	GD14	0.594112	0.264009	5.404644	6.951277	0.705294
9	GD14	0.635234	0.239086	5.342801	6.630400	0.589434
10	GD14	0.609246	0.286076	5.364220	6.632401	0.717429
1	GD15	0.584026	0.341612	5.424712	6.584918	0.271738
2	GD15	0.568934	0.296976	5.420787	6.759112	0.388740
3	GD15	0.631050	0.284740	5.357319	6.741110	0.122105
4	GD15	0.577982	0.305463	5.363925	6.598296	0.342896
5	GD15	0.609878	0.317190	5.344057	6.776720	0.213404
6	GD15	0.649416	0.285093	5.204431	6.722758	0.141907
7	GD15	0.623531	0.243673	5.472612	6.500046	0.170706
8	GD15	0.583285	0.256397	5.405924	6.580856	0.301579
9	GD15	0.597761	0.280711	5.183385	6.626638	0.214617
10	GD15	0.626558	0.251351	5.210621	6.505972	0.247286
1	GD16	0.358253	0.239809	5.670277	6.821339	0.223125
2	GD16	0.425929	0.251057	5.277523	6.342815	0.071460
3	GD16	0.374358	0.327460	5.358997	6.745971	0.183141
4	GD16	0.387898	0.281676	5.432624	7.282748	0.457206
5	GD16	0.386740	0.311034	5.380996	6.781001	0.217049
6	GD16	0.357092	0.230166	5.405348	6.618616	0.354524
7	GD16	0.426922	0.365837	5.327432	6.986578	0.142288
8	GD16	0.365293	0.269631	5.401876	6.991250	0.237109
9	GD16	0.385333	0.290916	5.393129	6.979509	0.326755
10	GD16	0.363365	0.327980	5.499938	7.143035	0.284475
