rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	0.022904	-0.068107	-0.054680	0.017972	-0.154558
2	AG111	-0.047058	-0.163495	-0.049098	0.023485	0.050609
3	AG111	-0.056486	-0.179678	-0.077364	0.019150	-0.096909
4	AG111	0.014335	0.067143	-0.129639	0.053272	0.010190
5	AG111	0.032437	-0.123489	-0.192053	0.033265	-0.104495
6	AG111	0.043185	-0.498609	0.058372	0.041719	-0.021382
7	AG111	-0.009559	-0.415136	-0.093049	-0.016600	-0.086060
8	AG111	-0.037839	-0.363810	0.139747	-0.044063	-0.040035
9	AG111	0.010757	-0.330197	-0.103884	0.016609	-0.144328
10	AG111	0.005467	-0.117805	0.030914	0.005384	-0.253732
1	AG112	0.093764	0.031919	-0.019830	-0.063912	0.094571
2	AG112	0.139751	-0.087981	-0.030551	-0.056456	-0.033728
3	AG112	0.151489	-0.071816	-0.101023	-0.074588	-0.076333
4	AG112	0.136165	0.137261	0.088769	-0.042048	-0.058021
5	AG112	0.113715	0.017858	-0.131362	-0.030188	0.054835
6	AG112	0.139424	-0.192585	-0.072546	-0.007778	0.073922
7	AG112	0.110057	0.090901	-0.028472	-0.045255	-0.065505
8	AG112	0.140316	-0.017850	0.059464	0.008362	0.031846
9	AG112	0.174653	0.258178	-0.003659	-0.010112	-0.103350
10	AG112	0.153687	-0.308817	-0.057542	-0.021731	0.118749
1	AG139	-0.020380	-0.251463	-0.064999	-0.031750	0.082819
2	AG139	-0.035600	0.013368	-0.015196	0.006920	-0.071238
3	AG139	-0.062825	0.043896	-0.058051	-0.011487	-0.080568
4	AG139	-0.062397	0.175916	-0.135879	0.011552	-0.015063
5	AG139	-0.014629	-0.233940	-0.030507	-0.021594	0.127974
6	AG139	-0.001647	-0.056842	-0.093819	-0.011779	0.116087
7	AG139	-0.036983	0.147824	0.049168	-0.008672	-0.052479
8	AG139	-0.056774	-0.119079	0.260037	0.050602	0.021094
9	AG139	-0.060340	-0.059436	0.063337	-0.056451	-0.086884
10	AG139	-0.056671	0.142452	0.013571	-0.034460	-0.131181
1	AG142	0.104320	0.274175	0.009191	0.082807	0.105003
2	AG142	0.161424	0.129255	-0.167118	-0.028320	-0.218895
3	AG142	0.109179	0.271693	0.077299	0.001231	0.018012
4	AG142	0.104908	0.115375	-0.072046	-0.005821	-0.000884
5	AG142	0.128112	0.338076	0.029343	0.014479	-0.031541
6	AG142	0.104011	0.195749	0.044594	-0.042087	-0.207094
7	AG142	0.097914	0.130436	0.054003	-0.051973	-0.269906
8	AG142	0.105844	0.036078	0.139471	0.022121	0.028380
9	AG142	0.125976	0.396591	0.218563	0.031874	-0.001092
10	AG142	0.182049	0.138811	-0.163219	-0.027760	-0.054535
1	GD14	0.039397	0.076437	0.009448	-0.012219	0.179396
2	GD14	0.034575	-0.128277	0.016439	-0.032308	0.228270
3	GD14	0.059868	-0.037000	0.125696	0.046291	0.236421
4	GD14	0.033504	-0.068762	-0.025662	-0.075273	0.059411
5	GD14	0.016205	-0.157771	0.125711	0.015150	0.210612
6	GD14	0.026517	-0.031920	0.156307	0.088293	0.219932
7	GD14	0.037458	-0.234359	0.022819	-0.046718	0.202277
8	GD14	-0.018744	-0.096286	0.035497	0.036714	0.406866
9	GD14	0.022377	-0.195445	-0.026346	-0.010547	0.291005
10	GD14	-0.003611	-0.016012	-0.004927	-0.010245	0.419000
1	GD15	-0.028830	0.161406	0.055565	-0.017430	-0.026691
2	GD15	-0.043922	0.021381	0.051640	0.008680	0.090311
3	GD15	0.018193	-0.020691	-0.011828	0.006013	-0.176324
4	GD15	-0.034874	0.049559	-0.005222	-0.015400	0.044467
5	GD15	-0.002978	0.087232	-0.025090	0.011281	-0.085025
6	GD15	0.036560	-0.019453	-0.164716	0.003287	-0.156522
7	GD15	0.010675	-0.176440	0.103466	-0.030402	-0.127723
8	GD15	-0.029571	-0.125540	0.036777	-0.018047	0.003150
9	GD15	-0.015095	-0.034945	-0.185762	-0.011114	-0.083812
10	GD15	0.013702	-0.145419	-0.158526	-0.029491	-0.051143
1	GD16	-0.254603	-0.192427	0.301130	0.017844	-0.075304
2	GD16	-0.186927	-0.146588	-0.091624	-0.054889	-0.226968
3	GD16	-0.238498	0.119096	-0.010150	0.006734	-0.115288
4	GD16	-0.224958	-0.031513	0.063477	0.083297	0.158777
5	GD16	-0.226116	0.067632	0.011849	0.011913	-0.081380
6	GD16	-0.255764	-0.233466	0.036201	-0.012325	0.056095
7	GD16	-0.185934	0.229918	-0.041715	0.041779	-0.156141
8	GD16	-0.247563	-0.075214	0.032729	0.042448	-0.061320
9	GD16	-0.227523	0.000767	0.023983	0.040767	0.028326
10	GD16	-0.249492	0.120685	0.130791	0.063926	-0.013954
