rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	-0.020798	-0.605023	0.000000	0.000000	-0.160588	0.000000	-0.002267	-0.013145
2	AG111	-0.017237	-0.410441	0.000000	0.000000	-0.146425	0.000000	-0.000427	0.009863
3	AG111	0.081274	-0.205285	0.000000	0.000000	0.036639	0.000000	-0.001221	-0.049516
4	AG111	-0.013495	-0.181576	0.000000	0.000000	-0.130900	0.000000	-0.023806	-0.050449
5	AG111	-0.001648	-0.521588	0.000000	0.000000	-0.139241	0.000000	-0.012548	0.019026
6	AG111	-0.085002	-0.304570	0.000000	0.000000	-0.011703	0.000000	0.003073	0.105552
7	AG111	-0.013084	-0.643927	0.000000	0.000000	-0.217406	0.000000	0.000304	-0.014767
8	AG111	0.015462	-0.617475	0.000000	0.000000	-0.085673	0.000000	0.019771	0.050591
9	AG111	-0.035503	0.022480	0.000000	0.000000	-0.189383	0.000000	0.014206	0.000769
10	AG111	-0.024518	-0.188622	0.000000	0.000000	-0.158215	0.000000	0.007689	0.026641
1	AG112	0.155821	0.175532	0.000000	0.000000	-0.224853	0.000000	0.021725	0.033231
2	AG112	0.123977	0.244835	0.000000	0.000000	-0.227469	0.000000	0.005372	0.000901
3	AG112	0.138453	-0.058474	0.000000	0.000000	-0.208891	0.000000	-0.003815	0.030451
4	AG112	0.100441	0.173045	0.000000	0.000000	-0.256250	0.000000	-0.002802	0.030430
5	AG112	0.108504	0.064916	0.000000	0.000000	-0.265777	0.000000	0.010236	-0.000744
6	AG112	0.134177	0.151584	0.000000	0.000000	-0.227238	0.000000	-0.000798	-0.057828
7	AG112	0.150204	0.086332	0.000000	0.000000	-0.227470	0.000000	-0.010750	-0.057408
8	AG112	0.143413	-0.179247	0.000000	0.000000	-0.338002	0.000000	-0.000884	-0.066649
9	AG112	0.169881	0.001038	0.000000	0.000000	-0.195375	0.000000	0.004935	-0.043503
10	AG112	0.131262	0.141885	0.000000	0.000000	-0.157715	0.000000	0.005068	0.005266
1	AG139	-0.042147	0.298519	0.000000	0.000000	-0.221311	0.000000	-0.013828	-0.079782
2	AG139	-0.056640	-0.180011	0.000000	0.000000	-0.157114	0.000000	0.015606	0.052411
3	AG139	-0.015933	0.064000	0.000000	0.000000	-0.136848	0.000000	0.004214	-0.001925
4	AG139	-0.006246	0.147097	0.000000	0.000000	-0.115569	0.000000	-0.000614	0.047283
5	AG139	-0.034755	-0.147720	0.000000	0.000000	-0.153366	0.000000	-0.009359	-0.000024
6	AG139	-0.061735	0.179618	0.000000	0.000000	-0.230136	0.000000	0.005926	0.007474
7	AG139	-0.015216	0.205532	0.000000	0.000000	-0.184634	0.000000	-0.013042	-0.044615
8	AG139	-0.047768	0.380013	0.000000	0.000000	-0.186405	0.000000	-0.008879	-0.083480
9	AG139	-0.020618	0.140685	0.000000	0.000000	-0.135308	0.000000	-0.007257	-0.039796
10	AG139	-0.062901	0.145434	0.000000	0.000000	-0.175753	0.000000	-0.023767	0.043160
1	AG142	0.118924	0.597470	0.000000	0.000000	-0.123063	0.000000	0.011697	0.003716
2	AG142	0.161600	0.766326	0.000000	0.000000	-0.162908	0.000000	-0.008264	-0.058456
3	AG142	0.132261	0.684477	0.000000	0.000000	-0.199308	0.000000	0.021769	0.059418
4	AG142	0.131898	0.309357	0.000000	0.000000	-0.140153	0.000000	0.006938	0.002219
5	AG142	0.190165	0.651731	0.000000	0.000000	-0.140848	0.000000	-0.012857	0.000407
6	AG142	0.180406	0.639669	0.000000	0.000000	-0.152655	0.000000	-0.012227	-0.027104
7	AG142	0.095284	0.787606	0.000000	0.000000	-0.196700	0.000000	0.005755	-0.070468
8	AG142	0.141101	0.244932	0.000000	0.000000	-0.170521	0.000000	0.002187	0.044176
9	AG142	0.121109	0.278146	0.000000	0.000000	-0.160977	0.000000	0.013597	0.076673
10	AG142	0.159379	0.841923	0.000000	0.000000	-0.203795	0.000000	-0.012053	0.011377
1	GD14	0.015341	0.209490	0.000000	0.000000	-0.336663	0.000000	0.009010	-0.003494
2	GD14	0.038817	-0.104250	0.000000	0.000000	-0.357200	0.000000	0.004921	0.008385
3	GD14	0.041705	0.032292	0.000000	0.000000	-0.274719	0.000000	0.016629	-0.002438
4	GD14	0.009576	-0.128053	0.000000	0.000000	-0.284408	0.000000	-0.002504	0.048001
5	GD14	0.030716	0.050307	0.000000	0.000000	-0.286322	0.000000	-0.000257	0.002829
6	GD14	-0.011705	0.064914	0.000000	0.000000	-0.293245	0.000000	0.011906	-0.055308
7	GD14	-0.045678	0.008139	0.000000	0.000000	-0.360494	0.000000	0.007792	-0.033329
8	GD14	0.050213	-0.033004	0.000000	0.000000	-0.305100	0.000000	0.011011	-0.020176
9	GD14	-0.026391	0.043272	0.000000	0.000000	-0.293189	0.000000	-0.015145	-0.071509
10	GD14	0.075497	-0.090410	0.000000	0.000000	-0.284410	0.000000	0.003396	0.018705
1	GD15	-0.012890	0.348793	0.000000	0.000000	-0.147206	0.000000	0.015045	-0.010192
2	GD15	0.022807	0.078925	0.000000	0.000000	-0.181813	0.000000	-0.009592	-0.011077
3	GD15	0.011821	-0.136826	0.000000	0.000000	-0.110460	0.000000	-0.014558	0.000277
4	GD15	0.000032	0.393230	0.000000	0.000000	-0.108172	0.000000	0.007879	0.029586
5	GD15	-0.041057	0.035556	0.000000	0.000000	-0.158248	0.000000	-0.000247	-0.037946
6	GD15	0.018787	-0.005752	0.000000	0.000000	-0.133934	0.000000	-0.005605	-0.029167
7	GD15	-0.022385	0.218451	0.000000	0.000000	-0.117678	0.000000	0.011512	-0.027012
8	GD15	0.033659	0.246066	0.000000	0.000000	-0.120609	0.000000	-0.013174	-0.012789
9	GD15	0.027618	-0.088613	0.000000	0.000000	-0.143562	0.000000	0.016233	-0.084381
10	GD15	0.011111	0.128899	0.000000	0.000000	-0.104284	0.000000	-0.005603	0.017678
1	GD16	-0.116751	-0.096892	0.000000	0.000000	-0.006826	0.000000	0.018817	-0.018507
2	GD16	-0.218270	0.167433	0.000000	0.000000	-0.059907	0.000000	0.015584	-0.006980
3	GD16	-0.201042	0.155127	0.000000	0.000000	-0.101769	0.000000	-0.013717	-0.040659
4	GD16	-0.219962	0.278097	0.000000	0.000000	-0.063369	0.000000	0.002859	-0.037668
