rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.642732	0.182468	3.152058	3.718278	0.236721
2	AG111	0.620304	0.322822	3.068266	4.166452	0.200536
3	AG111	0.585102	0.249649	3.054600	3.441912	0.256407
4	AG111	0.610297	0.217969	3.232589	3.991028	0.296261
5	AG111	0.575292	0.227831	3.110514	3.465642	0.385473
6	AG111	0.591936	0.339864	3.180740	3.469725	0.234405
7	AG111	0.593153	0.329263	3.033216	4.335615	0.312528
8	AG111	0.606228	0.268646	3.122705	3.919404	0.235330
9	AG111	0.620546	0.358080	3.185615	4.001239	0.231722
10	AG111	0.574047	0.287484	3.100223	4.329251	0.307825
1	AG112	0.741442	0.457755	3.215179	3.422854	0.232835
2	AG112	0.785313	0.470345	3.252294	3.652273	0.265294
3	AG112	0.679829	0.519735	3.333343	3.521383	0.241161
4	AG112	0.708626	0.430700	3.224160	3.423728	0.284635
5	AG112	0.707993	0.332938	3.068811	3.225395	0.258177
6	AG112	0.779567	0.478345	3.084527	3.296525	0.312624
7	AG112	0.749269	0.389113	3.299631	3.655781	0.360435
8	AG112	0.729407	0.507413	3.214972	3.516956	0.225884
9	AG112	0.758955	0.397280	3.150109	3.403268	0.273359
10	AG112	0.743956	0.365482	3.134096	3.209523	0.244793
1	AG139	0.586459	0.544219	3.004507	3.474802	0.304083
2	AG139	0.595191	0.545665	3.121537	3.996206	0.250524
3	AG139	0.603658	0.339861	3.119550	3.370752	0.276540
4	AG139	0.522610	0.397264	3.209275	3.534875	0.234410
5	AG139	0.532363	0.446941	3.080000	3.751451	0.335926
6	AG139	0.603803	0.421475	3.126620	3.960978	0.282828
7	AG139	0.566289	0.367104	3.151415	3.891350	0.329433
8	AG139	0.615397	0.413214	2.999154	3.411928	0.272824
9	AG139	0.615870	0.454861	3.166094	3.845840	0.253920
10	AG139	0.575944	0.431893	3.095917	3.550467	0.204387
1	AG142	0.769333	0.738163	3.226813	3.977993	0.294017
2	AG142	0.753459	0.538723	3.246243	4.043414	0.272808
3	AG142	0.739390	0.799083	3.200650	3.713221	0.294031
4	AG142	0.712288	0.604122	3.169954	3.588952	0.320186
5	AG142	0.774077	0.598047	3.171411	3.672657	0.225802
6	AG142	0.736948	0.738511	3.188960	3.724513	0.237938
7	AG142	0.769205	0.706909	3.169421	3.899098	0.276463
8	AG142	0.712049	0.771156	3.231449	3.735000	0.304909
9	AG142	0.725366	0.469687	3.142369	3.543865	0.239510
10	AG142	0.746968	0.613339	3.081985	3.417354	0.257268
1	GD14	0.647919	0.389884	3.260606	3.451323	0.295060
2	GD14	0.640356	0.371982	3.359434	3.298685	0.253721
3	GD14	0.704536	0.408597	3.073873	3.219134	0.273403
4	GD14	0.616761	0.355672	3.244121	3.140438	0.296417
5	GD14	0.627528	0.508186	3.235699	3.329326	0.294631
6	GD14	0.599045	0.338154	3.215841	3.039552	0.292422
7	GD14	0.604464	0.559006	3.150140	3.157007	0.253037
8	GD14	0.642992	0.409600	3.252407	3.405861	0.243268
9	GD14	0.681846	0.410464	3.306994	3.353095	0.237219
10	GD14	0.615657	0.665479	3.234114	3.585114	0.323410
1	GD15	0.603532	0.436603	3.110097	4.038010	0.293911
2	GD15	0.613536	0.354302	3.273934	4.215545	0.267732
3	GD15	0.552769	0.358858	3.119353	3.926595	0.287412
4	GD15	0.634928	0.391128	3.181193	4.056746	0.312769
5	GD15	0.615256	0.390231	3.089200	3.680033	0.249217
6	GD15	0.626507	0.374065	3.242528	3.856025	0.342086
7	GD15	0.597095	0.387623	3.128014	3.728627	0.283278
8	GD15	0.592691	0.398313	3.132788	4.023708	0.367080
9	GD15	0.595459	0.431603	3.059922	3.487553	0.236651
10	GD15	0.606066	0.487371	3.189666	3.838410	0.292569
1	GD16	0.387120	0.383900	3.213275	3.919296	0.219448
2	GD16	0.381299	0.385067	3.197855	4.092415	0.301373
3	GD16	0.379943	0.413594	3.154862	3.767353	0.218985
4	GD16	0.386061	0.597982	2.959254	4.173490	0.370261
5	GD16	0.379171	0.408493	3.247135	4.197317	0.256292
6	GD16	0.362810	0.377622	3.054217	3.655467	0.318507
7	GD16	0.336737	0.314096	3.169439	3.519886	0.287442
8	GD16	0.372927	0.481967	3.076460	3.931223	0.304279
9	GD16	0.337643	0.454191	3.332113	4.039090	0.281847
10	GD16	0.409190	0.692617	3.095381	4.048650	0.227113
