parameter	value	se_sa	rse_sa
rhoS_pop	0.61321747389627967	0.04612865949937988	7.52239808273665300
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	3.81625376551211515	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.25034361518174092	0.05707606072914757	22.79908784081123940
omega_rhoS	0.11862064246488523	0.03356783167328250	28.29847400566848492
omega_deltaSC	0.23996210638051760	0.15265675964210099	63.61702768187365109
omega_rhoC	0.13583146517324565	0.29035688819249583	213.76261223580371507
omega_deltaCB	0.05585073267199317	0.08129143084738615	145.55123443913285541
omega_rhoB	0.06418520345023485	0.18402745687320854	286.71320955754515580
b1	0.16377273966053826	0.02145996865660029	13.10350471090712610
b2	0.17771632926787770	0.02324005574790881	13.07705141314184161
b3	0.27863295199746807	0.05036720127718625	18.07654152752325416
