rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB
1	AG111	0.590379	-0.496750	3.732003	0.031893	0.016432	0.266110
2	AG111	0.542447	0.017203	3.732003	-0.361709	-0.112479	0.266110
3	AG111	0.608735	-0.315812	3.732003	0.114297	0.017535	0.266110
4	AG111	0.624605	-0.469777	3.732003	-0.029349	-0.026916	0.266110
5	AG111	0.582245	-0.084196	3.732003	-0.134873	-0.066643	0.266110
6	AG111	0.587833	-0.410577	3.732003	-0.127629	-0.053500	0.266110
7	AG111	0.608232	-0.460392	3.732003	-0.119436	0.036350	0.266110
8	AG111	0.577904	-0.354628	3.732003	-0.023233	0.014637	0.266110
9	AG111	0.641139	-0.319881	3.732003	-0.183205	-0.069847	0.266110
10	AG111	0.615857	-0.441993	3.732003	-0.158312	-0.050885	0.266110
1	AG112	0.729507	0.062448	3.732003	0.292412	0.046262	0.266110
2	AG112	0.777532	0.570028	3.732003	-0.194046	-0.016717	0.266110
3	AG112	0.764692	0.303680	3.732003	0.288065	-0.022885	0.266110
4	AG112	0.760688	0.274358	3.732003	-0.186796	-0.060400	0.266110
5	AG112	0.752134	0.119262	3.732003	0.059355	-0.107284	0.266110
6	AG112	0.755131	0.096685	3.732003	-0.004708	-0.027365	0.266110
7	AG112	0.750379	-0.056482	3.732003	0.195132	-0.045426	0.266110
8	AG112	0.766061	-0.046486	3.732003	0.358775	0.018129	0.266110
9	AG112	0.762291	0.144283	3.732003	0.030072	0.002003	0.266110
10	AG112	0.744426	-0.149289	3.732003	0.232464	0.038111	0.266110
1	AG139	0.612424	-0.015547	3.732003	0.114082	0.057046	0.266110
2	AG139	0.549965	0.040762	3.732003	0.036809	0.008531	0.266110
3	AG139	0.560309	-0.195215	3.732003	-0.048433	0.017445	0.266110
4	AG139	0.582306	-0.003852	3.732003	-0.039650	0.082031	0.266110
5	AG139	0.550431	-0.240152	3.732003	-0.046616	-0.098831	0.266110
6	AG139	0.571324	-0.058663	3.732003	0.241344	0.070177	0.266110
7	AG139	0.520390	0.069277	3.732003	-0.153996	0.023329	0.266110
8	AG139	0.553194	0.297560	3.732003	0.043894	-0.020678	0.266110
9	AG139	0.545851	0.001463	3.732003	-0.072324	-0.042014	0.266110
10	AG139	0.530289	0.041982	3.732003	-0.212637	-0.027476	0.266110
1	AG142	0.765349	0.290961	3.732003	0.012735	0.035688	0.266110
2	AG142	0.796238	0.330768	3.732003	-0.328936	0.023491	0.266110
3	AG142	0.731139	0.164506	3.732003	-0.113932	0.010070	0.266110
4	AG142	0.788951	0.214109	3.732003	-0.112106	0.115980	0.266110
5	AG142	0.729892	0.536205	3.732003	-0.277100	-0.046882	0.266110
6	AG142	0.731271	0.074356	3.732003	-0.331329	0.021342	0.266110
7	AG142	0.720588	0.264622	3.732003	0.202226	0.014643	0.266110
8	AG142	0.731814	0.476812	3.732003	0.063858	0.052192	0.266110
9	AG142	0.758294	0.372505	3.732003	0.032917	-0.027925	0.266110
10	AG142	0.740219	0.494072	3.732003	0.012646	-0.018371	0.266110
1	GD14	0.620317	-0.004303	3.732003	0.231045	0.012897	0.266110
2	GD14	0.589839	0.021070	3.732003	0.417638	0.006186	0.266110
3	GD14	0.659985	-0.323744	3.732003	0.135243	-0.096035	0.266110
4	GD14	0.627717	-0.020788	3.732003	0.255165	-0.019585	0.266110
5	GD14	0.632022	0.016707	3.732003	0.235026	-0.016331	0.266110
6	GD14	0.592027	-0.116574	3.732003	0.326836	-0.079373	0.266110
7	GD14	0.632267	-0.147763	3.732003	0.193406	-0.125996	0.266110
8	GD14	0.600286	-0.030298	3.732003	0.525048	0.005166	0.266110
9	GD14	0.725779	-0.316744	3.732003	0.328605	-0.051656	0.266110
10	GD14	0.585205	-0.088602	3.732003	0.110728	-0.139792	0.266110
1	GD15	0.608073	-0.062124	3.732003	-0.064791	0.157615	0.266110
2	GD15	0.599161	-0.122998	3.732003	-0.236206	0.041050	0.266110
3	GD15	0.573070	-0.075008	3.732003	-0.083978	-0.042516	0.266110
4	GD15	0.625639	-0.095980	3.732003	-0.270202	0.079327	0.266110
5	GD15	0.591606	-0.131822	3.732003	-0.090852	-0.020287	0.266110
6	GD15	0.566282	0.136701	3.732003	-0.022249	0.026656	0.266110
7	GD15	0.549344	0.243658	3.732003	-0.086657	-0.044070	0.266110
8	GD15	0.654696	-0.055803	3.732003	-0.181079	-0.020195	0.266110
9	GD15	0.566499	-0.008425	3.732003	-0.047729	0.040829	0.266110
10	GD15	0.606390	0.122937	3.732003	-0.311396	0.001611	0.266110
1	GD16	0.330563	0.068084	3.732003	-0.049133	0.069203	0.266110
2	GD16	0.373917	-0.147879	3.732003	-0.188269	-0.038626	0.266110
3	GD16	0.380400	-0.206977	3.732003	0.173806	0.091704	0.266110
4	GD16	0.328929	-0.068608	3.732003	0.114739	0.027153	0.266110
5	GD16	0.382552	0.167915	3.732003	-0.198804	-0.065451	0.266110
6	GD16	0.393239	-0.056868	3.732003	0.237573	0.053207	0.266110
7	GD16	0.391991	-0.296927	3.732003	0.200938	0.054565	0.266110
8	GD16	0.398633	-0.120269	3.732003	-0.190518	0.054176	0.266110
9	GD16	0.372085	0.052593	3.732003	-0.258944	-0.068493	0.266110
10	GD16	0.389770	-0.014790	3.732003	-0.250835	-0.001705	0.266110
