rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.580425	0.190564	7.781593	9.536199	0.202474
2	AG111	0.605771	0.172007	7.817182	9.323778	0.095502
3	AG111	0.555774	0.210094	7.925089	9.484186	0.362624
4	AG111	0.616922	0.208374	7.987226	9.806907	-0.001131
5	AG111	0.571560	0.210394	7.884326	9.591905	-0.030327
6	AG111	0.586059	0.253575	7.795221	9.812780	0.141040
7	AG111	0.592638	0.206214	7.801602	9.640161	0.173050
8	AG111	0.580368	0.149390	7.851909	9.803648	0.278493
9	AG111	0.672680	0.158947	7.795538	9.493120	0.255572
10	AG111	0.611826	0.213575	7.904891	9.453313	0.034809
1	AG112	0.727493	0.261422	7.942515	9.614426	0.431464
2	AG112	0.710244	0.234425	7.845989	9.578832	0.459130
3	AG112	0.740122	0.214936	7.907458	9.457526	0.181710
4	AG112	0.716243	0.241753	7.951604	9.736922	0.335980
5	AG112	0.736445	0.180937	7.882540	9.316564	0.353883
6	AG112	0.758842	0.236057	7.840802	9.476815	0.333374
7	AG112	0.747906	0.179843	7.886570	9.345469	0.278559
8	AG112	0.776249	0.223118	7.923726	9.585548	0.187998
9	AG112	0.788345	0.252223	7.804072	9.726434	0.295801
10	AG112	0.783297	0.196173	7.815520	9.596528	0.207449
1	AG139	0.583358	0.197589	7.963085	9.125726	0.248291
2	AG139	0.572382	0.179814	7.907136	9.391567	0.379181
3	AG139	0.561141	0.252296	7.922472	9.736838	0.298736
4	AG139	0.582819	0.244741	7.821001	9.501584	0.288517
5	AG139	0.576930	0.213381	7.890194	9.601616	0.259598
6	AG139	0.554911	0.246760	7.842226	9.489735	0.292706
7	AG139	0.601200	0.226470	7.877630	9.544855	0.341913
8	AG139	0.544881	0.256825	7.922677	9.666408	0.251430
9	AG139	0.523382	0.218268	7.903757	9.521117	0.215388
10	AG139	0.610154	0.211360	7.842700	9.681146	0.260481
1	AG142	0.715341	0.301882	7.976528	9.864248	0.256554
2	AG142	0.718833	0.309407	7.972309	9.452376	0.152468
3	AG142	0.779474	0.292879	7.880483	9.571095	0.208232
4	AG142	0.719279	0.241364	7.860107	9.224299	0.167217
5	AG142	0.752433	0.253933	7.837748	9.449518	0.303447
6	AG142	0.739395	0.340402	7.928139	9.706940	0.183969
7	AG142	0.716129	0.329785	7.828133	9.714628	0.137062
8	AG142	0.753784	0.226659	7.884111	9.615629	0.296510
9	AG142	0.792872	0.301792	7.867978	9.806878	0.148032
10	AG142	0.758196	0.250552	7.941642	9.293569	0.126026
1	GD14	0.622117	0.232032	7.740108	9.525094	0.496766
2	GD14	0.622104	0.201115	7.882135	9.306195	0.407305
3	GD14	0.630530	0.205124	7.902962	9.312074	0.431647
4	GD14	0.599972	0.251169	7.772541	9.319692	0.505215
5	GD14	0.607879	0.191425	7.903542	9.196611	0.539057
6	GD14	0.611021	0.305727	7.783924	9.181831	0.321680
7	GD14	0.668671	0.225706	7.867601	9.219126	0.320447
8	GD14	0.642183	0.259242	7.787429	9.203367	0.321245
9	GD14	0.624704	0.250182	7.859522	9.463075	0.435756
10	GD14	0.576604	0.238475	7.889884	9.138355	0.354671
1	GD15	0.602321	0.251725	7.842960	9.583057	0.121716
2	GD15	0.591349	0.209253	7.737341	9.417438	0.154452
3	GD15	0.595927	0.225305	7.836429	9.343610	0.281550
4	GD15	0.578725	0.213035	7.797647	9.402636	0.201069
5	GD15	0.615634	0.186561	7.733134	9.576888	0.316153
6	GD15	0.629289	0.226325	7.814549	9.596892	0.153154
7	GD15	0.597411	0.238708	7.776780	9.499779	0.261002
8	GD15	0.622778	0.226628	7.768916	9.355932	0.229567
9	GD15	0.570255	0.195520	7.884283	9.583975	0.139215
10	GD15	0.662373	0.234170	7.920400	9.620005	0.102470
1	GD16	0.378472	0.222553	7.753961	9.733685	0.152606
2	GD16	0.367008	0.231881	8.045431	9.955779	0.264246
3	GD16	0.368713	0.206975	7.945862	9.600942	0.226382
4	GD16	0.418197	0.189098	7.793576	9.166548	0.169481
5	GD16	0.375987	0.217271	7.904802	9.431807	0.141851
6	GD16	0.404175	0.220851	7.920115	9.341425	0.041558
7	GD16	0.383592	0.234857	7.825219	9.484924	0.238525
8	GD16	0.348539	0.229519	7.713200	9.214626	0.161915
9	GD16	0.394863	0.239268	7.875299	9.402217	0.210168
10	GD16	0.361147	0.181055	8.077830	9.475388	0.137879
