rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.621044	0.310258	5.471149	7.003118	0.191363
2	AG111	0.579049	0.166941	5.422035	6.765539	0.375059
3	AG111	0.638166	0.254454	5.453484	7.061369	0.107930
4	AG111	0.664299	0.192115	5.322425	6.974225	0.117542
5	AG111	0.655565	0.251681	5.556673	7.013355	0.076414
6	AG111	0.576990	0.182873	5.621355	6.781196	0.254525
7	AG111	0.597628	0.267895	5.780980	7.146900	0.000506
8	AG111	0.581391	0.175238	5.621130	6.801086	0.363345
9	AG111	0.605671	0.173173	5.650394	6.651052	0.241210
10	AG111	0.596014	0.263822	5.258620	6.589835	0.093083
1	AG112	0.757586	0.273075	5.487473	6.899716	0.472021
2	AG112	0.724079	0.273070	5.622883	6.809209	0.370884
3	AG112	0.760548	0.336124	5.668106	6.692938	0.219131
4	AG112	0.776978	0.206483	5.648462	6.923761	0.456381
5	AG112	0.784516	0.289542	5.688045	6.801204	0.209318
6	AG112	0.729749	0.310722	5.657966	6.782291	0.360623
7	AG112	0.741749	0.350439	5.488285	6.829108	0.378861
8	AG112	0.745431	0.274104	5.671477	6.705527	0.308884
9	AG112	0.744346	0.302710	5.456358	6.719732	0.314524
10	AG112	0.741685	0.253276	5.582823	6.765767	0.420353
1	AG139	0.611172	0.257774	5.584358	6.853140	0.204684
2	AG139	0.627057	0.303909	5.715754	6.694546	0.169840
3	AG139	0.607567	0.294455	5.592665	6.844444	0.168257
4	AG139	0.612889	0.334740	5.523349	6.770306	0.149072
5	AG139	0.604864	0.281523	5.662420	6.664634	0.135768
6	AG139	0.584815	0.226464	5.591356	6.740941	0.253947
7	AG139	0.563801	0.345581	5.536779	6.958262	0.141101
8	AG139	0.576293	0.361010	5.795315	6.961500	0.070043
9	AG139	0.556231	0.251181	5.681933	7.037751	0.364156
10	AG139	0.612183	0.279601	5.591191	6.893762	0.191411
1	AG142	0.745996	0.336515	5.660235	7.116433	0.308491
2	AG142	0.719115	0.336880	5.674889	6.948209	0.291404
3	AG142	0.740152	0.449674	5.501278	6.874354	0.148796
4	AG142	0.777510	0.360997	5.683557	6.991328	0.138381
5	AG142	0.776300	0.313283	5.414640	7.069184	0.294248
6	AG142	0.729378	0.360731	5.901903	6.834865	0.240357
7	AG142	0.767627	0.482400	5.539835	6.664448	0.194462
8	AG142	0.713633	0.336999	5.776878	6.991925	0.407142
9	AG142	0.717530	0.352917	5.621661	6.957844	0.270719
10	AG142	0.768147	0.446957	5.418641	6.893363	0.106225
1	GD14	0.607817	0.250326	5.791904	6.640543	0.429767
2	GD14	0.619075	0.358032	5.604107	7.115804	0.520251
3	GD14	0.587757	0.289519	5.644850	6.656553	0.417756
4	GD14	0.626144	0.201612	5.620300	6.729751	0.516386
5	GD14	0.647180	0.249110	5.590104	6.438535	0.474132
6	GD14	0.616347	0.240707	5.628895	6.715952	0.492542
7	GD14	0.656141	0.282771	5.700619	6.585246	0.482649
8	GD14	0.634534	0.300670	5.695356	6.709661	0.364643
9	GD14	0.587402	0.243802	5.665308	6.577499	0.435826
10	GD14	0.658225	0.402297	5.588512	7.089970	0.340775
1	GD15	0.597083	0.255134	5.553462	6.784822	0.169409
2	GD15	0.606845	0.248086	5.599729	6.597689	0.224189
3	GD15	0.596979	0.251614	5.589779	6.610520	0.143050
4	GD15	0.604268	0.377040	5.617745	7.092388	0.187261
5	GD15	0.555488	0.300628	5.600382	6.674088	0.056746
6	GD15	0.606851	0.195154	5.764965	6.875112	0.342202
7	GD15	0.627470	0.197206	5.430992	6.649096	0.381778
8	GD15	0.583609	0.269108	5.803938	6.590966	0.198673
9	GD15	0.583898	0.219604	5.739347	6.796239	0.319296
10	GD15	0.603405	0.248912	5.485812	6.698905	0.253271
1	GD16	0.362938	0.287154	5.448748	6.844437	0.157231
2	GD16	0.412070	0.226107	5.534649	6.933873	0.315915
3	GD16	0.387974	0.383425	5.714814	7.164701	0.102663
4	GD16	0.443835	0.203712	5.788723	6.951639	0.240394
5	GD16	0.357098	0.263987	5.419895	6.902879	0.213117
6	GD16	0.408054	0.240987	5.576121	6.794188	0.184895
7	GD16	0.401922	0.330426	5.421407	6.754873	0.246487
8	GD16	0.442913	0.208781	5.733748	6.786150	0.328157
9	GD16	0.382536	0.203548	5.825742	6.971758	0.315704
10	GD16	0.411495	0.219687	5.630126	6.817630	0.222183
