rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.519818	0.167983	6.548579	8.195604	0.270595
2	AG111	0.627469	0.176757	6.450138	7.643402	0.110564
3	AG111	0.619337	0.224100	6.438834	7.880066	0.105824
4	AG111	0.579569	0.246171	6.297886	7.890426	0.131925
5	AG111	0.595787	0.215479	6.419933	7.955694	0.279596
6	AG111	0.589573	0.179547	6.514437	7.648767	0.288617
7	AG111	0.610330	0.178379	6.356384	7.865583	0.241363
8	AG111	0.570176	0.202002	6.311362	7.619858	0.248711
9	AG111	0.618429	0.255896	6.366220	7.717027	-0.104062
10	AG111	0.563938	0.236386	6.380118	7.992587	0.204285
1	AG112	0.762098	0.311732	6.446049	7.775487	0.326204
2	AG112	0.748702	0.174722	6.530506	7.469968	0.287482
3	AG112	0.746444	0.262729	6.309281	7.927984	0.299407
4	AG112	0.771287	0.210146	6.591625	7.909604	0.305461
5	AG112	0.764687	0.274580	6.575556	7.722943	0.269221
6	AG112	0.721053	0.203940	6.418252	7.562127	0.589887
7	AG112	0.772596	0.201987	6.361971	7.938190	0.557155
8	AG112	0.817998	0.299453	6.310829	7.737808	0.241854
9	AG112	0.714908	0.289203	6.370889	8.139021	0.375739
10	AG112	0.724714	0.318068	6.392637	8.036949	0.367705
1	AG139	0.536147	0.300446	6.345215	8.088307	0.231629
2	AG139	0.585233	0.236431	6.310960	7.925302	0.324639
3	AG139	0.546193	0.205328	6.523213	7.748278	0.233898
4	AG139	0.578230	0.220695	6.498324	7.999991	0.395590
5	AG139	0.583477	0.200020	6.608317	8.090338	0.287487
6	AG139	0.575102	0.334240	6.430678	7.812954	0.189329
7	AG139	0.644612	0.235396	6.406210	7.679859	0.124192
8	AG139	0.570334	0.250372	6.401288	7.850172	0.244118
9	AG139	0.571735	0.282287	6.546454	8.024653	0.184281
10	AG139	0.548725	0.220683	6.492279	7.825098	0.283206
1	AG142	0.723255	0.293152	6.430295	7.796129	0.307388
2	AG142	0.745204	0.395663	6.383913	8.206625	0.214542
3	AG142	0.726623	0.327053	6.414663	7.798576	0.315465
4	AG142	0.787692	0.299372	6.379097	7.808818	0.264949
5	AG142	0.763152	0.322918	6.558627	7.495829	-0.010798
6	AG142	0.749120	0.293147	6.404864	7.958757	0.302739
7	AG142	0.750336	0.524359	6.333957	8.013160	0.137551
8	AG142	0.742353	0.279513	6.283020	7.569605	0.273537
9	AG142	0.748162	0.358804	6.331636	7.764501	0.238947
10	AG142	0.734887	0.386916	6.604900	7.930275	0.275754
1	GD14	0.668069	0.250994	6.541291	7.603398	0.374585
2	GD14	0.610171	0.282857	6.582736	7.699726	0.437618
3	GD14	0.613727	0.214355	6.374246	7.808438	0.554191
4	GD14	0.646331	0.264738	6.474461	7.753938	0.359780
5	GD14	0.651072	0.171568	6.598722	7.816148	0.537804
6	GD14	0.662546	0.224175	6.445924	7.853473	0.538872
7	GD14	0.639357	0.225664	6.638264	7.600474	0.438017
8	GD14	0.629163	0.239729	6.535411	7.683367	0.420145
9	GD14	0.623470	0.280080	6.263454	7.601428	0.478268
10	GD14	0.645491	0.241269	6.398073	7.985612	0.517611
1	GD15	0.580515	0.167602	6.466631	8.067450	0.385580
2	GD15	0.612880	0.248735	6.308255	7.838748	0.142546
3	GD15	0.622357	0.234021	6.431943	7.823113	0.173995
4	GD15	0.628653	0.248192	6.338021	7.808069	0.234941
5	GD15	0.623266	0.251432	6.329349	7.938951	0.167512
6	GD15	0.602623	0.274532	6.279365	8.316645	0.199028
7	GD15	0.597262	0.229052	6.507049	7.832252	0.064953
8	GD15	0.595556	0.240670	6.349667	7.911385	0.158808
9	GD15	0.604089	0.186000	6.337874	7.840862	0.382839
10	GD15	0.599692	0.218216	6.317305	8.150083	0.300189
1	GD16	0.458830	0.286249	6.371758	7.651590	0.106298
2	GD16	0.355387	0.281868	6.492389	7.993692	0.214814
3	GD16	0.396297	0.283089	6.449092	7.928586	0.119052
4	GD16	0.387136	0.332299	6.358902	8.107256	0.249172
5	GD16	0.373918	0.237845	6.427900	7.885503	0.238888
6	GD16	0.396013	0.261035	6.566985	8.031021	0.168991
7	GD16	0.452504	0.235510	6.264965	8.260960	0.237025
8	GD16	0.366906	0.231216	6.480698	8.016559	0.243068
9	GD16	0.362824	0.238751	6.321150	7.802200	0.263345
10	GD16	0.407798	0.199117	6.437296	7.451137	0.213482
