rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.091906	-0.407868	0.146259	0.044130	0.000609
2	AG111	0.015745	-0.356955	0.047817	-0.025626	-0.159423
3	AG111	0.007613	-0.119639	0.036514	0.004868	-0.164162
4	AG111	-0.032155	-0.025707	-0.104434	0.006182	-0.138061
5	AG111	-0.015937	-0.158867	0.017613	0.014420	0.009609
6	AG111	-0.022151	-0.341294	0.112117	-0.024924	0.018631
7	AG111	-0.001395	-0.347823	-0.045937	0.003028	-0.028623
8	AG111	-0.041548	-0.223453	-0.090959	-0.028711	-0.021276
9	AG111	0.006705	0.013041	-0.036100	-0.016039	-0.374048
10	AG111	-0.047786	-0.066267	-0.022203	0.019046	-0.065701
1	AG112	0.150373	0.210412	0.043729	-0.008492	0.056217
2	AG112	0.136978	-0.368537	0.128186	-0.048578	0.017496
3	AG112	0.134719	0.039392	-0.093040	0.010930	0.029420
4	AG112	0.159563	-0.183928	0.189304	0.008609	0.035475
5	AG112	0.152962	0.083510	0.173236	-0.015273	-0.000765
6	AG112	0.109329	-0.213908	0.015931	-0.036316	0.319901
7	AG112	0.160872	-0.223527	-0.040349	0.012217	0.287169
8	AG112	0.206274	0.170226	-0.091492	-0.013350	-0.028132
9	AG112	0.103184	0.135396	-0.031431	0.037202	0.105752
10	AG112	0.112990	0.230534	-0.009684	0.024581	0.097719
1	AG139	-0.075578	0.173535	-0.057105	0.030951	-0.038358
2	AG139	-0.026491	-0.066075	-0.091361	0.010592	0.054653
3	AG139	-0.065531	-0.207122	0.120893	-0.011998	-0.036088
4	AG139	-0.033494	-0.134951	0.096003	0.019972	0.125603
5	AG139	-0.028248	-0.233312	0.205996	0.031202	0.017501
6	AG139	-0.036622	0.280127	0.028357	-0.003685	-0.080657
7	AG139	0.032888	-0.070461	0.003889	-0.020867	-0.145795
8	AG139	-0.041390	-0.008785	-0.001033	0.001067	-0.025868
9	AG139	-0.039990	0.111193	0.144133	0.023050	-0.085705
10	AG139	-0.063000	-0.135004	0.089958	-0.002132	0.013220
1	AG142	0.111531	0.148960	0.027974	-0.005841	0.037402
2	AG142	0.133480	0.448832	-0.018407	0.045473	-0.055444
3	AG142	0.114899	0.258390	0.012343	-0.005527	0.045479
4	AG142	0.175968	0.169954	-0.023223	-0.004215	-0.005037
5	AG142	0.151428	0.245666	0.156307	-0.045122	-0.280785
6	AG142	0.137395	0.148942	0.002543	0.014804	0.032753
7	AG142	0.138611	0.730445	-0.068363	0.021617	-0.132436
8	AG142	0.130628	0.101316	-0.119301	-0.035327	0.003551
9	AG142	0.136437	0.351045	-0.070684	-0.009906	-0.031039
10	AG142	0.123163	0.426476	0.202580	0.011219	0.005768
1	GD14	0.056345	-0.006303	0.138970	-0.030873	0.104599
2	GD14	-0.001553	0.113209	0.180415	-0.018284	0.167632
3	GD14	0.002003	-0.164097	-0.028075	-0.004263	0.284205
4	GD14	0.034607	0.047009	0.072141	-0.011267	0.089793
5	GD14	0.039348	-0.386752	0.196402	-0.003276	0.267818
6	GD14	0.050821	-0.119304	0.043603	0.001487	0.268886
7	GD14	0.027633	-0.112685	0.235944	-0.031258	0.168031
8	GD14	0.017439	-0.052221	0.133090	-0.020410	0.150159
9	GD14	0.011746	0.103344	-0.138866	-0.031132	0.208281
10	GD14	0.033766	-0.045819	-0.004248	0.018173	0.247624
1	GD15	-0.031209	-0.410138	0.064311	0.028369	0.115593
2	GD15	0.001155	-0.015344	-0.094065	-0.000389	-0.127440
3	GD15	0.010633	-0.076319	0.029623	-0.002386	-0.095992
4	GD15	0.016929	-0.017529	-0.064299	-0.004311	-0.035046
5	GD15	0.011542	-0.004557	-0.072971	0.012313	-0.102474
6	GD15	-0.009101	0.083337	-0.122956	0.058791	-0.070958
7	GD15	-0.014462	-0.097782	0.104729	-0.001218	-0.205033
8	GD15	-0.016169	-0.048305	-0.052654	0.008835	-0.111179
9	GD15	-0.007635	-0.305986	-0.064446	-0.000120	0.112853
10	GD15	-0.012032	-0.146247	-0.085016	0.038560	0.030203
1	GD16	-0.152894	0.125130	-0.030563	-0.024555	-0.163688
2	GD16	-0.256338	0.109707	0.090069	0.019184	-0.055173
3	GD16	-0.215428	0.114030	0.046772	0.011006	-0.150934
4	GD16	-0.224588	0.274304	-0.043418	0.033291	-0.020814
5	GD16	-0.237807	-0.060112	0.025580	0.005558	-0.031098
6	GD16	-0.215711	0.032922	0.164664	0.023843	-0.100995
7	GD16	-0.159220	-0.069978	-0.137356	0.052072	-0.032961
8	GD16	-0.244818	-0.088381	0.078378	0.022041	-0.026919
9	GD16	-0.248900	-0.056312	-0.081171	-0.005063	-0.006641
10	GD16	-0.203926	-0.237839	0.034976	-0.051102	-0.056504
