rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.615394	-0.387076	3.042071	0.000000	-0.149485	-0.211454	23878.518055	24742.795199
2	AG111	0.601543	-0.284666	3.042071	0.000000	-0.174249	-0.211454	23320.251819	24596.715717
3	AG111	0.644406	-0.097085	3.042071	0.000000	-0.123298	-0.211454	23798.011845	24915.814636
4	AG111	0.695277	-0.482522	3.042071	0.000000	0.019075	-0.211454	23480.174237	24385.549712
5	AG111	0.603071	-0.492310	3.042071	0.000000	-0.089652	-0.211454	24071.146660	24682.443347
6	AG111	0.614025	-0.395862	3.042071	0.000000	-0.045153	-0.211454	22935.691197	23885.278685
7	AG111	0.609958	0.564943	3.042071	0.000000	-0.156575	-0.211454	23848.285878	24263.984240
8	AG111	0.643079	-0.174367	3.042071	0.000000	-0.132619	-0.211454	22914.550668	23522.837844
9	AG111	0.603776	0.162973	3.042071	0.000000	-0.179906	-0.211454	24285.773465	24479.392555
10	AG111	0.605612	-0.416796	3.042071	0.000000	-0.174335	-0.211454	23631.962257	24235.393275
1	AG112	0.758415	0.180204	3.042071	0.000000	-0.334205	-0.211454	24563.232588	24450.939160
2	AG112	0.784801	-0.169963	3.042071	0.000000	-0.369621	-0.211454	22963.149135	24620.842622
3	AG112	0.773302	-0.138158	3.042071	0.000000	-0.294033	-0.211454	24364.154057	24079.082059
4	AG112	0.781567	0.121240	3.042071	0.000000	-0.228077	-0.211454	24320.075254	24614.070264
5	AG112	0.825702	0.335327	3.042071	0.000000	-0.155208	-0.211454	23198.691954	25020.111795
6	AG112	0.730546	0.150598	3.042071	0.000000	-0.242806	-0.211454	23114.086759	25142.207837
7	AG112	0.706220	0.767944	3.042071	0.000000	-0.237355	-0.211454	23678.395904	23975.193581
8	AG112	0.760281	0.270508	3.042071	0.000000	-0.241710	-0.211454	23934.402917	25096.643752
9	AG112	0.769755	-0.008135	3.042071	0.000000	-0.252028	-0.211454	24029.299173	24698.896872
10	AG112	0.773788	0.475011	3.042071	0.000000	-0.234195	-0.211454	23395.209048	23965.268713
1	AG139	0.625059	0.025818	3.042071	0.000000	-0.145674	-0.211454	24347.440440	25608.058122
2	AG139	0.633741	0.504271	3.042071	0.000000	-0.143487	-0.211454	23081.137546	24385.931903
3	AG139	0.588247	0.108672	3.042071	0.000000	-0.161335	-0.211454	23609.540760	24389.882358
4	AG139	0.564832	-0.066955	3.042071	0.000000	-0.180450	-0.211454	23630.324238	24860.798407
5	AG139	0.590277	0.058125	3.042071	0.000000	-0.206118	-0.211454	23307.692152	24659.958913
6	AG139	0.621160	0.019415	3.042071	0.000000	-0.304507	-0.211454	23121.822292	24239.886952
7	AG139	0.621307	0.457002	3.042071	0.000000	-0.125510	-0.211454	23986.597352	24462.419394
8	AG139	0.604458	0.316879	3.042071	0.000000	-0.154690	-0.211454	24289.292490	24149.228558
9	AG139	0.674394	0.461603	3.042071	0.000000	-0.112214	-0.211454	23337.489929	26386.617816
10	AG139	0.621771	0.269615	3.042071	0.000000	-0.180961	-0.211454	23230.369296	24262.078576
1	AG142	0.826309	0.601879	3.042071	0.000000	-0.203871	-0.211454	23683.159710	24854.668886
2	AG142	0.759353	0.383457	3.042071	0.000000	-0.171117	-0.211454	23462.898310	25355.500488
3	AG142	0.781728	0.535194	3.042071	0.000000	-0.163944	-0.211454	23730.637437	25639.804899
4	AG142	0.759278	0.797462	3.042071	0.000000	-0.191882	-0.211454	23589.099013	24799.436399
5	AG142	0.744355	0.539997	3.042071	0.000000	-0.163283	-0.211454	23709.814600	25379.777481
6	AG142	0.771759	0.524693	3.042071	0.000000	-0.214044	-0.211454	24244.607543	24421.187506
7	AG142	0.747046	0.360773	3.042071	0.000000	-0.207745	-0.211454	23325.262936	25587.876643
8	AG142	0.786786	0.645096	3.042071	0.000000	-0.183083	-0.211454	23361.940401	24512.180164
9	AG142	0.801349	0.678307	3.042071	0.000000	-0.170990	-0.211454	24233.428027	24789.397636
10	AG142	0.751506	0.488109	3.042071	0.000000	-0.205796	-0.211454	23476.585483	24694.070630
1	GD14	0.614015	0.076447	3.042071	0.000000	-0.352993	-0.211454	23874.245937	23592.726496
2	GD14	0.632410	0.112433	3.042071	0.000000	-0.305331	-0.211454	23472.998709	25127.537512
3	GD14	0.622367	0.055634	3.042071	0.000000	-0.360063	-0.211454	24124.254591	23835.281608
4	GD14	0.646049	0.005404	3.042071	0.000000	-0.287084	-0.211454	23639.887658	25182.843919
5	GD14	0.648492	0.187806	3.042071	0.000000	-0.270208	-0.211454	23380.044228	24332.535280
6	GD14	0.661286	-0.063590	3.042071	0.000000	-0.284344	-0.211454	23723.782309	24391.205017
7	GD14	0.616619	-0.000128	3.042071	0.000000	-0.333642	-0.211454	23832.205702	24430.990253
8	GD14	0.657840	0.239625	3.042071	0.000000	-0.333294	-0.211454	23118.654980	23527.651006
9	GD14	0.612594	0.341669	3.042071	0.000000	-0.362350	-0.211454	23439.472869	25065.634044
10	GD14	0.625036	-0.219042	3.042071	0.000000	-0.354060	-0.211454	23732.573834	22881.905080
1	GD15	0.610668	-0.255477	3.042071	0.000000	-0.172430	-0.211454	23154.550084	23581.917144
2	GD15	0.646931	0.029077	3.042071	0.000000	-0.122773	-0.211454	23168.771401	24944.499569
3	GD15	0.626947	0.072471	3.042071	0.000000	-0.124443	-0.211454	23717.984786	25173.604968
4	GD15	0.609826	0.146437	3.042071	0.000000	-0.125640	-0.211454	22550.407903	24171.830219
5	GD15	0.635648	0.140957	3.042071	0.000000	-0.099800	-0.211454	23874.531980	23433.854974
6	GD15	0.658757	0.262904	3.042071	0.000000	-0.126347	-0.211454	23774.794803	24400.505728
7	GD15	0.598017	0.086701	3.042071	0.000000	-0.168657	-0.211454	23357.260102	25097.380909
8	GD15	0.614626	0.026472	3.042071	0.000000	-0.152053	-0.211454	23874.774737	25387.571518
9	GD15	0.602252	-0.185254	3.042071	0.000000	-0.171844	-0.211454	23146.479781	24866.789984
10	GD15	0.572680	0.265972	3.042071	0.000000	-0.174438	-0.211454	23410.358316	23743.243627
1	GD16	0.465020	0.162171	3.042071	0.000000	-0.100974	-0.211454	23700.773544	24633.400746
2	GD16	0.375969	0.224717	3.042071	0.000000	-0.130443	-0.211454	23523.567551	24488.496280
3	GD16	0.375463	0.181268	3.042071	0.000000	-0.116783	-0.211454	23491.124208	24873.318843
4	GD16	0.375398	0.357134	3.042071	0.000000	-0.158432	-0.211454	22915.475677	24919.445936
5	GD16	0.401357	0.273938	3.042071	0.000000	-0.119737	-0.211454	23534.181589	26013.366906
6	GD16	0.408482	0.032826	3.042071	0.000000	-0.105213	-0.211454	23440.052694	25961.579625
7	GD16	0.342197	0.276441	3.042071	0.000000	-0.087652	-0.211454	23997.827772	24741.217520
8	GD16	0.389194	0.043216	3.042071	0.000000	-0.168969	-0.211454	22851.994927	24769.023045
9	GD16	0.385512	0.059139	3.042071	0.000000	-0.123147	-0.211454	23105.348027	23925.116365
10	GD16	0.374164	-0.032374	3.042071	0.000000	-0.192521	-0.211454	24017.136179	25231.502117
