parameter	value	se_sa	rse_sa
rhoS_pop	0.61655867042395307	0.04619591906937380	7.49254228111153431
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	1.11776193975936122	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.59192752459679077	0.06063310061854255	10.24333184368214766
omega_rhoS	0.11841979353965083	0.03366786915432036	28.43094735091498748
omega_deltaSC	0.20462537026884128	0.28110893386228131	137.37736112240347097
omega_rhoC	0.12182184593849024	0.19047894963582279	156.35861381709696616
omega_deltaCB	0.32987234569191692	0.18508511344787601	56.10810238113611348
omega_rhoB	0.11060840241843217	0.12582388774251946	113.75617493011699821
b1	0.16430396239111403	0.02170557988758000	13.21062472973803992
b2	0.22655823866861868	0.03221921266227182	14.22116134536078036
b3	0.28706051552911227	0.05060354086673324	17.62817877389385046
