rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.005994	-0.274147	-0.042676	0.022160	-0.147227
2	AG111	-0.006201	-0.253637	0.035763	0.028563	-0.220310
3	AG111	-0.033332	-0.104409	0.010148	0.037629	-0.026728
4	AG111	-0.058391	-0.146015	-0.060001	-0.005082	-0.086064
5	AG111	-0.016412	-0.248666	-0.052490	0.022699	-0.135993
6	AG111	-0.035583	0.020170	0.048444	-0.024868	-0.186469
7	AG111	-0.045983	0.025617	0.044194	-0.000349	0.031155
8	AG111	-0.021675	-0.019152	0.028458	0.039077	-0.067528
9	AG111	-0.027104	0.263167	-0.091269	0.016738	-0.069974
10	AG111	-0.021782	-0.098168	0.061153	-0.004885	-0.198771
1	AG112	0.179556	-0.008580	-0.074683	0.050311	0.141677
2	AG112	0.109021	-0.312732	-0.067617	0.002717	0.274009
3	AG112	0.123136	0.175953	0.049928	-0.001347	-0.042250
4	AG112	0.114176	0.033339	-0.043641	-0.001917	0.066651
5	AG112	0.135835	0.073290	-0.093586	-0.003310	0.032381
6	AG112	0.099780	0.008346	-0.062691	-0.026123	0.127057
7	AG112	0.049062	0.083452	0.075648	-0.002297	0.227317
8	AG112	0.148584	0.279144	0.004523	0.010247	0.055227
9	AG112	0.177477	-0.014548	0.073865	0.011351	-0.050343
10	AG112	0.151228	0.268802	0.068510	0.001379	-0.058405
1	AG139	-0.020348	0.104056	-0.083314	0.030568	0.074175
2	AG139	-0.047809	0.210728	0.043491	-0.031176	0.017094
3	AG139	-0.043055	-0.171975	0.054586	-0.002421	0.024855
4	AG139	-0.073556	-0.038615	-0.022521	-0.010826	0.040230
5	AG139	-0.057494	-0.018598	-0.005849	0.039261	-0.013169
6	AG139	-0.020457	0.109044	-0.021281	-0.015288	0.004085
7	AG139	-0.019619	0.461972	-0.061170	0.011531	-0.009952
8	AG139	-0.023335	0.099961	-0.073531	0.013508	-0.034752
9	AG139	0.001507	-0.060335	0.124640	0.009013	0.040032
10	AG139	-0.048355	0.125913	-0.009990	-0.010800	-0.024389
1	AG142	0.180218	0.199749	-0.065558	0.001453	-0.098782
2	AG142	0.168092	0.059509	-0.047081	-0.011185	0.070400
3	AG142	0.096682	0.089123	0.042733	0.021549	0.070493
4	AG142	0.174812	0.268130	0.017698	0.006606	0.082001
5	AG142	0.124162	0.200261	0.015613	0.003244	0.061462
6	AG142	0.112552	0.194224	0.071699	0.020288	-0.066852
7	AG142	0.153288	0.014936	-0.031933	-0.013265	-0.001539
8	AG142	0.083792	0.152780	0.006912	-0.006474	-0.048317
9	AG142	0.135870	0.174551	0.053619	0.045764	0.047017
10	AG142	0.093494	0.194843	-0.024011	0.014515	0.013713
1	GD14	0.003942	-0.012028	0.059110	-0.023711	0.102298
2	GD14	0.035806	0.139438	-0.051178	0.000724	0.219750
3	GD14	0.002009	0.244441	-0.084187	0.029536	0.283897
4	GD14	0.046427	0.095300	0.070645	0.011078	0.253302
5	GD14	0.010419	0.210487	-0.161113	-0.014226	0.173306
6	GD14	0.023929	-0.201105	0.013358	0.014998	0.306100
7	GD14	-0.032706	0.004305	-0.017745	-0.009862	0.236331
8	GD14	0.031504	-0.117533	0.099202	-0.018501	0.096189
9	GD14	-0.010069	0.025997	0.030822	-0.008787	0.267076
10	GD14	-0.012792	-0.057253	0.013995	0.012243	0.223944
1	GD15	0.005835	-0.159646	-0.108978	0.018900	-0.078929
2	GD15	-0.027943	-0.192012	-0.019370	-0.014879	0.030693
3	GD15	-0.030124	0.083672	0.025244	-0.003214	-0.004452
4	GD15	-0.007180	-0.014527	0.033330	-0.035946	-0.134685
5	GD15	-0.010954	-0.170666	0.003653	-0.009643	-0.133693
6	GD15	0.033056	0.010271	-0.020386	0.016620	-0.071797
7	GD15	-0.032948	-0.017879	0.013008	-0.004320	-0.084824
8	GD15	-0.020780	-0.117822	0.007460	-0.017421	-0.047212
9	GD15	-0.011291	0.014552	-0.159756	0.005104	-0.059023
10	GD15	0.022438	-0.140950	-0.024434	0.000499	-0.047258
1	GD16	-0.184578	0.006505	-0.033688	0.009319	-0.110108
2	GD16	-0.283394	-0.028204	-0.084358	0.004627	0.010288
3	GD16	-0.262825	-0.166580	0.032721	0.014399	0.055096
4	GD16	-0.218522	0.066102	-0.102545	-0.028103	-0.114313
5	GD16	-0.206580	-0.155440	-0.072461	-0.005889	-0.013467
6	GD16	-0.184831	0.009801	0.019026	-0.013654	-0.043498
7	GD16	-0.257419	-0.065653	-0.040748	0.005654	0.048944
8	GD16	-0.210955	-0.098057	0.009985	-0.034424	0.001570
9	GD16	-0.232756	-0.000434	0.109833	0.000157	-0.036897
10	GD16	-0.272925	-0.078579	-0.152610	0.028347	0.140901
