rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB
1	AG111	0.574787	0.087548	4.107199	0.026517	0.112069	0.250811
2	AG111	0.595274	-0.339938	4.107199	-0.095723	0.092078	0.250811
3	AG111	0.617660	-0.166924	4.107199	0.014843	0.267270	0.250811
4	AG111	0.599074	-0.035172	4.107199	0.020029	0.162059	0.250811
5	AG111	0.622946	-0.230985	4.107199	0.046345	0.006118	0.250811
6	AG111	0.667965	-0.292115	4.107199	-0.120489	0.033597	0.250811
7	AG111	0.608399	-0.312787	4.107199	0.248313	0.038963	0.250811
8	AG111	0.595471	-0.505676	4.107199	-0.042594	-0.010224	0.250811
9	AG111	0.585707	-0.453180	4.107199	-0.169081	-0.001149	0.250811
10	AG111	0.601334	0.005856	4.107199	0.208464	0.187027	0.250811
1	AG112	0.763945	0.137748	4.107199	-0.089065	-0.040169	0.250811
2	AG112	0.704399	-0.167645	4.107199	0.166653	-0.050515	0.250811
3	AG112	0.746732	0.065395	4.107199	-0.233817	-0.137356	0.250811
4	AG112	0.734597	0.256933	4.107199	-0.015981	-0.041621	0.250811
5	AG112	0.742634	0.045379	4.107199	0.070371	-0.041220	0.250811
6	AG112	0.778603	0.015080	4.107199	0.047135	-0.027384	0.250811
7	AG112	0.765879	-0.045606	4.107199	-0.117721	-0.067022	0.250811
8	AG112	0.758172	0.159378	4.107199	-0.022247	-0.059804	0.250811
9	AG112	0.799423	-0.152478	4.107199	0.178750	-0.073222	0.250811
10	AG112	0.754031	-0.229846	4.107199	0.029277	-0.085571	0.250811
1	AG139	0.581423	-0.102126	4.107199	-0.118933	0.004836	0.250811
2	AG139	0.559395	-0.040310	4.107199	0.047821	-0.006509	0.250811
3	AG139	0.592938	0.265782	4.107199	-0.116877	0.016438	0.250811
4	AG139	0.562475	0.232437	4.107199	-0.106547	0.059934	0.250811
5	AG139	0.545813	0.436441	4.107199	0.007457	-0.004432	0.250811
6	AG139	0.580452	0.077402	4.107199	-0.079806	0.026747	0.250811
7	AG139	0.604665	0.069345	4.107199	0.045694	0.060547	0.250811
8	AG139	0.572609	0.209894	4.107199	-0.110522	-0.023283	0.250811
9	AG139	0.608151	0.240827	4.107199	0.081800	0.069507	0.250811
10	AG139	0.562490	0.079161	4.107199	-0.013088	0.047327	0.250811
1	AG142	0.758869	0.362025	4.107199	-0.001919	0.006489	0.250811
2	AG142	0.738004	0.380616	4.107199	-0.074604	0.095648	0.250811
3	AG142	0.736352	0.334379	4.107199	0.053553	0.004119	0.250811
4	AG142	0.741190	0.242895	4.107199	0.026181	0.052962	0.250811
5	AG142	0.733581	0.351019	4.107199	0.030342	-0.062181	0.250811
6	AG142	0.722321	0.155068	4.107199	0.032325	0.018782	0.250811
7	AG142	0.773056	0.310509	4.107199	0.028345	0.016858	0.250811
8	AG142	0.724891	0.557597	4.107199	-0.083954	0.041979	0.250811
9	AG142	0.698420	0.328258	4.107199	-0.081741	-0.084261	0.250811
10	AG142	0.732197	0.215268	4.107199	0.029577	-0.014892	0.250811
1	GD14	0.588553	-0.294888	4.107199	0.349051	-0.099596	0.250811
2	GD14	0.638383	-0.013137	4.107199	0.155792	-0.044485	0.250811
3	GD14	0.632394	-0.075081	4.107199	0.149504	-0.034751	0.250811
4	GD14	0.610084	-0.092925	4.107199	0.009910	-0.121387	0.250811
5	GD14	0.618953	-0.221901	4.107199	0.216693	-0.102488	0.250811
6	GD14	0.672953	-0.094697	4.107199	-0.154748	-0.137300	0.250811
7	GD14	0.627454	-0.066806	4.107199	0.132482	-0.086388	0.250811
8	GD14	0.650541	0.088684	4.107199	0.034184	-0.090481	0.250811
9	GD14	0.649234	-0.035667	4.107199	0.090366	-0.061173	0.250811
10	GD14	0.623805	0.104509	4.107199	0.150545	-0.061938	0.250811
1	GD15	0.648212	-0.021631	4.107199	0.124160	0.141785	0.250811
2	GD15	0.642815	-0.128975	4.107199	-0.151895	0.009364	0.250811
3	GD15	0.598749	-0.025824	4.107199	-0.089841	0.002391	0.250811
4	GD15	0.617386	-0.147773	4.107199	0.001656	-0.003698	0.250811
5	GD15	0.615029	-0.082989	4.107199	-0.123475	0.018242	0.250811
6	GD15	0.642462	0.258528	4.107199	-0.268056	0.055325	0.250811
7	GD15	0.635185	-0.041159	4.107199	0.037684	0.062506	0.250811
8	GD15	0.607629	0.218125	4.107199	-0.046542	0.046163	0.250811
9	GD15	0.601105	0.026623	4.107199	0.010270	0.046460	0.250811
10	GD15	0.610793	0.232144	4.107199	-0.089059	0.111119	0.250811
1	GD16	0.418898	-0.137871	4.107199	0.033466	0.037923	0.250811
2	GD16	0.395954	0.029259	4.107199	0.007958	0.047767	0.250811
3	GD16	0.372327	0.004856	4.107199	-0.035631	0.060573	0.250811
4	GD16	0.381468	-0.221427	4.107199	0.049540	0.000198	0.250811
5	GD16	0.411106	0.244944	4.107199	-0.070162	0.165835	0.250811
6	GD16	0.394011	-0.090252	4.107199	0.000564	-0.024385	0.250811
7	GD16	0.366345	0.012758	4.107199	0.134348	0.052609	0.250811
8	GD16	0.388063	-0.156496	4.107199	-0.129750	-0.034444	0.250811
9	GD16	0.396701	-0.207593	4.107199	0.052264	0.059702	0.250811
10	GD16	0.393925	0.307693	4.107199	0.058398	0.064866	0.250811
